,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,250.0,150.0,150.0,350.0, Lemon Poppy Seed Pancakes, Watermelon and Feta Salad, Cucumber and Cream Cheese Sandwiches, Lentil Soup, Shrimp Scampi
2,400.0,120.0,100.0,150.0,300.0," Quiche Lorraine with spinach (400 calories per portion, 2 portions, contains dairy, French origin)
", Greek Stuffed Grape Leaves, Watermelon Salad," Greek Salad - 150 calories
   - Total portions"," British Vegan Ploughman's Lunch (300 calories/portion, 3 portions) - United Kingdom
"
3,400.0,200.0,100.0,150.0,200.0," Mexican-style breakfast wrap with eggs and black beans (400 calories per portion, 2 portions, contains eggs, Mexican origin)
", Yogurt Bark, Gazpacho Soup, Greek Tzatziki Dip with Pita," Indian Vegetable Samosas - 200 calories/portion, 4 portions, contains gluten (India)
"
4,400.0,120.0,150.0,150.0,300.0, Turkish Borek, Cucumber and hummus rolls, Cucumber and Cream Cheese Sandwiches," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Vegetable Fajitas - 300 calories/portion, 4 portions, contains gluten (Mexico)
"
5,300.0,300.0,250.0,150.0,350.0, Vegetable Upma, Veggie Burrito with Black Beans and Rice," Cheese Puffs - 250 kcals per portion, 2 portions, contains gluten, dairy (France)"," Caponata - 150kcals per portion, 4 portions, no allergies, Origin", Roasted Vegetable Pasta
6,400.0,300.0,350.0,150.0,350.0, Breakfast Bibimbap, Vegan Breakfast Wraps, Quinoa salad, Spanish Gazpacho," Mexican Street Corn Pasta Salad - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
7,300.0,220.0,120.0,150.0,250.0, Pancakes with Maple Syrup, Greek-style yogurt with pistachios and honey, Roasted chickpeas, Lentil and vegetable frittata," Moroccan Chickpea Pancakes (250 calories/portion, 4 portions) - Morocco
"
8,400.0,150.0,220.0,150.0,220.0," Dutch baby pancake with lemon and sugar - 400 calories per portion, 2 portions, contains gluten, origin", Roasted Chickpeas," Halva - 220 kcals per portion, 6 portions, may contain sesame (Middle East)", Spinach and feta stuffed mushrooms, Lentil and Vegetable Stir Fry
9,400.0,150.0,180.0,150.0,300.0," Huevos Rancheros with refried beans and salsa (400kcals per portion, 2 portions, origin"," Mini Vegetable Spring Rolls - 150kcals per portion, 2 portions
    Origin", Greek Yogurt Parfait, Spinach and cheese stuffed tomatoes," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
10,350.0,180.0,140.0,150.0,300.0," Grilled halloumi with tomatoes and cucumber (350kcals per portion, 2 portions, origin", Ratatouille," Vegan Cinnamon Sugar Donuts - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 150 calories
   - Total portions"," Vegetarian Shepherd's Pie - 300 calories/portion, 6 portions, Origin"
11,350.0,180.0,150.0,150.0,250.0, Breakfast Bruschetta, Vegan Protein Balls, Olive Tapenade Crostini, Tom Yum Soup, Roasted Vegetable Salad
12,200.0,220.0,180.0,150.0,250.0, Papaya Boat with Lime, Mini Vegetable Quiches, Cheesy Garlic Breadsticks," Japanese Miso Soup with Tofu - 150 calories
    - Total portions", Black Bean Tacos
13,250.0,180.0,180.0,150.0,350.0, Quinoa Porridge, Oatmeal cookies," Vegan Pumpkin Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and ricotta stuffed tomatoes, Indonesian Nasi Goreng
14,200.0,300.0,150.0,150.0,350.0, Vegetable Frittata, Vegan Cinnamon Funnel Cake, Baked Mozzarella Sticks, Tomato Basil Soup, Tofu Tikka Masala
15,250.0,350.0,160.0,150.0,350.0, Cucumber Sandwich, Roasted Red Pepper Hummus with Pita Bread, Greek Yogurt with Chocolate Chips, Butternut squash soup," Mediterranean quinoa salad – 350 calories per portion, 4 portions, vegan-friendly (origin"
16,250.0,200.0,180.0,150.0,250.0, Mozzarella and Tomato Bruschetta, Vegetarian Sausage Rolls, Pita Bread with Hummus, Spinach and mushroom omelet, Caprese Salad
17,350.0,150.0,120.0,120.0,350.0, Chocolate Chip Muffins, Avocado and tomato salad," Vegan Lentil Soup - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Stuffed Zucchini
18,250.0,300.0,180.0,150.0,200.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Quinoa Salad, Roasted Cauliflower Bites, Tomato and Basil Bruschetta," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
19,500.0,70.0,150.0,150.0,350.0," Hawaiian loco moco with beef patty, rice, and egg (500kcals per portion, 2 portions, origin", Kale chips," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and mushroom frittata, Vegan Ravioli
20,350.0,300.0,200.0,150.0,350.0," Cheesy scrambled eggs - 350 calories per portion, 1 portion, contains dairy, origin", Banana and Spinach Smoothie, Chicken and Vegetable Spring Rolls, Gazpacho Soup," Mushroom and goat cheese flatbread - 350 calories per portion, 4 portions, contains gluten and dairy
"
21,400.0,200.0,120.0,150.0,350.0, Chia Seed Pancakes, Aloo Tikki (Potato Patties)," Vegan Coconut Lime Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and vegetable soup," Tofu Stir-Fry - 350 calories per portion, 2 portions, may contain soy"
22,400.0,120.0,200.0,150.0,300.0, Almond Croissant, Cucumber and dill cream cheese rolls, Mini Vegetable Quiches, Butternut squash soup, Lentil Meatballs in Marinara Sauce
23,280.0,150.0,100.0,150.0,350.0," Avocado toast with smoked salmon (280 calories per portion, 2 portions, contains fish, American origin)
", Homemade Trail Mix, Watermelon Salad, Greek Taramasalata," Stuffed Bell Peppers with Quinoa and Corn - 350 calories/portion, 4 portions, Origin"
24,250.0,150.0,140.0,150.0,213.0, Quinoa Porridge, Vietnamese Fresh Spring Rolls - Approx, Melon and Prosciutto Skewers, Veggie Spring Rolls, Lentil Soup
25,450.0,90.0,180.0,150.0,320.0," Spanish hot chocolate with churros (450kcals per portion, 2 portions, origin", Fruit Salad, Mango Salsa with Tortilla Chips," Greek Salad - 150 calories
   - Total portions"," Sesame ginger tofu with broccoli – 320 calories per portion, 3 portions, vegan-friendly
"
26,550.0,90.0,180.0,150.0,250.0, Granola with Soy Milk, Quinoa Energy Bites, Spinach and Feta Pastry Triangles," Vegetable Stir-Fry - 150kcals per portion, 3 portions", Vegan Soba Noodle Salad
27,450.0,180.0,300.0,150.0,150.0, Lemon Poppy Seed Pancakes, Shrimp and avocado salad, Chicken Shawarma Wraps, Tomato Basil Soup," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
28,400.0,200.0,160.0,100.0,300.0," American pancakes with maple syrup - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Vegan Sweet Potato Toast, Cucumber and Cream Cheese Bites, Israeli salad," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
29,200.0,200.0,180.0,150.0,300.0, Avocado Toast, Vegetable and Lentil Soup - Approx, Veggie Sausage Rolls, Cabbage Stir-Fry, Quinoa and Vegetable Stuffed Bell Peppers
30,300.0,150.0,220.0,150.0,290.0," Egyptian foul medames (fava bean stew) - 300 calories per portion, 2 portions, no allergic warnings, origin", Green smoothie," Halva - 220 kcals per portion, 6 portions, may contain sesame (Middle East)", Tomato Basil Soup," Spinach and Ricotta Stuffed Tomatoes - 290kcals per portion, 4 portions, contains dairy
"
