,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,100.0,90.0,200.0,450.0," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
", Baked Zucchini Chips - Approx," Bruschetta with Fresh Tomatoes and Basil - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Baked Zucchini Fries - 200kcals per portion, 4 portions, no allergies
"," Eggplant Parmesan with spaghetti - 450 kcals per portion, 4 portions, vegetarian, contains gluten, lactose
"
2,250.0,100.0,120.0,200.0,400.0," Almond butter and banana smoothie (250kcals per portion, 1 portion, nut allergies)
", Berry Chia Detox Water, Roasted Chickpeas, Gazpacho," Vegan Fettuccine Alfredo - 400 calories per portion, 4 portions, Gluten, Italy
"
3,400.0,100.0,100.0,200.0,350.0, Vegan French Toast, Cucumber and Hummus Rolls, Baba Ganoush, Chickpea Salad," Coconut Curry Shrimp - 350 calories per portion, 4 portions, contains shellfish, Origin"
4,400.0,100.0,320.0,150.0,250.0," Quinoa and black bean breakfast bowl (400 calories per portion, 2 portions, nut-free, American origin)
", Cucumber and Tomato Salad, Mini bagel pizzas, Cabbage Stir-Fry, Vegan Kung Pao Tofu
5,200.0,120.0,250.0,150.0,500.0, Vegan Pumpkin Pancakes, Cottage Cheese with Sliced Tomato, Mango Coconut Chia Pudding," Lentil Soup - 150kcals per portion, 6 portions"," Lemon herb grilled shrimp with orzo and roasted vegetables (500 calories per portion, 2 portions, contains shellfish, origin"
6,350.0,100.0,180.0,200.0,350.0," Veggie-packed breakfast casserole (350 calories per portion, 2 portions, nut-free, American origin)
", Cucumber Rolls with Hummus - Approx, Cheese and tomato bruschetta, Moroccan Lentil Soup, Vegan Curry with Rice
7,300.0,80.0,150.0,150.0,300.0, Quinoa Breakfast Bowl, Cheesy Popcorn, Greek Salad Skewers, Greek Taramasalata," Caprese Quinoa Bowls - 300 calories/portion, 4 portions, Origin"
8,300.0,100.0,320.0,165.0,350.0," Turkish Menemen with eggs, tomatoes, and peppers (300kcals per portion, 2 portions, origin", Caprese Skewers, Avocado toast," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Greek Moussaka Stuffed Peppers - 350 calories per portion, 4 portions, contains dairy (cheese), Origin"
9,100.0,120.0,220.0,150.0,200.0, Healthy Fruit Salad, Roasted Chickpeas, Roasted Red Pepper and Feta Crostini, Spinach and ricotta stuffed tomatoes," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
10,250.0,100.0,120.0,150.0,400.0," Chia seed pudding with coconut milk (250 calories per portion, 2 portions, nut-free, American origin)
"," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin"," Vegan Coconut Lime Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 150 calories
   - Total portions", Vegan Ramen
11,250.0,100.0,120.0,150.0,350.0, Smoothie Bowl, Edamame, Roasted Cauliflower Popcorn, Thai Tom Yum Soup," Lentil bolognese with spaghetti – 350 calories per portion, 4 portions, vegan-friendly (origin"
12,400.0,120.0,120.0,120.0,350.0, Vegan Breakfast Spanakopita, Almond Biscotti," Vegan Cheesy Popcorn - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Tofu and vegetable stir-fry with noodles – 350 calories per portion, 2 portions, vegan-friendly
"
13,450.0,50.0,150.0,200.0,200.0," Turkish simit (sesame bread) with cream cheese and olives (450kcals per portion, 1 portion, dairy allergies, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Salad Skewers, Greek falafel," Baked Falafel - 200 calories/portion, 4 portions, Origin"
14,500.0,100.0,200.0,150.0,350.0," Vietnamese bánh cuốn (steamed rice rolls) with ground pork and mushrooms (500kcals per portion, 2 portions, origin"," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Baked Mini Samosas," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Greek Salad with Grilled Chicken - 350 calories per portion, 4 portions, contains dairy (cheese), Origin"
15,400.0,120.0,180.0,180.0,200.0, Veggie English Breakfast, Raspberry Chia Seed Jam, Roasted Cauliflower Bites," Spinach and Feta Stuffed Portobello Mushrooms - 180kcals per portion, 2 portions, contains dairy
"," Black Bean and Corn Salad - 200 calories per portion, 4 portions, None, Various
"
16,400.0,120.0,280.0,200.0,200.0," Mushroom and Swiss breakfast wrap (400 calories per portion, 2 portions, contains dairy, Swiss origin)
", Cottage Cheese with Sliced Tomato, Vegan Greek Salad," Cauliflower Fried Rice - 200kcals per portion, 3 portions"," Falafel with tahini sauce - 200 calories per portion, 4 portions, contains gluten (Middle East)
"
17,350.0,80.0,150.0,200.0,400.0," Veggie omelette with sweet potato hash (350 calories per portion, 2 portions, nut-free, American origin)
", Fresh Squeezed Orange Juice, Greek Olive Tapenade with Pita Bread," Vegan Greek Avgolemono Soup
Total calories per portion"," Vegetarian stuffed bell peppers with quinoa and black beans (400 calories per portion, 4 portions, vegan-friendly, origin"
18,400.0,80.0,200.0,200.0,420.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Mini mushroom and cheese tartlets," Lentil Soup - 200 calories per portion, 4 portions, vegetarian, International
"," Mushroom Risotto - 420kcals per portion, 2 portions
"
19,350.0,90.0,180.0,150.0,450.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin", Quinoa Energy Bites, Baked Falafel with Yogurt Sauce, Gazpacho Soup," Vegetarian Lasagna - 450 calories per portion, 4 portions, contains gluten (pasta), Origin"
20,400.0,100.0,280.0,220.0,400.0," Banana pancakes - 400 calories per portion, 2 portions, contains gluten and dairy, origin"," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin", Sweet Potato and Black Bean Quesadillas," Mediterranean Stuffed Peppers - 220kcals per portion, 4 portions, no allergies
", Spicy Thai Noodle Soup
21,300.0,70.0,150.0,150.0,320.0, Vegan Smoothie Bowl, Kale chips," Energy Balls (Dates, Nuts, and Coconut)", Caprese Salad, Chickpea Salad Sandwich
22,250.0,120.0,250.0,200.0,300.0, Vegan Breakfast Oats and Berries, Cottage Cheese with Tomato, Avocado Egg Salad Lettuce Wraps, Caponata," Thai Green Curry - 300 calories per portion, 4 portions, None, Thailand
"
23,70.0,80.0,180.0,200.0,200.0, Fruit Salad, Fruit Salad," Vegan Apple Cinnamon Granola Bars - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Egg Salad - 200kcals per portion, 2 portions, gluten-free, International
", Greek Stuffed Peppers
24,300.0,120.0,160.0,200.0,500.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Bruschetta with Tomato and Basil, Baked Sweet Potato Fries, Ratatouille," Chicken curry (500 calories per portion, 4 portions, contains dairy, origin"
25,350.0,100.0,160.0,200.0,350.0, Chocolate Peanut Butter Overnight Oats, Greek yogurt with berries, Bruschetta with Tomato and Basil, Cauliflower Fried Rice," Lemon Asparagus Pasta - 350 calories/portion, 2 portions, Origin"
26,400.0,80.0,300.0,200.0,310.0," Italian caprese frittata with tomatoes, mozzarella, and basil (400kcals per portion, 2 portions, origin", Cheesy Popcorn, Baked Sweet and Spicy Chicken Wings," Japanese Miso Soup with Tofu and Vegetables
Total calories per portion", Vegan Lentil Curry
27,450.0,100.0,180.0,200.0,250.0," Tunisian brik (stuffed pastry) with tuna and egg (450kcals per portion, 2 portions, origin", Greek yogurt with berries, Mini zucchini and cheese frittatas," Ratatouille Pasta - 200kcals per portion, 4 portions, lactose-free, France
"," Veggie Dumplings - 250 calories per portion, 4 portions, Gluten, Various

"
28,250.0,120.0,150.0,200.0,400.0, Vegan Oatmeal Chocolate Chip Cookies - 250 calories per portion | 2 portions | Contains gluten | Origin, Yogurt with Berries - Approx, Steamed edamame, Spinach and Mushroom Frittata, Lentil and Spinach Stew
