,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,120.0,280.0,20.0,280.0, Vegan Breakfast Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Cottage Cheese with Tomato, Veggie Flatbread Pizza, Moroccan Mint Tea," Lentil Curry - 280kcals per portion, 4 portions, contains legumes (India)
"
2,350.0,150.0,180.0,20.0,200.0," Swiss cheese and mushroom omelette (350 calories per portion, 2 portions, contains dairy, Swiss origin)
", Homemade Energy Balls," Antipasto skewers (olives, mozzarella, salami)", Moroccan Mint Tea," Mexican Vegan Guacamole (200 calories/portion, 4 portions) - Mexico
"
3,250.0,150.0,180.0,20.0,220.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Pumpkin Spice Latte, Sweet and Spicy Roasted Almonds, Moroccan Mint Tea, Grilled Vegetable Skewers
4,400.0,100.0,120.0,20.0,200.0, Veggie Breakfast Pizza Rolls, Boiled chickpeas," Ceviche - 120 kcals per portion, 2 portions, contains fish (Peru)", Moroccan Mint Tea, Greek Salad
5,450.0,100.0,200.0,20.0,180.0," Spanish hot chocolate with churros (450kcals per portion, 2 portions, origin", Mini Frittatas - Approx, Avocado Toast, Moroccan Mint Tea, Vegan Ratatouille
6,300.0,150.0,120.0,20.0,200.0, Acai Bowl, Chocolate Avocado Mousse, Vegan Mediterranean Hummus Bowl, Moroccan Mint Tea, Vegan Caprese Salad
7,200.0,150.0,170.0,20.0,200.0, Blueberry Muffins, Baked Egg Cups, Mushroom Bruschetta, Moroccan Mint Tea, Mediterranean Quinoa Bowl
8,300.0,90.0,150.0,20.0,200.0," Shakriya (Lebanese rice pudding) - 300 calories per portion, 2 portions, contains dairy, origin", Fruit Salad, Roasted Chickpeas, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
9,350.0,150.0,150.0,20.0,200.0," Apple cinnamon quinoa breakfast bowl (350 calories per portion, 2 portions, nut-free, American origin)
", Roasted Red Pepper Hummus, Bruschetta with Mozzarella, Moroccan Mint Tea," Lentil Spinach Salad - 200 calories per portion, 4 portions, None, Various
"
10,400.0,150.0,150.0,20.0,160.0, Tofu Benedict," Watermelon and Feta Skewers - 150kcals per portion, 2 portions
    Origin"," Tabbouleh Salad - 150 kcals per portion, 4 portions, contains gluten (Lebanon)", Moroccan Mint Tea," Vegan Quinoa and Kale Salad - 160 calories per portion, 2 portions, may contain gluten"
11,200.0,160.0,150.0,20.0,180.0, Mediterranean Vegetable Omelette, Zucchini Chips, Stuffed mushrooms, Moroccan Mint Tea, Mediterranean Salad
12,250.0,150.0,180.0,20.0,200.0," Syrian ka'ak (sesame bread rings) - 250 calories per portion, 1 portion, contains gluten, origin", Zucchini Fritters, Apple with Peanut Butter, Moroccan Mint Tea, Quinoa Salad
