,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,350.0,250.0,20.0,200.0, Vegan Breakfast BLT Sandwich, Veggie Sausage and Egg English Muffin Sandwich, Thai Peanut Noodle Salad, Moroccan Mint Tea, Quinoa Salad
2,250.0,250.0,200.0,20.0,200.0, Vegan Breakfast Quesadillas, Greek Yogurt and Berry Popsicles, Chicken lettuce cups with peanut sauce, Moroccan Mint Tea," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
3,250.0,100.0,150.0,20.0,200.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin, Berry Chia Detox Water, Baked Buffalo Cauliflower Bites, Moroccan Mint Tea, Lemon and Herb Couscous Salad
4,250.0,300.0,200.0,20.0,150.0," Almond butter and banana smoothie (250kcals per portion, 1 portion, nut allergies)
", Peanut Butter Banana Wrap, Mini Salmon Cakes, Moroccan Mint Tea," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten"
5,200.0,150.0,140.0,20.0,200.0, Papaya Boat with Lime, Vegan Chocolate Chip Cookies, Baked Sweet Potato Chips, Moroccan Mint Tea," Lentil curry - 200 calories per portion, 6 portions, contains gluten (India)
"
6,250.0,100.0,280.0,20.0,200.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Boiled chickpeas, Egg salad lettuce wraps, Moroccan Mint Tea," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
7,250.0,200.0,190.0,20.0,221.0," Syrian ka'ak (sesame bread rings) - 250 calories per portion, 1 portion, contains gluten, origin", Caprese Toast, Greek Spinach and Feta Pinwheels, Moroccan Mint Tea, Zucchini Noodles with Pesto
8,250.0,250.0,120.0,20.0,150.0, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin, Veggie Sushi Rolls," Vegan Coconut Lime Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
9,150.0,180.0,240.0,20.0,200.0, Vegan Breakfast Pita Pockets, Quinoa Cakes, Mini Chicken Samosas, Moroccan Mint Tea," Butternut Squash Soup - 200 calories per portion, 4 portions, None, Various
"
10,250.0,100.0,280.0,20.0,200.0, Tropical Green Smoothie, Energy Balls - Approx, Veggie Pita Pockets, Moroccan Mint Tea," Greek Veggie Skewers - 200 calories/portion, 4 portions, Origin"
11,250.0,350.0,150.0,20.0,210.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Veggie Burger with Avocado, Fruit Skewers with Yogurt Dip, Moroccan Mint Tea, Quinoa Stuffed Portobello Mushrooms
12,200.0,200.0,120.0,20.0,180.0, Vegan Breakfast Phyllo Cups, Quinoa Stuffed Mushrooms, Caprese Skewers, Moroccan Mint Tea," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
"
13,200.0,200.0,290.0,20.0,200.0, Papaya Boat with Lime, Potato and Leek Soup - Approx," Cheese Quesadilla - 290 kcals per portion, 2 portions, contains gluten, dairy (Mexico)", Moroccan Mint Tea, Stuffed Zucchini Boats
14,250.0,250.0,150.0,20.0,180.0, Overnight Oats, Garlic Bread, Steamed edamame, Moroccan Mint Tea," Lentil and vegetable soup - 180 calories per portion, 6 portions, none
"
15,200.0,200.0,250.0,20.0,200.0, Quinoa Breakfast Burrito," Coconut Chia Seed Pudding - 200kcals per portion, 1 portion
    Origin", Greek Yogurt Parfait, Moroccan Mint Tea," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
16,250.0,150.0,100.0,20.0,200.0, Raspberry Chia Pudding, Hummus and Veggie Sticks, Greek yogurt with honey and walnuts, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
17,250.0,250.0,120.0,20.0,200.0, Vegan Berry Parfait - 250 calories per portion | 2 portions | Contains nuts | Origin, Avocado Toast with Tomato and Basil, Roasted Cauliflower Popcorn, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
18,250.0,300.0,180.0,20.0,220.0, Vegan Chocolate Banana Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Grilled Halloumi Skewers - Approx, Avocado Cucumber Sushi Rolls, Moroccan Mint Tea, Chickpea and Vegetable Stir Fry
19,200.0,250.0,120.0,20.0,221.0, Quinoa Veggie Breakfast Skillet," Greek Yogurt with Honey and Walnuts - 250kcals per portion, 1 portion
   Origin"," Chia Pudding with Fresh Berries - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Zucchini Noodles with Pesto
20,100.0,150.0,240.0,20.0,200.0, Vegan Breakfast Steamed Buns, Apple Cinnamon Oatmeal, Stuffed Bell Peppers with Quinoa, Moroccan Mint Tea," Ratatouille Stuffed Zucchini - 200 calories/portion, 4 portions, Origin"
21,200.0,180.0,150.0,20.0,200.0, Vegan Green Smoothie - 200 calories per portion | 2 portions | None | Origin, Tomato and Mozzarella Skewers, Ricotta Stuffed Mushrooms, Moroccan Mint Tea," Spinach and Feta Stuffed Mushrooms - 200 calories/portion, 4 portions, Origin"
22,250.0,150.0,200.0,20.0,200.0," Blueberry almond muffins (250 calories per portion, 2 portions, contains nuts, American origin)
"," Tomato Bruschetta - 150kcals per portion, 2 portions
    Origin"," Vegan Baked Raspberry Oatmeal - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegetable Stir-Fry - 200kcals per portion, 4 portions
"
23,250.0,250.0,300.0,20.0,200.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Sweet Potato Pancakes - Approx, Chicken Fried Rice, Moroccan Mint Tea, Spaghetti Aglio e Olio
24,250.0,250.0,90.0,20.0,240.0," Chia seed pudding with mixed berries (250kcals per portion, 2 portions)
", Chocolate banana protein pancakes, Vegan Energy Balls, Moroccan Mint Tea, Vegan Margherita Pizza
