,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,350.0,350.0,350.0,350.0, Ragi (Finger Millet) Pancakes, Banana Nut Muffins, Blueberry Muffins, Blueberry Muffins, Banana Nut Muffins
2,300.0,350.0,400.0,300.0,350.0, Pancakes with Maple Syrup, Bread Upma, Veggie Breakfast Pizza, Pancakes with Maple Syrup, Vegan Breakfast Tacos
3,400.0,250.0,350.0,400.0,350.0, Veggie Breakfast Burrito, Mozzarella and Tomato Bruschetta, Tomato and Basil Bruschetta Scramble, Nutella Banana Croissant, Zucchini and Parmesan Muffins
4,400.0,250.0,350.0,400.0,250.0, Mushroom Breakfast Burrito, Sourdough Toast with Almond Butter, Vegan Protein Pancakes, Nutella Banana Croissant, Vegan Banana Bread
5,350.0,400.0,250.0,400.0,350.0, Banana Nut Muffins, Veggie Breakfast Pizza, Tomato Basil Bruschetta, Veggie Sausage Breakfast Sandwich, Vegan Protein Pancakes
6,250.0,350.0,400.0,400.0,350.0, Sourdough Toast with Almond Butter, Blueberry Muffins, Vegan Chocolate Waffles, Veggie Bagel Sandwich, Blueberry Muffins
7,400.0,350.0,300.0,450.0,300.0, Veggie Breakfast Pizza, Bread Upma, Pancakes with Maple Syrup, Nutella Stuffed French Toast, Vegan Blueberry Muffins
8,350.0,350.0,350.0,400.0,300.0, Apple Cinnamon Muffins, Zucchini and Parmesan Muffins, Chocolate Chip Muffins, Aloo Paratha (Potato Stuffed Flatbread), Pancakes with Maple Syrup
9,350.0,300.0,350.0,350.0,350.0, Banana Chia Pancakes, Chia Seed Pancakes, Lemon Poppy Seed Pancakes, Bread Upma, Vegan Breakfast Burrito
10,250.0,350.0,400.0,250.0,250.0, Sourdough Toast with Almond Butter, Banana Nut Muffins, Aloo Paratha (Potato Stuffed Flatbread), Mozzarella and Tomato Bruschetta, Cucumber Sandwich
11,400.0,350.0,400.0,250.0,300.0, Sourdough Biscuits and Mushroom Gravy, Zucchini and Parmesan Muffins, Sourdough Biscuits and Mushroom Gravy, Cucumber Sandwich, Banana Oat Pancakes
12,250.0,300.0,400.0,400.0,300.0, Sourdough Toast with Almond Butter, Idli and Sambar, Strawberry Banana Pancakes, Almond Croissant, Vegan Blueberry Muffins
13,400.0,350.0,400.0,400.0,350.0, Veggie Biscuits and Gravy, Chocolate Chip Muffins, Mexican Sopes, French Toast, Ricotta Pancakes
14,300.0,400.0,300.0,350.0,350.0, Banana Oat Pancakes, Sourdough Biscuits and Mushroom Gravy, Irish Soda Bread, Tomato and Basil Bruschetta Scramble, Ricotta Pancakes
15,400.0,300.0,450.0,250.0,350.0, Mexican Sopes, Banana Oat Pancakes, Nutella Stuffed French Toast, Mozzarella and Tomato Bruschetta, Banana Nut Muffins
16,300.0,400.0,250.0,300.0,300.0, Banana Oat Pancakes, French Toast, Banana Bread, Vegan Blueberry Muffins, Pancakes with Maple Syrup
17,350.0,400.0,400.0,350.0,300.0, Blueberry Muffins, Mexican Sopes, Mushroom Breakfast Burrito, Veggie Breakfast Wrap, Pancakes with Maple Syrup
18,350.0,400.0,350.0,400.0,350.0, Banana Nut Muffins, Mushroom Breakfast Burrito, Vegan Protein Pancakes, Mushroom Breakfast Burrito, Lemon Poppy Seed Pancakes
19,350.0,400.0,250.0,300.0,350.0, Tomato and Basil Bruschetta Scramble, Sourdough Biscuits and Mushroom Gravy, Tomato Basil Bruschetta, Vegan Blueberry Muffins, Apple Cinnamon Muffins
20,250.0,400.0,400.0,400.0,300.0, Banana Bread, Vegetarian Breakfast Strata, Veggie Breakfast Burrito, Mushroom Breakfast Burrito, Feta and Spinach Muffins
21,450.0,400.0,300.0,250.0,350.0, Nutella Stuffed French Toast, Veggie Breakfast Pizza, Banana Oat Pancakes, Ragi (Finger Millet) Pancakes, Chocolate Chip Muffins
22,400.0,300.0,300.0,400.0,350.0, Veggie Breakfast Pizza, Idli and Sambar, Feta and Spinach Muffins, Veggie Breakfast Burrito, Bread Upma
23,400.0,300.0,400.0,350.0,300.0, Strawberry Banana Pancakes, Vegan Blueberry Muffins, Strawberry Banana Pancakes, Chocolate Chip Muffins, Chia Seed Pancakes
24,400.0,250.0,400.0,300.0,300.0, French Toast, Cucumber Sandwich, Veggie Sausage Breakfast Sandwich, Irish Soda Bread, Idli and Sambar
25,400.0,400.0,400.0,350.0,350.0, Mexican Sopes, Vegan Chocolate Waffles, Aloo Paratha (Potato Stuffed Flatbread), Cranberry Orange Muffins, Lemon Poppy Seed Pancakes
26,400.0,400.0,400.0,400.0,350.0, Veggie Bagel Sandwich, Veggie Biscuits and Gravy, Veggie Bagel Sandwich, French Toast, Bread Upma
27,350.0,350.0,400.0,400.0,350.0, Bread Upma, Veggie Breakfast Wrap, Veggie Sausage Breakfast Sandwich, Sourdough Biscuits and Mushroom Gravy, Vegan Breakfast Tacos
28,350.0,350.0,450.0,250.0,350.0, Banana Chia Pancakes, Veggie Breakfast Strudel, Nutella Stuffed French Toast, Cucumber Sandwich, Veggie Breakfast Strudel
29,350.0,450.0,300.0,450.0,250.0, Mushroom and Spinach Breakfast Quesadilla, Nutella Stuffed French Toast, Chia Seed Pancakes, Nutella Stuffed French Toast, Vegan Banana Bread
30,300.0,400.0,250.0,400.0,300.0, Vegan Blueberry Muffins, Veggie Bagel Sandwich, Vegan Banana Bread, Aloo Paratha (Potato Stuffed Flatbread), Banana Pancakes
31,350.0,250.0,300.0,400.0,300.0, Banana Chia Pancakes, Mozzarella and Tomato Bruschetta, Banana Oat Pancakes, Sourdough Biscuits and Mushroom Gravy, Idli and Sambar
32,400.0,350.0,400.0,350.0,250.0, Veggie Biscuits and Gravy, Ricotta Pancakes, Veggie Breakfast Pizza, Chocolate Chip Muffins, Cucumber Sandwich
33,350.0,400.0,250.0,400.0,300.0, Lemon Poppy Seed Pancakes, Veggie Breakfast Pizza Rolls, Banana Bread, Vegan Chocolate Waffles, Chia Seed Pancakes
34,250.0,350.0,400.0,250.0,350.0, Vegan Banana Bread, Zucchini and Parmesan Muffins, Nutella Banana Croissant, Sourdough Toast with Almond Butter, Lemon Poppy Seed Pancakes
35,350.0,350.0,300.0,400.0,350.0, Vegan Protein Pancakes, Banana Nut Muffins, Vegan Blueberry Muffins, Veggie Breakfast Pizza, Vegan Breakfast Burrito
