,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,80.0,220.0,120.0,250.0, Veggie Omelette, Apple with Cinnamon, Mango Coconut Chia Pudding," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
2,250.0,80.0,200.0,120.0,350.0, Veggie Omelette, Fruit Salad, Pumpkin Bread," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Sweet Potato and Black Bean Enchiladas
3,200.0,80.0,150.0,120.0,400.0, Caprese Avocado Toast, Baked Apple Chips, Tomato and Mozzarella Skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Greek Moussaka
4,250.0,100.0,150.0,120.0,250.0, Raspberry Chia Jam Toast, Kiwi and Strawberry Smoothie, Baked Vegetable Samosas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
5,350.0,100.0,160.0,120.0,400.0, Vegan Breakfast Tacos, Caprese Skewers, Roasted Eggplant Dip," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Omelette - 400kcals per portion, 2 portions, contains dairy (Italy)
"
6,350.0,80.0,220.0,120.0,350.0, Cranberry Orange Muffins, Fruit Salad, Guacamole with Tortilla Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable Korma - 350 calories/portion, 4 portions, contains nuts (India)
"
7,200.0,100.0,120.0,120.0,400.0, Roasted Vegetable Breakfast Tacos, Cucumber and Hummus Rolls, Pumpkin Hummus with Carrot Sticks," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable Lo Mein - 400 calories/portion, 4 portions, contains gluten and soy (China)
"
8,200.0,90.0,180.0,120.0,350.0, Papaya Boat with Lime, Rice Paper Rolls, Thai Fresh Spring Rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and mushroom quesadillas - 350 calories per portion, 4 portions, contains dairy and gluten (Mexico)
"
9,250.0,80.0,150.0,120.0,250.0, Mozzarella and Tomato Bruschetta, Apple with Cinnamon, Zucchini Fritters," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
10,350.0,70.0,160.0,120.0,300.0, Lemon Poppy Seed Pancakes, Fresh Fruit Salad, Baked Tofu Fingers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Black Bean Enchiladas - 300 calories/portion, 4 portions, Origin"
11,200.0,90.0,300.0,120.0,250.0, Veggie Breakfast Fritters, Vegetarian Spring Rolls, Roasted Vegetable Pizza," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Veggie fajitas - 250 calories per portion, 4 portions, contains gluten (Mexico)
"
12,400.0,100.0,140.0,120.0,400.0, Tofu Benedict, Cucumber and Tomato Salad, Greek Yogurt with Apple and Cinnamon," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil Curry
13,250.0,100.0,120.0,120.0,350.0, Tomato Basil Bruschetta, Edamame, Peanut Butter Energy Balls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mediterranean Couscous - 350 calories/portion, 4 portions, Origin"
14,400.0,90.0,100.0,120.0,350.0, Aloo Paratha (Potato Stuffed Flatbread), Vegetarian Spring Rolls, Chocolate Covered Strawberries," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mexican Stuffed Sweet Potatoes - 350 calories/portion, 4 portions, contains black beans (Mexico)
"
15,350.0,100.0,200.0,120.0,380.0, Tomato and Basil Bruschetta Scramble, Som Tam (Papaya Salad), Baked Falafel," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille Pasta - 380kcals per portion, 4 portions
"
16,300.0,100.0,220.0,120.0,250.0, Vegetable Frittata, Rice Paper Spring Rolls, Guacamole with Tortilla Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Ratatouille Stuffed Portobello Mushrooms
17,400.0,80.0,180.0,120.0,350.0, Vegan Breakfast Hash, Energy Balls, Greek Tzatziki with Pita Bread," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mexican Rice Stuffed Peppers - 350 calories/portion, 4 portions, Origin"
