,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,150.0,150.0,20.0,180.0, Tofu Scramble, Banana Bread Energy Balls - Approx, Caprese Salad Skewers, Moroccan Mint Tea," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
2,250.0,180.0,200.0,20.0,250.0, Vegan Breakfast Quesadillas, Vegan Zucchini and Corn Fritters, Spinach and Cheese Puffs, Moroccan Mint Tea," Veggie Noodle Stir Fry - 250 calories/portion, 4 portions, Origin"
3,400.0,200.0,280.0,20.0,300.0, Japanese Souffle Pancakes, Baked Kale Chips," Mini Cheesecakes - 280 kcals per portion, 3 portions, contains dairy (USA)", Moroccan Mint Tea," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
4,300.0,170.0,120.0,20.0,350.0, Vegan Smoothie Bowl, Banana Chia Pudding, No-Bake Energy Bars, Moroccan Mint Tea, Tofu Tikka Masala
5,300.0,160.0,100.0,20.0,200.0, Vegan Breakfast Burrito, Cottage cheese and cucumber wraps, Veggie Pinwheels, Moroccan Mint Tea," Italian Vegan Bruschetta (200 calories/portion, 4 portions) - Italy
"
6,250.0,220.0,230.0,20.0,350.0, Banana and Almond Butter Toast, Vegan Protein Bars with Almonds, Avocado Toast, Moroccan Mint Tea, Baked Lemon Herb Chicken
7,450.0,80.0,150.0,20.0,350.0," Lebanese markouk bread with za'atar and olive oil (450kcals per portion, 2 portions, origin", Avocado Deviled Eggs," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Quinoa Stuffed Zucchini Boats
8,250.0,80.0,180.0,20.0,300.0, Vegan Banana Bread - 250 calories per portion | 2 portions | Contains gluten | Origin, Apple with Cinnamon, Caprese Bruschetta, Moroccan Mint Tea," Spinach and feta phyllo triangles - 300 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
9,400.0,160.0,120.0,20.0,200.0," Turkish breakfast (tomato, cucumber, olives, cheese, bread) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Cherry Tomatoes with Cottage Cheese," Vegan Chocolate Chip Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Spaghetti Aglio e Olio
10,350.0,200.0,200.0,20.0,200.0, Acai Bowl, Chocolate Protein Balls, Mini Chicken and Vegetable Skewers, Moroccan Mint Tea," Miso Soup - 200 calories/portion, 2 portions, Origin"
11,250.0,200.0,180.0,20.0,250.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Chocolate Protein Balls," Tuna Salad Lettuce Wraps - 180 kcals per portion, 2 portions, contains fish (USA)", Moroccan Mint Tea, Ratatouille-Stuffed Tomatoes
12,300.0,180.0,480.0,20.0,320.0, Blueberry Banana Breakfast Bars, Cantaloupe with Cottage Cheese, Vegan Cucumber Sushi Rolls, Moroccan Mint Tea," Ratatouille with crusty bread – 320 calories per portion, 4 portions, vegan-friendly (origin"
13,350.0,100.0,180.0,20.0,300.0," Swiss cheese and mushroom omelette (350 calories per portion, 2 portions, contains dairy, Swiss origin)
"," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin"," Rice Crispy Treats - 180 kcals per portion, 6 portions, gluten-free (USA)", Moroccan Mint Tea," Greek Gigantes Plaki - 300 calories/portion, 4 portions, contains garlic (Greece)
"
14,350.0,220.0,180.0,20.0,250.0," Yogurt and fruit smoothie bowl (350 calories per portion, 2 portions, contains dairy, American origin)
", Greek-style yogurt with pistachios and honey, Baked Teriyaki Tofu Skewers, Moroccan Mint Tea, Ratatouille-Stuffed Tomatoes
15,300.0,220.0,250.0,20.0,240.0, Raspberry Peach Chia Pudding, Peanut Butter Protein Bars, Spinach and artichoke dip with pita chips, Moroccan Mint Tea," Caprese Stuffed Avocado - 240kcals per portion, 4 portions, contains dairy (Italy)
"
16,300.0,160.0,160.0,20.0,300.0, Chia Seed Smoothie, Edamame Hummus and Rice Cakes, Mini Quiches, Moroccan Mint Tea," Quinoa-stuffed mushrooms – 300 calories per portion, 4 portions, vegetarian-friendly
"
17,320.0,200.0,220.0,20.0,350.0," Artichoke and feta tart (320 calories per portion, 2 portions, contains dairy, Greek origin)
", Lentil Salad with Roasted Vegetables," Poppy Seed Cake - 220 kcals per portion, 3 portions, contains gluten (Various)", Moroccan Mint Tea," Veggie stir-fry with tofu and brown rice - 350 kcals per portion, 4 portions, vegetarian, contains gluten, soy
"
18,450.0,200.0,150.0,20.0,300.0, Vegan Breakfast Enchiladas - 450 calories per portion | 1 portion | Contains gluten | Origin, Baked Maple Glazed Donuts, Cucumber and Tomato Salsa with Tortilla Chips, Moroccan Mint Tea," Greek Gigantes Plaki - 300 calories/portion, 4 portions, contains garlic (Greece)
"
19,380.0,80.0,180.0,20.0,350.0," Israeli breakfast salad with hard-boiled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
", Stuffed Dates, Mini spinach and cheese turnovers, Moroccan Mint Tea, Vegan Tikka Masala
20,500.0,160.0,250.0,20.0,200.0, Turkish Gozleme, Quinoa Balls, Avocado Egg Salad Lettuce Wraps, Moroccan Mint Tea, Spaghetti Aglio e Olio
21,400.0,200.0,150.0,20.0,300.0," American pancakes with maple syrup - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Avocado toast, Mini crustless quiche with spinach and feta, Moroccan Mint Tea, Mediterranean Stuffed Eggplant
22,500.0,200.0,400.0,20.0,250.0, Vegan Breakfast Burrito, Cottage cheese and tomato on rye toast, Zucchini Fritters, Moroccan Mint Tea, Stuffed Bell Peppers
23,350.0,200.0,240.0,20.0,320.0, Zucchini Fritters with Yogurt Sauce, Stuffed Bell Peppers - Approx, Mini Chicken Samosas, Moroccan Mint Tea, Vegan Gumbo
24,500.0,100.0,160.0,20.0,280.0, Turkish Breakfast Platter, Fruit Salad," Mini Bagel Pizzas - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea, Vegan Quiche
25,400.0,200.0,200.0,20.0,200.0, Chorizo Breakfast Burrito," Banana Bread Muffins - 200kcals per portion, 1 portion
    Origin", Veggie Sushi Burrito, Moroccan Mint Tea," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
26,430.0,150.0,200.0,20.0,200.0," Cinnamon raisin French toast (430 calories per portion, 2 portions, contains dairy, American origin)
", Vegan Cinnamon Sugar Donuts, Green smoothie bowl, Moroccan Mint Tea," Lentil Spinach Salad - 200 calories per portion, 4 portions, None, Various
"
27,200.0,220.0,200.0,20.0,250.0, Blueberry Almond Baked Oatmeal, Sundried tomato and feta muffins," Apple Cinnamon Muffins - 200 kcals per portion, 3 portions, contains gluten (USA)", Moroccan Mint Tea," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
28,400.0,100.0,140.0,20.0,350.0, Vegetable Omelette with Hash Browns, Fresh Fruit Salad," Mini Vegetable Quinoa Cups - 140 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea, Vegan Tikka Masala
29,500.0,180.0,260.0,20.0,320.0," Hawaiian loco moco with beef patty, rice, and egg (500kcals per portion, 2 portions, origin", Pumpkin Energy Bars, Greek Feta and Spinach Patties, Moroccan Mint Tea," Mushroom and black bean tacos – 320 calories per portion, 4 portions, vegetarian-friendly
"
30,500.0,160.0,180.0,20.0,350.0, Blueberry Pancakes, Apple Slices with Almond Butter, Rice paper rolls with shrimp and vegetables, Moroccan Mint Tea," Mexican Rice Stuffed Peppers - 350 calories/portion, 4 portions, Origin"
31,400.0,200.0,40.0,20.0,300.0," Swedish pancakes with lingonberry jam - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Mango Coconut Chia Pudding - Approx, Cucumber Roll-Ups, Moroccan Mint Tea," Quinoa and black bean stuffed peppers - 300 calories per portion, 4 portions, none
"
32,400.0,100.0,240.0,20.0,300.0," American pancakes with maple syrup - 400 calories per portion, 2 portions, contains gluten and dairy, origin"," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin", Stuffed Bell Peppers with Quinoa, Moroccan Mint Tea," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
33,300.0,190.0,180.0,20.0,240.0, Vegan Breakfast Burrito, Rice Cakes with Peanut Butter, Tuna Salad Lettuce Wraps, Moroccan Mint Tea, Spaghetti Aglio e Olio
34,250.0,150.0,280.0,20.0,350.0," Chia seed pudding with coconut milk (250 calories per portion, 2 portions, nut-free, American origin)
", Baked Sweet Potato Fries," Greek Spanakopita - 280 kcals per portion, 3 portions, contains gluten, dairy (Greece)", Moroccan Mint Tea," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
35,400.0,200.0,200.0,20.0,320.0," Warm quinoa breakfast bowl with caramelized bananas and almonds (400 calories per portion, 2 portions, contains nuts, American origin)
Please note that the above recipes are suggestions and the nutritional information provided is approximate", Tomato and Mozzarella Skewers, Caramelized Onion and Goat Cheese Tartlets, Moroccan Mint Tea, Sweet and Sour Tofu
36,250.0,200.0,220.0,20.0,100.0, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin, Mixed Berry Quinoa Salad, Baked Sweet Potato Fries, Moroccan Mint Tea," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
37,250.0,160.0,160.0,20.0,250.0, Vegan Beetroot and Apple Smoothie - 250 calories per portion | 2 portions | None | Origin, Apple Slices with Almond Butter," Vegan Samosas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Zucchini Noodles with Pesto
