,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,80.0,200.0,100.0,250.0," Mexican chilaquiles with salsa verde and cheese (450kcals per portion, 2 portions, origin", Stuffed Dates, Greek Frittata, Israeli salad, Mediterranean Couscous Salad
2,400.0,60.0,200.0,100.0,200.0, Breakfast Tacos with Chorizo, Fruit Salad - Approx, Chicken skewers with peanut sauce, Israeli salad," Lentil Spinach Soup - 200 calories per portion, 4 portions, None, Various
"
3,400.0,70.0,160.0,100.0,350.0, Vegan Breakfast Nachos - 400 calories per portion | 1 portion | Contains soy | Origin, Fresh Fruit Salad, Caramelized Onion Tartlets, Israeli salad," Chicken Fajitas - 350 calories per portion, 4 portions, contains gluten (tortillas), Origin"
4,300.0,50.0,150.0,100.0,400.0, Apple Cinnamon Porridge," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Roasted Red Pepper Hummus with Pita Bread, Israeli salad," Tomato and Basil Pasta - 400 calories per portion, 3 portions, may contain gluten"
5,450.0,90.0,300.0,20.0,200.0," Smoked salmon and cream cheese bagel - 450 calories per portion, 1 portion, contains gluten and dairy, origin", Turkish-style boiled eggs, Mini Margherita Pizzas, Moroccan Mint Tea," Spanakopita - 200 calories per portion, 6 portions, contains gluten and dairy (Greece)
"
6,380.0,50.0,120.0,100.0,280.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
", Baked Apple Chips - Approx, Watermelon and feta skewers, Israeli salad, Vegan Tikka Masala
7,400.0,50.0,100.0,100.0,250.0, Turkish Pogaca," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Caprese Skewers, Israeli salad, Mediterranean Quinoa Salad
8,350.0,80.0,220.0,20.0,300.0, Baked Eggs in Avocado, Baked Apple Chips, Chicken Tikka Skewers, Moroccan Mint Tea," Chinese Sesame Noodles (300 calories/portion, 4 portions) - China
"
9,450.0,50.0,90.0,20.0,400.0, Vegan Breakfast Lassi," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Watermelon Gazpacho, Moroccan Mint Tea, Vegan Paella
10,400.0,90.0,220.0,20.0,350.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Turkish-style boiled eggs, Veggie Mediterranean Flatbread, Moroccan Mint Tea, Spinach and Mushroom Omelette
11,300.0,80.0,150.0,100.0,400.0," Thai coconut rice pudding with mango (300kcals per portion, 2 portions, origin", Baked Apple Chips, Mango Salsa with Tortilla Chips, Israeli salad, Vegan Tofu Katsu Curry
12,300.0,80.0,180.0,20.0,159.0, Vegan Pumpkin Spice Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Hard-Boiled Eggs, Veggie Quesadillas, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
13,380.0,80.0,90.0,100.0,300.0," Sweet potato and black bean breakfast skillet (380 calories per portion, 2 portions, nut-free, Mexican origin)
", Kale Chips," Vegan Caprese Salad Skewers - 90 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Lentil and Vegetable Stir-Fry
14,350.0,90.0,150.0,20.0,300.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin", Turkish-style boiled eggs, Fried Plantain, Moroccan Mint Tea," Ratatouille Pasta - 300 calories/portion, 4 portions, Origin"
15,450.0,90.0,200.0,100.0,350.0, Quinoa Breakfast Bowl, Turkish-style boiled eggs, Vegetable Couscous Salad, Israeli salad," Spinach and Ricotta Stuffed Shells - 350 calories per portion, 4 portions, contains gluten (pasta), Origin"
16,250.0,60.0,200.0,20.0,350.0," Blueberry almond muffins (250 calories per portion, 2 portions, contains nuts, American origin)
", Fruit Salad - Approx," Quinoa Salad with Roasted Vegetables - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Mediterranean quinoa salad – 350 calories per portion, 4 portions, vegan-friendly (origin"
17,450.0,80.0,200.0,20.0,350.0, Vegan Breakfast Lassi, Avocado Deviled Eggs, Stuffed bell peppers with quinoa and black beans, Moroccan Mint Tea," Spinach and Mushroom Risotto - 350 calories per portion, 4 portions, None, Italy
"
18,350.0,50.0,150.0,100.0,250.0," French toast with cinnamon and maple syrup (350kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Pita Bread with Baba Ganoush, Israeli salad," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
19,300.0,60.0,250.0,100.0,250.0, Vegan Oatmeal Raisin Cookies, Cucumber and tomato salad, Avocado Chocolate Mousse, Israeli salad, Moroccan Quinoa Salad
20,350.0,80.0,200.0,100.0,300.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin, Mango with Chili Powder," Quinoa Salad with Roasted Vegetables - 200 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Moroccan Chickpea Tagine - 300 calories per portion, 4 portions, None, Morocco
"
21,400.0,80.0,250.0,100.0,250.0," Venezuelan arepas with cheese and avocado - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Cheesy Popcorn, Mini Pizzas, Israeli salad, Ratatouille
22,300.0,70.0,180.0,100.0,200.0, Vegan Breakfast Tiramisu, Fresh Fruit Salad, Pita Bread with Hummus, Israeli salad," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
23,450.0,50.0,200.0,100.0,300.0," Bagel with cream cheese and smoked salmon - 450 calories per portion, 1 portion, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mini chicken empanadas, Israeli salad, Grilled Tofu with Teriyaki Sauce
24,300.0,80.0,90.0,100.0,400.0," Scottish porridge with honey and berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Mango with Chili Powder, Cucumber Sandwiches, Israeli salad," Sweet potato gnocchi with sage butter - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
25,260.0,60.0,180.0,100.0,410.0," Cheese and vegetable frittata (260 calories per portion, 2 portions, contains dairy, Italian origin)
", Fruit Salad - Approx, Stuffed Bell Peppers with Quinoa and Black Beans, Israeli salad, Vegan Buddha Bowl
26,200.0,90.0,150.0,100.0,250.0, Mexican Black Bean Breakfast Wrap, Quinoa Energy Bites, Bruschetta, Israeli salad, Quinoa Veggie Stir-Fry
27,350.0,70.0,150.0,100.0,350.0," Yogurt and fruit smoothie bowl (350 calories per portion, 2 portions, contains dairy, American origin)
", Fresh Fruit Salad, Mini spinach and feta quiches, Israeli salad," Mexican Stuffed Bell Peppers - 350 calories/portion, 4 portions, Origin"
28,450.0,80.0,300.0,100.0,380.0, French Crepes, Fresh Watermelon Slices - Approx, Mini Bagel Pizzas, Israeli salad," Spinach and Cheese Stuffed Shells - 380kcals per portion, 4 portions, contains dairy
"
29,300.0,60.0,100.0,100.0,220.0," Egyptian foul medames (fava bean stew) - 300 calories per portion, 2 portions, no allergic warnings, origin", Cucumber and tomato salad, Gazpacho Soup, Israeli salad, Lentil and Vegetable Stir Fry
30,450.0,80.0,180.0,100.0,250.0, Spinach and Feta Breakfast Wrap, Fruit Salad," Roasted Chickpea Salad - 180 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Black Bean Tacos - 250 calories/portion, 4 portions, Origin"
31,300.0,80.0,180.0,20.0,350.0, Banana Oat Pancakes, Cheesy Popcorn, Veggie Stuffed Pita Bread, Moroccan Mint Tea," Mexican Rice Casserole - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
32,200.0,80.0,250.0,100.0,400.0," Spinach and feta stuffed mushrooms - 200 calories per portion, 2 portions, contains dairy, origin", Fresh Squeezed Orange Juice, Chicken and vegetable lettuce wraps, Israeli salad, Mushroom and Spinach Lasagna
33,300.0,80.0,90.0,20.0,400.0," Nigerian moi moi (bean pudding) - 300 calories per portion, 2 portions, no allergic warnings, origin"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)", Moroccan Mint Tea," Vegan Pesto Pizza - 400 calories per portion, 4 portions, Gluten, Italy
"
34,400.0,80.0,140.0,20.0,280.0," Indian idli with coconut chutney and sambar (400kcals per portion, 2 portions, origin", Hard-Boiled Eggs," Vegan Cinnamon Sugar Donuts - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Chickpea and Vegetable Stew
