,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,100.0,280.0,120.0,350.0, Avocado Toast, Kiwi and Strawberry Smoothie, Mexican Street Corn," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Curried vegetable couscous - 350 calories per portion, 4 portions, contains gluten
"
2,300.0,100.0,180.0,120.0,350.0, Baked Egg in Avocado, Cucumber and Tomato Salad, Mango Salsa with Tortilla Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Eggplant and Chickpea Curry - 350 calories/portion, 4 portions, Origin"
3,200.0,90.0,200.0,120.0,250.0, Apple Cinnamon Porridge, Rice Paper Rolls, Egg Salad Lettuce Wraps," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Artichoke Stuffed Portobello Mushrooms - 250 calories/portion, 4 portions, contains dairy (Italy)
"
4,300.0,80.0,250.0,120.0,250.0, Vegan Berry Protein Smoothie Bowl, Fresh Squeezed Orange Juice, Quinoa Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Panzanella salad - 250 calories per portion, 4 portions, contains gluten (Italy)
"
5,250.0,120.0,160.0,120.0,250.0, Cheesy Spinach Pita Pocket, Vegetable Spring Rolls, Greek Yogurt with Chocolate Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil and Vegetable Soup - 250 calories/portion, 4 portions, contains gluten (Various)
"
6,300.0,100.0,300.0,120.0,250.0, Overnight Cherry Almond Oats, Cucumber Sandwiches, Veggie Quesadilla," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
7,200.0,80.0,150.0,120.0,250.0, Quinoa Breakfast Skillet, Mango with Chili Powder, Greek Salad Skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Chickpea Curry - 250 calories/portion, 4 portions, contains garlic and onions (India)
"
8,300.0,120.0,200.0,120.0,350.0, Pancakes with Maple Syrup, Cinnamon Sugar Pretzels, Quinoa-Stuffed Bell Peppers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Pasta Primavera - 350 calories/portion, 4 portions, Origin"
9,300.0,100.0,180.0,120.0,350.0, Vegan Protein Smoothie, Caprese Skewers, Baba Ganoush with Pita Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Quinoa Salad - 350 calories/portion, 4 portions, Origin"
10,200.0,100.0,220.0,120.0,300.0, Roasted Vegetable Breakfast Tacos, Tomato Basil Bruschetta, Quinoa Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Veggie Chili
11,300.0,100.0,180.0,120.0,320.0, Vegan Protein Smoothie, Frozen Grapes, Guacamole and Salsa with Tortilla Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Gigantes Plaki - 320kcals per portion, 4 portions
"
12,250.0,80.0,70.0,120.0,260.0, Vegan Sausage and Biscuits, Avocado Deviled Eggs, Stuffed Cucumbers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Style Green Beans - 260kcals per portion, 4 portions
"
13,250.0,100.0,130.0,120.0,300.0, Sourdough Toast with Almond Butter, Rice Cake with Hummus and Cucumber, Mini Vegetable Quesadillas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Quinoa Stuffed Peppers
14,400.0,100.0,100.0,120.0,300.0, Veggie Breakfast Pizza, Caprese Skewers, Chocolate Covered Strawberries," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
15,350.0,120.0,300.0,120.0,300.0, Cranberry Orange Muffins, Granola Bar, Veggie Nachos," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Butternut Squash Risotto - 300 calories/portion, 4 portions, Origin"
16,350.0,120.0,200.0,120.0,350.0, Blueberry Muffins, Cucumber Rolls, Tomato and Avocado Bruschetta," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable curry with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
