,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,120.0,120.0,380.0,350.0, Mushroom and Tomato Omelette, Tomato and Basil Bruschetta, Greek Yogurt with Berries," Mushroom and Spinach Tart - 380kcals per portion, 3 portions, contains dairy
"," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
2,300.0,120.0,100.0,350.0,200.0, Vegan Blueberry Muffins, Baked Cheese Twists, Guacamole Deviled Eggs," Greek Spanakopita Pie - 350kcals per portion, 2 portions, contains dairy, Origin"," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
3,200.0,120.0,160.0,400.0,350.0, Papaya Boat with Lime, Cottage Cheese with Sliced Tomato, Roasted Eggplant Dip, Veggie Fried Rice," Thai Red Curry - 350 calories/portion, 4 portions, Origin"
4,300.0,120.0,180.0,600.0,400.0, Vegetable Upma, Vegetable Samosas, Cranberry Orange Muffins, Mushroom and Goat Cheese Tart," Veggie Pad Thai - 400 calories/portion, 4 portions, Origin"
5,450.0,100.0,250.0,220.0,400.0, Nutella Stuffed French Toast, Cucumber Sandwich, Mixed Berry Smoothie, Greek lemon rice soup (Avgolemono), Vegetable Soba Noodles
6,250.0,80.0,280.0,320.0,450.0, Banana Bread, Fruit Salad, Mexican Street Corn," Veggie Stir-Fry - 320kcals per portion, 2 portions, contains soy
"," Roasted Vegetable and Goat Cheese Tart - 450 calories/portion, 4 portions, contains gluten and dairy (Various)
"
7,250.0,90.0,100.0,300.0,400.0, Cheesy Spinach Pita Pocket, Fruit Salad, Caprese Skewers, Vegetable Frittata," Eggplant Involtini - 400 calories/portion, 4 portions, Origin"
8,250.0,80.0,280.0,350.0,400.0, Veggie Omelette, Apple with Cinnamon, Mexican Street Corn," Greek Spanakopita Pie - 350kcals per portion, 2 portions, contains dairy, Origin"," Margherita Pizza - 400 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
9,350.0,80.0,150.0,400.0,400.0, Cranberry Orange Muffins, Fruit Salad, Roasted Brussels Sprouts, Argentinian empanadas, Veggie Enchilada Casserole
10,300.0,100.0,220.0,300.0,280.0, Vegetable Upma, Roasted Chickpeas, Roasted Red Pepper and Feta Crostini, Mushroom and spinach quesadillas," Greek Stuffed Eggplant - 280kcals per portion, 4 portions
"
11,250.0,80.0,120.0,390.0,400.0, Smoothie Bowl, Kale Chips, Cucumber Sandwiches," Mexican Quinoa Salad - 390kcals per portion, 2 portions, contains gluten
"," Vegetable Lasagna - 400 calories/portion, 6 portions, Origin"
12,450.0,100.0,200.0,350.0,350.0, Nutella Stuffed French Toast, Vegetable Crudité with Hummus, Sweet Potato Fries, Eggplant Roll-Ups, Chickpea and Sweet Potato Curry
13,300.0,80.0,300.0,240.0,450.0, Banana Oat Pancakes, Baked Apple Chips, Cheese and Crackers," Lentil Soup - 240kcals per portion, 4 portions, contains legumes
"," Mushroom Risotto - 450 calories/portion, 4 portions, contains garlic and dairy (Italy)
"
14,250.0,120.0,250.0,180.0,390.0, Vegan Pancake Skewers, Tomato and Basil Bruschetta, Vegetable Samosas," Greek Salad - 180kcals per portion, 2 portions, contains dairy (Greece)
"," Spinach and Artichoke Stuffed Shells Alfredo - 390kcals per portion, 4 portions, contains dairy
"
15,200.0,120.0,180.0,260.0,200.0, Veggie Breakfast Couscous, Cucumber Rolls, Stuffed Bell Peppers," Summer Corn Salad - 260kcals per portion, 2 portions, gluten-free
"," Spinach and Feta Stuffed Peppers - 200 calories/portion, 4 portions, Origin"
16,300.0,100.0,180.0,350.0,500.0, Vegan Blueberry Muffins, Rice Paper Spring Rolls, Guacamole and Salsa with Tortilla Chips," Lentil Meatballs - 350kcals per portion, 2 portions, contains legumes
", Vegetable Massaman Curry
17,250.0,80.0,150.0,350.0,380.0, Veggie Omelette, Avocado Deviled Eggs, Veggie Sushi Rolls, Sweet potato and chickpea curry," Spinach and Ricotta Stuffed Shells - 380kcals per portion, 4 portions, contains dairy (Italy)
"
18,250.0,100.0,280.0,350.0,230.0, Tomato Basil Bruschetta, Cucumber and Tomato Salad, Greek Spinach and Cheese Rolls, Caprese pasta salad," Quinoa-Stuffed Bell Peppers - 230kcals per portion, 4 portions, gluten-free
"
19,350.0,100.0,80.0,300.0,350.0, Broccoli and Cheese Frittata, Rice Cake with Hummus and Cucumber, Avocado Deviled Eggs, Vegetable biryani, Eggplant Parmesan
20,350.0,120.0,150.0,250.0,400.0, Banana Nut Muffins, Date Balls, Bruschetta," Quinoa Stuffed Mushrooms - 250kcals per portion, 2 portions, no allergies
", Spicy Thai Noodle Soup
21,350.0,120.0,180.0,400.0,180.0, Ricotta Pancakes, Vegetable Spring Rolls, Veggie Snack Wrap," Roasted Vegetable Sandwich - 400kcals per portion, 2 portions, no allergies
"," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
"
