,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,120.0,20.0,280.0," Indonesian nasi goreng (fried rice) - 400 calories per portion, 2 portions, no allergic warnings, origin", Berry Chia Detox Water," Caprese skewers (cherry tomatoes, mozzarella, basil)", Moroccan Mint Tea," Greek Zucchini Patties - 280kcals per portion, 4 portions
"
2,350.0,100.0,200.0,20.0,380.0," Veggie omelette with zucchini and goat cheese (350 calories per portion, 2 portions, contains dairy, French origin)
", Zesty Lime Popcorn - Approx, Baked pita chips with tzatziki, Moroccan Mint Tea," Vegetable Curry with Coconut Milk - 380kcals per portion, 4 portions, contains nuts
"
3,450.0,200.0,200.0,20.0,250.0," French croissant with ham and cheese (450kcals per portion, 1 portion, pork allergies, origin", Spiced Roasted Nuts, Bacon-Wrapped Dates with Goat Cheese, Moroccan Mint Tea," Black Bean Enchiladas - 250 calories per portion, 3 portions, may contain gluten"
4,400.0,150.0,70.0,20.0,300.0, Veggie Bagel Sandwich, Beetroot and Goat Cheese Salad, Stuffed Cherry Tomatoes, Moroccan Mint Tea, Vegetable Curry
5,200.0,200.0,180.0,20.0,300.0, Vegan Breakfast Frittata, Greek Yogurt with Honey and Berries," Berry Parfait - 180 kcals per portion, 2 portions, contains dairy (Various)", Moroccan Mint Tea," Caprese salad with balsamic glaze – 300 calories per portion, 4 portions, contains dairy (origin"
6,350.0,150.0,110.0,20.0,210.0," French toast with cinnamon and maple syrup (350kcals per portion, 2 portions, origin", Cherry Tomatoes with Mozzarella - Approx," Oatmeal Raisin Energy Balls - 110 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Lentil and Vegetable Stir Fry
7,250.0,100.0,180.0,20.0,250.0," Coconut chia pudding with mango (250kcals per portion, 2 portions)
", Cucumber Rolls with Hummus - Approx," Pineapple Salsa with Tortilla Chips - 180 kcals per portion, 3 portions, contains gluten (Various)", Moroccan Mint Tea, Stuffed Bell Peppers
8,250.0,150.0,100.0,20.0,350.0, Vegan Breakfast Sushi, Roasted Chickpeas, Fruit Salad, Moroccan Mint Tea," Chickpea Salad Sandwich - 350 calories per portion, 2 portions, may contain gluten"
9,400.0,200.0,160.0,20.0,289.0," Nigerian plantain porridge - 400 calories per portion, 2 portions, no allergic warnings, origin", Baked Falafel," Mini Pizza Bagels - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea, Chickpea and Spinach Stew
10,550.0,180.0,130.0,20.0,234.0, Granola with Soy Milk, Zucchini Fritters, Greek Yogurt with Cinnamon and Honey, Moroccan Mint Tea, Vegan Stuffed Cabbage Rolls
11,200.0,180.0,150.0,20.0,350.0, Vegan Pumpkin Pancakes, Ratatouille, Roasted chickpeas, Moroccan Mint Tea, Greek Spinach Pie (Spanakopita)
12,400.0,100.0,180.0,20.0,300.0," Chicken sausage and vegetable stir-fry (400kcals per portion, 2 portions, origin", Corn on the Cob, Greek Stuffed Grape Leaves (Dolmas), Moroccan Mint Tea," Vegan Thai Green Curry - 300 calories per portion, 2 portions, may contain tofu"
13,280.0,100.0,100.0,20.0,350.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
", Chilled Gazpacho Soup - Approx, Baked Eggplant Chips, Moroccan Mint Tea, Shrimp and Avocado Salad
14,450.0,200.0,480.0,20.0,150.0, Spinach and Feta Breakfast Wrap," Berry Smoothie - 200kcals per portion, 1 portion
    Origin", Vegan Lentil Burgers, Moroccan Mint Tea, Caprese Salad
