,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,120.0,200.0,450.0,400.0," Vegetarian pad Thai with tofu and vegetables (400 calories per portion, 3 portions, contains soy, origin", Veggie Sushi Rolls, Chicken Satay Skewers, Chicken and Vegetable Skillet," Teriyaki vegetable stir-fry with tofu and rice (400 calories per portion, 3 portions, contains soy, origin"
2,300.0,120.0,120.0,400.0,400.0, Teriyaki Tofu Stir Fry, Miso Soup with Tofu, Miso Soup with Tofu, Korean Kimchi Fried Rice, Vegetable Chow Mein
3,300.0,120.0,120.0,450.0,400.0," Vegetable stir-fry with tofu (300 calories per portion, 3 portions, contains soy, origin", Veggie Sushi Rolls, Miso Soup with Tofu, Chicken and Asparagus Stir Fry, Veggie Burger with Avocado Mayo
4,400.0,120.0,120.0,400.0,450.0, Beef and Broccoli Stir-Fry, Miso Soup with Tofu, Veggie Sushi Rolls, Thai Basil Chicken Stir-Fry, Ginger Soy Glazed Salmon
5,400.0,120.0,200.0,300.0,400.0, Veggie Burger with Avocado Mayo, Veggie Sushi Rolls, Chicken Satay Skewers, Korean Japchae," Tofu pad Thai with vegetables and peanuts (400 calories per portion, 3 portions, contains soy and peanuts, origin"
6,300.0,120.0,120.0,450.0,400.0, Beef and Broccoli Stir-Fry, Veggie Sushi Rolls, Miso Soup with Tofu, Chicken and Asparagus Stir Fry," Teriyaki vegetable stir-fry with tofu and rice (400 calories per portion, 3 portions, contains soy, origin"
7,120.0,120.0,200.0,350.0,300.0, Miso Soup with Tofu, Veggie Sushi Rolls, Chicken Lettuce Wraps, Chicken and Broccoli Stir Fry, Teriyaki Tofu Stir Fry
8,350.0,120.0,200.0,450.0,300.0, Korean Bibimbap, Veggie Sushi Rolls, Chicken Satay Skewers, Chicken and Vegetable Rice Bowl," Vegetable stir-fry with tofu (300 calories per portion, 3 portions, contains soy, origin"
9,400.0,120.0,200.0,300.0,400.0, Beef and Snow Pea Stir Fry, Miso Soup with Tofu, Chicken Lettuce Wraps, Beef and Broccoli Stir-Fry, Teriyaki Beef Stir Fry
10,450.0,120.0,200.0,400.0,400.0, Ginger Soy Glazed Salmon, Miso Soup with Tofu, Chicken Satay Skewers, Thai Basil Chicken Stir-Fry, Beef and Snow Pea Stir Fry
11,350.0,120.0,120.0,450.0,400.0, Thai Pineapple Fried Rice, Miso Soup with Tofu, Miso Soup with Tofu, Chicken and Vegetable Rice Bowl," Vegetable pad Thai with tofu and peanuts (400 calories per portion, 3 portions, contains peanuts and soy, origin"
12,400.0,120.0,120.0,350.0,400.0, Beef and Snow Pea Stir Fry, Veggie Sushi Rolls, Veggie Sushi Rolls, Chicken and Broccoli Stir Fry, Veggie Burger with Avocado Mayo
13,400.0,120.0,200.0,450.0,400.0, Honey Glazed Chicken Thighs, Miso Soup with Tofu, Chicken Lettuce Wraps, Chicken and Vegetable Skillet," Teriyaki vegetable stir-fry with tofu and rice (400 calories per portion, 3 portions, contains soy, origin"
14,400.0,120.0,200.0,400.0,400.0," Teriyaki vegetable stir-fry with tofu and rice (400 calories per portion, 3 portions, contains soy, origin", Veggie Sushi Rolls, Chicken Lettuce Wraps, Chicken and Vegetable Stir Fry, Teriyaki Salmon
15,300.0,120.0,120.0,300.0,400.0, Korean Japchae, Miso Soup with Tofu, Miso Soup with Tofu, Korean Japchae," Tofu pad Thai with vegetables and peanuts (400 calories per portion, 3 portions, contains soy and peanuts, origin"
16,450.0,120.0,200.0,300.0,400.0, Chicken and Vegetable Rice Bowl, Miso Soup with Tofu, Chicken Lettuce Wraps, Korean Japchae, Thai Basil Chicken Stir Fry
17,350.0,120.0,200.0,500.0,400.0, Tofu Pad Kra Pao, Miso Soup with Tofu, Chicken Satay Skewers, Teriyaki Chicken with Rice, Thai Basil Chicken Stir Fry
18,450.0,120.0,200.0,250.0,400.0, Ginger Soy Glazed Salmon, Veggie Sushi Rolls, Chicken Satay Skewers, Miso Soup with Tofu and Vegetables, Thai Basil Chicken Stir Fry
19,400.0,120.0,200.0,250.0,400.0, Teriyaki Salmon Bowl, Veggie Sushi Rolls, Chicken Satay Skewers, Miso Soup with Tofu and Vegetables, Teriyaki Salmon Bowl
20,350.0,120.0,120.0,400.0,400.0, Thai Pineapple Fried Rice, Veggie Sushi Rolls, Veggie Sushi Rolls, Korean Kimchi Fried Rice," Vegetarian pad Thai with tofu and vegetables (400 calories per portion, 3 portions, contains soy, origin"
21,400.0,120.0,200.0,300.0,350.0, Teriyaki Salmon, Veggie Sushi Rolls, Chicken Satay Skewers, Beef and Broccoli Stir-Fry, Indonesian Nasi Goreng
22,350.0,120.0,120.0,350.0,400.0, Indonesian Nasi Goreng, Miso Soup with Tofu, Miso Soup with Tofu, Korean Bibimbap, Stir-Fried Noodles with Vegetables
23,450.0,120.0,200.0,450.0,350.0, Beef Stir-Fry with Broccoli, Miso Soup with Tofu, Chicken Lettuce Wraps, Chicken and Asparagus Stir Fry, Vegetarian Sushi Rolls
