,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,200.0,100.0,400.0,350.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Vegan Protein Pancakes," Roasted Cauliflower Hummus - 100 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Thai Pineapple Fried Rice with Tofu, Vegan Curry with Rice
2,350.0,220.0,150.0,400.0,356.0, Vegan Breakfast Bars, Guacamole with Tortilla Chips," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Falafel Wrap, Vegan Miso Ramen
3,400.0,200.0,700.0,250.0,330.0, Vegan Breakfast Quesadilla - 400 calories per portion | 1 portion | Contains gluten | Origin, Chickpea Flour Pancakes, Vegan Pad Thai, Chickpea Salad Sandwich, Vegan Shepherd's Pie
4,400.0,300.0,200.0,250.0,350.0, Vegan Breakfast Hand Pies, Spinach and Mushroom Quesadilla," Vegan Pancakes with Maple Syrup - 200 kcals per portion, 4 portions, no allergic warnings, origin", Black Bean and Corn Salad, Lentil Loaf
5,300.0,100.0,800.0,250.0,200.0, Fruit Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Roasted Edamame, Vegan Spinach Artichoke Dip, Veggie Soba Noodles," Lentil Spinach Soup - 200 calories per portion, 4 portions, None, Various
"
6,250.0,120.0,80.0,400.0,300.0, Vegan Berry Parfait - 250 calories per portion | 2 portions | Contains nuts | Origin, Roasted Chickpeas," Edamame Beans - 80 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea Curry, Vegan Tacos
7,300.0,150.0,130.0,400.0,350.0, Vegan Buckwheat Banana Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Chia Pudding," Veggie Sushi Rolls with Quinoa - 130 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Bibimbap," Greek Vegan Gemista (350 calories/portion, 2 portions) - Greece
"
8,300.0,200.0,180.0,400.0,250.0, Vegan Breakfast Bars - 300 calories per portion | 1 portion | Contains nuts | Origin, Baked Falafel," Vegan Blueberry Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Rice and Beans
Total calories per portion", Thai Peanut Noodles
9,250.0,350.0,80.0,300.0,300.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Quinoa Salad," Baked Kale Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Sweet and Sour Tofu," Ratatouille Stuffed Zucchini - 300 calories per portion, 4 portions, None, France

"
10,200.0,200.0,600.0,350.0,250.0, Vegan Breakfast Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Vegan Blueberry Chia Pudding, Vegan Mushroom Risotto, Vegan BBQ Jackfruit Sandwich, Vegan Kung Pao Tofu
11,300.0,100.0,90.0,300.0,250.0, Vegan Sweet Potato Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Overnight Chia Pudding," Vegan Sweet Potato Toast - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Lebanese Hummus with Pita Bread
Total calories per portion", Ratatouille-Stuffed Tomatoes
12,250.0,100.0,520.0,350.0,320.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin, Roasted Edamame, Vegan Spinach and Artichoke Crostini, Veggie Frittata, Moroccan Vegetable Tagine
13,150.0,300.0,260.0,350.0,350.0, Vegan Breakfast Fruit Pizza, Sweet Potato Toast with Peanut Butter, Spicy Mango Salsa," Vegan Sweet and Sour Tofu
Total calories per portion", Quinoa Chili
14,350.0,220.0,800.0,400.0,350.0, Vegan Breakfast Quinoa Bowl - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Protein Bars with Almonds, Vegan Spinach Artichoke Dip," Mexican Rice and Beans
Total calories per portion", Eggplant Parmesan
15,250.0,180.0,120.0,350.0,200.0, Vegan Cacao Banana Smoothie - 250 calories per portion | 2 portions | None | Origin, Vegan Blueberry Scones, Guacamole and Veggie Sticks, Vegan Curry Fried Rice, Quinoa Salad
16,100.0,180.0,130.0,400.0,200.0, Vegan Breakfast Rice Pudding, Fruity Nice Cream," Sweet and Spicy Roasted Cashews - 130 kcals per portion, 4 portions, allergic warning (cashews), origin"," Vegan Shepherd's Pie
Total calories per portion"," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
17,300.0,260.0,160.0,150.0,350.0, Fruit Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Vegan Pumpkin Spice Muffins," Sweet Potato and Black Bean Quesadillas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille," Italian Vegan Stuffed Peppers (350 calories/portion, 2 portions) - Italy

"
18,250.0,250.0,180.0,400.0,350.0, Vegan Cinnamon Apple Oatmeal - 250 calories per portion | 2 portions | None | Origin, Rice Pudding," Vegan Strawberry Shortcake - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Shepherd's Pie
Total calories per portion"," Japanese Vegan Teriyaki Tofu (350 calories/portion, 2 portions) - Japan
"
19,400.0,250.0,150.0,400.0,300.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin, Vegan Breakfast Tacos," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin"," Brazilian Black Bean Stew
Total calories per portion", Vegan Tikka Masala
20,250.0,150.0,130.0,400.0,300.0, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin, Vegan Chocolate Chip Cookies," Veggie Sushi Rolls with Quinoa - 130 kcals per portion, 4 portions, no allergic warnings, origin", Spicy Tofu Tacos, Sweet Potato and Lentil Curry
21,200.0,250.0,180.0,250.0,300.0, Vegan Scones - 200 calories per portion | 2 portions | Contains gluten | Origin, Vegan Blueberry Waffles," Vegan Blueberry Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Tofu Scramble," Lentil Tacos - 300 calories per portion, 4 portions, None, Mexico
"
