,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,150.0,520.0,20.0,400.0, Greek Yogurt Parfait Bowl, Granola Bar with Dark Chocolate Chips, Vegan Mac and Cheese, Moroccan Mint Tea," Butternut squash ravioli with brown butter sauce - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
2,250.0,200.0,180.0,20.0,450.0, Vegan Pancakes - 250 calories per portion | 2 portions | Contains gluten | Origin, Vegan Banana Muffins," Stuffed Grape Leaves - 180 kcals per portion, 5 portions, may contain nuts (Middle East)", Moroccan Mint Tea, Veggie Pad Thai
3,350.0,200.0,200.0,20.0,200.0," English crumpets with butter and jam (350kcals per portion, 2 portions, dairy allergies, origin", Vegetarian Sausage Rolls, Avocado Toast, Moroccan Mint Tea, Zucchini Noodles with Pesto
4,350.0,200.0,960.0,20.0,300.0, Egg Stuffed Peppers, Vegan Banana Bread, Vegan Southwestern Black Bean Salad, Moroccan Mint Tea," Greek Vegan Tzatziki with Pita Bread (300 calories/portion, 2 portions) - Greece
"
5,250.0,200.0,150.0,20.0,350.0, Vegan Banana Bread," Chocolate Protein Balls - 200kcals per portion, 1 portion
    Origin", Mini Quiche, Moroccan Mint Tea," Quinoa-stuffed bell peppers - 350 kcals per portion, 4 portions, vegetarian, gluten-free
"
6,250.0,190.0,180.0,20.0,300.0, Raspberry Chia Pudding, Apple Cinnamon Muffins, Veggie Stuffed Pita Bread, Moroccan Mint Tea," Sweet Potato and Chickpea Curry - 300 calories/portion, 4 portions, Origin"
7,320.0,80.0,120.0,20.0,450.0," Caramelized onion and goat cheese tart (320 calories per portion, 2 portions, contains dairy, French origin)
", Kale Chips," Chia Pudding with Fresh Berries - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegetable Stroganoff - 450 calories/portion, 4 portions, contains gluten and dairy (Russia)
"
8,300.0,200.0,180.0,20.0,460.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Mediterranean Quinoa Salad, Guacamole with vegetable sticks, Moroccan Mint Tea, Creamy Vegan Mushroom Pasta
9,200.0,180.0,150.0,20.0,350.0," Vegetable omelette - 200 calories per portion, 2 portions, no allergic warnings, origin", Vegan Blueberry Scones, Apple slices with peanut butter, Moroccan Mint Tea," Eggplant rollatini – 350 calories per portion, 3 portions, vegetarian-friendly (origin"
10,500.0,120.0,200.0,20.0,450.0," Vietnamese banh mi sandwich with eggs, pickled carrots, and cilantro (500kcals per portion, 2 portions, origin", Greek yogurt with honey, Banana Bread, Moroccan Mint Tea," Indian Vegan Paneer Tikka Masala (450 calories/portion, 3 portions) - India
"
11,350.0,150.0,150.0,20.0,400.0, Vegan Breakfast Bars, Green Smoothie, Baked Buffalo Cauliflower Bites, Moroccan Mint Tea," Black Bean and Spinach Quesadillas - 400 calories/portion, 4 portions, Origin"
12,250.0,200.0,220.0,20.0,300.0, Vegan Breakfast Strata, Mexican Street Corn Salad, Guacamole with Tortilla Chips, Moroccan Mint Tea, Quinoa Stuffed Peppers
13,400.0,200.0,160.0,20.0,350.0, Vegan Breakfast Burrito Bowl - 400 calories per portion | 1 portion | None | Origin, Avocado Toast," Spinach Stuffed Mushrooms - 160 kcals per portion, 3 portions, contains dairy (USA)", Moroccan Mint Tea," Vegetable Bolognese - 350 calories/portion, 4 portions, contains gluten (Italy)
"
14,200.0,100.0,150.0,20.0,400.0, Vegan Blueberry Pancakes, Carrot Sticks with Ranch Dip, Mixed berry smoothie, Moroccan Mint Tea," Greek salad with grilled shrimp – 400 calories per portion, 3 portions, contains shellfish (origin"
15,250.0,160.0,200.0,20.0,450.0, Vegan Blueberry Chia Pancakes, Bruschetta, Yogurt parfait, Moroccan Mint Tea," Thai Vegan Massaman Curry (450 calories/portion, 2 portions) - Thailand
"
16,350.0,150.0,200.0,20.0,250.0, Acai Bowl, Quinoa and Black Bean Salad, Mini Crab Cakes, Moroccan Mint Tea," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)

Please note that these calorie estimates are approximate and can vary based on specific ingredients and portion sizes used"
17,350.0,150.0,200.0,20.0,450.0," Veggie breakfast wrap with scrambled eggs (350kcals per portion, 2 portions, origin", Oatmeal Raisin Energy Bites, Stuffed Grape Leaves, Moroccan Mint Tea," Ham and cheese stuffed chicken breast with roasted potatoes - 450 kcals per portion, 4 portions, contains lactose
"
18,450.0,220.0,120.0,20.0,250.0, Vegan Biscuits and Gravy - 450 calories per portion | 1 portion | Contains gluten | Origin, Vegan Banana Walnut Bread, Roasted Chickpeas, Moroccan Mint Tea," Mexican Corn Salad - 250 calories/portion, 4 portions, contains cilantro (Mexico)
"
19,400.0,200.0,160.0,20.0,350.0, French Toast, Mixed Berry Oat Bars, Goat Cheese and Honey Crostini, Moroccan Mint Tea, Lentil Loaf
