,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,80.0,170.0,20.0,200.0," Egyptian foul medames (fava bean stew) - 300 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad, Corn tortilla chips with salsa, Moroccan Mint Tea," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
2,300.0,80.0,170.0,20.0,180.0," Poha (Indian flattened rice dish) - 300 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad," Vegan Mediterranean Flatbread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Caprese Salad - 180kcals per portion, 4 portions, contains dairy (Italy)
"
3,250.0,80.0,80.0,20.0,200.0, Spinach and Mushroom Oatmeal, Fresh Squeezed Orange Juice, Stuffed Mushroom Caps, Moroccan Mint Tea," Avocado and Tomato Salad - 200 calories/portion, 2 portions, Origin"
4,450.0,50.0,150.0,20.0,200.0, Vegan Breakfast Pho, Baked Apple Chips - Approx, Blueberry Oat Muffins, Moroccan Mint Tea," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
5,350.0,80.0,80.0,20.0,200.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin", Avocado Deviled Eggs, Tomato and cucumber salad, Moroccan Mint Tea," Spinach and Feta Stuffed Mushrooms - 200 calories/portion, 4 portions, Origin"
6,450.0,80.0,320.0,20.0,160.0," Spanish hot chocolate with churros (450kcals per portion, 2 portions, origin", Kale Chips, Mini bagel pizzas, Moroccan Mint Tea," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
7,200.0,60.0,250.0,20.0,200.0, Quinoa Veggie Breakfast Skillet, Cucumber and tomato salad, Smoked Salmon and Dill Cream Cheese Cucumber Bites, Moroccan Mint Tea," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
8,300.0,80.0,180.0,20.0,220.0," Chia pudding with mixed berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad, Vegetable sushi rolls, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
9,350.0,80.0,540.0,20.0,200.0, Ricotta Pancakes, Avocado Deviled Eggs, Stuffed Bell Peppers, Moroccan Mint Tea, Lentil Spinach Soup
10,300.0,80.0,600.0,20.0,200.0," Yogurt parfait with granola and fruit - 300 calories per portion, 1 portion, may contain gluten, origin", Apple with Cinnamon, Vegan Shepherd's Pie, Moroccan Mint Tea," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
11,200.0,80.0,100.0,20.0,150.0, Spinach and Mushroom Breakfast Tacos, Avocado Deviled Eggs, Baked zucchini fries, Moroccan Mint Tea," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
12,350.0,80.0,180.0,20.0,200.0, Moroccan Shakshuka, Fresh Squeezed Orange Juice," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Italian Caprese Salad (200 calories/portion, 2 portions) - Italy
"
13,350.0,80.0,90.0,20.0,150.0, Spinach and Goat Cheese Omelette, Cheesy Popcorn," Fresh Fruit Salad - 90 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea, Spinach and Feta Stuffed Mushrooms
14,380.0,50.0,200.0,20.0,200.0," Ricotta and cherry-stuffed French toast (380 calories per portion, 2 portions, contains dairy, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cheese and Spinach Puffs, Moroccan Mint Tea," Butternut Squash Soup - 200 calories per portion, 4 portions, None, Various
"
15,250.0,70.0,300.0,20.0,200.0, Greek Feta and Tomato Toast, Kale chips, Mini Pita Pizzas, Moroccan Mint Tea," Greek Veggie Skewers - 200 calories/portion, 4 portions, Origin"
16,220.0,80.0,200.0,20.0,80.0," Scrambled eggs with toast - 220 calories per portion, 2 portions, no allergic warnings, origin", Mango with Chili Powder, Veggie burger sliders, Moroccan Mint Tea," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
"
17,350.0,60.0,180.0,20.0,200.0, Spinach and Goat Cheese Omelette, Fruit Salad - Approx, Apple Slices with Cinnamon Yogurt Dip, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
18,400.0,80.0,200.0,20.0,180.0," Breakfast quesadilla - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Cheesy Popcorn," Vegan Pumpkin Pancakes - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Greek Roasted Vegetables - 180kcals per portion, 4 portions
"
19,400.0,60.0,120.0,20.0,180.0," Lebanese fatteh (pita chips soaked in yogurt and topped with nuts) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Cucumber and tomato salad, Roasted Chickpeas, Moroccan Mint Tea," Lentil and vegetable soup - 180 calories per portion, 6 portions, none
"
20,300.0,80.0,210.0,20.0,200.0, Vegan Pumpkin Spice Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Avocado Deviled Eggs, Tomato and Mozzarella Bruschetta, Moroccan Mint Tea," Caprese Salad - 200 calories/portion, 4 portions, contains dairy (Italy)
"
21,400.0,80.0,280.0,20.0,200.0, Sourdough Biscuits and Mushroom Gravy, Stuffed Dates, Vegan Lemon Poppy Seed Muffins, Moroccan Mint Tea," Black Bean and Corn Salad - 200 calories per portion, 4 portions, None, Various
"
22,300.0,70.0,160.0,20.0,180.0, Vegan Cinnamon Rolls - 300 calories per portion | 1 portion | Contains gluten | Origin, Kale chips," Spinach Stuffed Mushrooms - 160 kcals per portion, 3 portions, contains dairy (USA)", Moroccan Mint Tea," Lentil and vegetable soup - 180 calories per portion, 6 portions, none
"
23,150.0,80.0,180.0,20.0,200.0, Scrambled Tofu, Fresh Watermelon Slices - Approx, Baked Coconut Shrimp, Moroccan Mint Tea," Spinach and Goat Cheese Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
24,400.0,60.0,180.0,20.0,150.0," Sri Lankan hoppers with coconut sambol - 400 calories per portion, 2 portions, contains gluten, origin", Fruit Salad - Approx," Tapioca Pudding - 180 kcals per portion, 3 portions, contains dairy (World)", Moroccan Mint Tea, Swiss Chard and Lentil Soup
25,350.0,80.0,200.0,20.0,200.0," Turkish borek (savory pastry) filled with cheese - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Fresh Squeezed Orange Juice, Stuffed grape leaves with rice and herbs, Moroccan Mint Tea," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
26,300.0,80.0,200.0,20.0,150.0, Aloo Tikki, Fresh Watermelon Slices - Approx, Spinach Dip, Moroccan Mint Tea, Veggie Stir-Fry
27,350.0,60.0,220.0,20.0,200.0, Quinoa Breakfast Bake, Fruit Salad - Approx, Beetroot Hummus with Pita Bread, Moroccan Mint Tea," Spanakopita - 200 calories per portion, 6 portions, contains gluten and dairy (Greece)
"
28,300.0,60.0,180.0,20.0,160.0," Breakfast bruschetta - 300 calories per portion, 2 portions, contains gluten, origin", Cucumber and tomato salad," Pineapple Salsa with Tortilla Chips - 180 kcals per portion, 3 portions, contains gluten (Various)", Moroccan Mint Tea," Vegan Lentil and Vegetable Shepherd's Pie - 160 calories per portion, 4 portions, may contain gluten"
29,300.0,80.0,180.0,20.0,150.0, Vegan Buckwheat Banana Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Stuffed Dates, Cheesy Garlic Breadsticks, Moroccan Mint Tea, Greek Salad
30,250.0,80.0,300.0,20.0,150.0, Greek Feta and Tomato Toast, Stuffed Dates, Mini Pita Pizzas, Moroccan Mint Tea, Swiss Chard and Lentil Soup
31,400.0,80.0,160.0,20.0,150.0, Veggie Biscuits and Gravy, Apple with Cinnamon," Baked Sweet Potato Fries - 160 kcals per portion, 3 portions, may contain gluten (USA)", Moroccan Mint Tea," Ratatouille - 150 calories per portion, 6 portions, None, France
"
32,350.0,80.0,70.0,20.0,150.0," Moroccan msemen (thin layered pastry) with honey - 350 calories per portion, 2 portions, contains gluten, origin", Fresh Watermelon Slices - Approx, Baked kale chips, Moroccan Mint Tea," Ratatouille - 150 calories per portion, 6 portions, None, France
"
33,350.0,60.0,180.0,20.0,220.0," Cheesy scrambled eggs - 350 calories per portion, 1 portion, contains dairy, origin", Fruit Salad - Approx," Vegan Black Bean Brownies - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Spicy Black Bean Soup
34,350.0,80.0,100.0,20.0,200.0, Chocolate Chip Muffins, Cheesy Popcorn, Thai Fresh Spring Rolls, Moroccan Mint Tea, Stuffed Zucchini Boats
35,200.0,70.0,150.0,20.0,180.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Kale chips, Steamed edamame, Moroccan Mint Tea, Lentil Soup
