,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,50.0,250.0,100.0,250.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
", Baked Apple Chips - Approx, Thai Mango Sticky Rice, Israeli salad, Stuffed Portobello Mushrooms
2,400.0,50.0,280.0,20.0,250.0," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Greek Spinach Pie, Moroccan Mint Tea, Vegan Zucchini Bread
3,300.0,50.0,380.0,20.0,380.0, Vegan Chocolate Chip Pancakes, Baked Apple Chips - Approx, Mini chicken pot pies, Moroccan Mint Tea," Spinach and Cheese Stuffed Shells - 380kcals per portion, 4 portions, contains dairy
"
4,300.0,50.0,220.0,100.0,180.0, Aloo Paratha," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cheese and Spinach Triangles, Israeli salad, Spinach and Mushroom Frittata
5,500.0,50.0,160.0,20.0,250.0," American biscuits and gravy with sausage (500kcals per portion, 2 portions, pork allergies, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Grilled Portobello Mushroom Burger - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Stuffed Portobello Mushrooms - 250 calories per portion, 4 portions, None, Various
"
6,350.0,50.0,180.0,20.0,400.0, Vegan Vegetable Frittata - 350 calories per portion | 1 portion | None | Origin, Baked Apple Chips - Approx, Veggie Stuffed Pita Bread, Moroccan Mint Tea," Moroccan chickpea stew with couscous (400 calories per portion, 3 portions, vegan-friendly, origin"
7,450.0,50.0,80.0,20.0,400.0, Quinoa Breakfast Bowl, Baked Apple Chips - Approx, Veggie Spring Rolls, Moroccan Mint Tea," Butternut squash ravioli with brown butter sauce - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
8,400.0,50.0,180.0,100.0,300.0," Veggie-packed breakfast tacos with tofu scramble (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Baked Apple Chips - Approx," Antipasto skewers (olives, mozzarella, salami)", Israeli salad, Ratatouille Stuffed Portobello Mushrooms
9,400.0,50.0,100.0,20.0,380.0, Veggie Bagel Sandwich," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Grilled Halloumi Skewers, Moroccan Mint Tea," Sushi rolls with avocado and cucumber – 380 calories per portion, 4 portions, contains fish (origin"
10,300.0,50.0,560.0,20.0,300.0," Zucchini and carrot muffins (300kcals per portion, 2 portions)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Vegan Mediterranean Pasta Salad, Moroccan Mint Tea, Mexican Quinoa Salad
11,250.0,50.0,160.0,100.0,300.0, Vegan Cinnamon Apple Oatmeal - 250 calories per portion | 2 portions | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Black Olive Tapenade with Crackers, Israeli salad," Lentil Curry - 300 calories per portion, 4 portions, Gluten (optional), India
"
12,250.0,50.0,200.0,20.0,350.0, Muesli with Almond Milk," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Hummus and Veggie Wrap, Moroccan Mint Tea," Ratatouille Quinoa Bowl - 350 calories/portion, 4 portions, contains garlic (France)
"
13,300.0,50.0,380.0,20.0,180.0, Vegetable Upma, Baked Apple Chips - Approx, Vegan Chocolate Chip Cookies, Moroccan Mint Tea," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
"
14,350.0,50.0,440.0,100.0,400.0," Indian masala dosa with chutney and sambar (350kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Vegan Gyoza, Israeli salad, Vegan Moussaka
15,400.0,50.0,180.0,20.0,350.0," South African boerewors sausage with tomato chutney (400kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Blueberry Muffins, Moroccan Mint Tea, Vegan Mac and Cheese
16,400.0,50.0,120.0,100.0,350.0, Vegan Breakfast Stuffed Sweet Potatoes - 400 calories per portion | 1 portion | None | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Dark Chocolate Energy Balls, Israeli salad, Shrimp and Avocado Salad
17,400.0,50.0,260.0,100.0,400.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Baked Apple Chips - Approx, Greek Feta and Spinach Patties, Israeli salad," Thai Peanut Noodle Salad - 400 calories per portion, 4 portions, contains gluten (noodles), Origin"
18,300.0,50.0,120.0,20.0,350.0, Idli and Sambar," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Greek Yogurt Fruit Dip, Moroccan Mint Tea," Quinoa Stuffed Bell Peppers - 350 calories per portion, 4 portions, None, Various
"
19,400.0,50.0,180.0,100.0,300.0, Vegan Breakfast Stuffed Peppers - 400 calories per portion | 1 portion | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Antipasto Skewers, Israeli salad," Zucchini noodles with pesto - 300 calories per portion, 4 portions, contains nuts (Italy)
"
20,350.0,50.0,180.0,100.0,350.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Veggie Snack Wrap, Israeli salad," Greek Spanakopita (350 calories/portion, 3 portions) - Greece
"
21,350.0,50.0,160.0,20.0,300.0, Huevos Rancheros, Baked Apple Chips - Approx, Strawberry Parfait, Moroccan Mint Tea, Lentil Biryani
22,200.0,50.0,300.0,20.0,240.0, Blueberry Almond Baked Oatmeal," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Vegetable Fajitas, Moroccan Mint Tea," Greek Feta Spinach Pie - 240kcals per portion, 4 portions, contains dairy (Greece)
"
23,350.0,50.0,100.0,100.0,250.0," Jamaican cornmeal porridge with cinnamon and nutmeg (350kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Stuffed Mushrooms, Israeli salad, Lentil Loaf
24,350.0,50.0,150.0,100.0,300.0," Yogurt and fruit smoothie bowl (350 calories per portion, 2 portions, contains dairy, American origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Roasted Vegetable Bruschetta, Israeli salad," Vegetarian Chili - 300 calories/portion, 4 portions, contains beans (Various)

"
25,350.0,50.0,200.0,100.0,180.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Baked Apple Chips - Approx, Mini Quinoa Stuffed Peppers, Israeli salad," Greek Roasted Vegetables - 180kcals per portion, 4 portions
"
26,250.0,50.0,180.0,100.0,300.0," Syrian ka'ak (sesame bread rings) - 250 calories per portion, 1 portion, contains gluten, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Vegan Blueberry Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Vegan Chickpea Curry
27,320.0,50.0,160.0,100.0,300.0," Spinach and mushroom breakfast wrap (320 calories per portion, 2 portions, nut-free, American origin)
", Baked Apple Chips - Approx, Carrot Zucchini Muffins, Israeli salad," Sweet Potato and Chickpea Curry - 300 calories/portion, 4 portions, Origin"
28,350.0,50.0,100.0,100.0,350.0, Cranberry Orange Muffins, Baked Apple Chips - Approx, Caprese Skewers, Israeli salad," Greek Salad with Grilled Chicken - 350 calories per portion, 4 portions, contains dairy (cheese), Origin"
29,400.0,50.0,120.0,20.0,350.0," Lebanese fatteh (pita chips soaked in yogurt and topped with nuts) - 400 calories per portion, 2 portions, contains gluten and dairy, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Vegan Spinach and Mushroom Frittata - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Quinoa-Stuffed Bell Peppers - 350 calories/portion, 4 portions, contains nuts (Various)
"
30,160.0,50.0,250.0,100.0,350.0," Scrambled eggs with spinach and feta (160 calories per portion, 2 portions, contains dairy, Greek origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Coconut chia pudding, Israeli salad," Caprese Quinoa Stuffed Peppers - 350 calories/portion, 4 portions, Origin"
31,300.0,50.0,300.0,20.0,300.0, Veggie Breakfast Quesadilla," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mini Beef Empanadas, Moroccan Mint Tea, Mediterranean Stuffed Eggplant
32,250.0,50.0,150.0,20.0,300.0," Overnight oats with berries and almond milk (250 calories per portion, 2 portions, nut-free, American origin)
", Baked Apple Chips - Approx, Mini spinach and feta quiches, Moroccan Mint Tea, Indian-Style Spinach and Chickpeas
33,400.0,50.0,150.0,20.0,400.0," Banana pancakes - 400 calories per portion, 2 portions, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Yogurt Parfait, Moroccan Mint Tea," Veggie Sushi Bowl - 400 calories/portion, 2 portions, Origin"
34,350.0,50.0,350.0,100.0,280.0," Afghan bolani (stuffed flatbread) with yogurt sauce - 350 calories per portion, 2 portions, contains gluten and dairy, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Quinoa salad, Israeli salad, Lentil and Spinach Curry
35,400.0,50.0,140.0,100.0,250.0, Veggie Breakfast Pizza," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Mini Vegetable Quinoa Cups - 140 kcals per portion, 4 portions, gluten-free (Various)", Israeli salad, Vegan Tofu Scramble
36,350.0,50.0,250.0,20.0,350.0," Russian syrniki (cottage cheese pancakes) - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Apple Chips - Approx," Sushi - 250 kcals per portion, 2 portions, contains fish, soy (Japan)", Moroccan Mint Tea," Coconut Curry Shrimp - 350 calories per portion, 4 portions, contains shellfish, Origin"
37,300.0,50.0,800.0,100.0,350.0, Classic Peanut Butter and Jelly," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Vegan Spinach Artichoke Dip, Israeli salad," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
