,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,200.0,250.0,20.0,300.0, Vegan Breakfast Shakshuka, Sweet Potato Fritters," Oven-Baked Chicken Wings - 250 kcals per portion, 2 portions, gluten-free (USA)", Moroccan Mint Tea, Teriyaki Tofu Bowl
2,350.0,240.0,180.0,20.0,300.0," Mediterranean-style omelette with tomatoes and feta (350 calories per portion, 2 portions, contains dairy, Greek origin)
", Spinach and Feta Puffs," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Moroccan Mint Tea, Vegan Soba Noodle Stir-Fry
3,180.0,150.0,180.0,20.0,200.0, Overnight Chia Pudding," Caprese Salad Skewers - 150kcals per portion, 2 portions
     Origin", Greek Yogurt Parfait, Moroccan Mint Tea," Avocado and Tomato Salad - 200 calories/portion, 2 portions, Origin"
4,250.0,120.0,180.0,20.0,300.0," Vegan overnight oats with almond milk and berries (250kcals per portion, 2 portions, nut allergies)
", Cottage Cheese with Tomato, Vegetable sushi rolls, Moroccan Mint Tea," Vegan Mushroom Stroganoff - 300 calories per portion, 2 portions, may contain gluten"
5,350.0,280.0,90.0,20.0,250.0," Pakistani spicy omelet with onions and green chilies (350kcals per portion, 2 portions, origin", Berry Smoothie Bowl," Baked Apple Chips - 90 kcals per portion, 4 portions, gluten-free (USA)", Moroccan Mint Tea, Greek Lemon Potatoes
6,400.0,200.0,120.0,20.0,300.0," Polish jajecznica (scrambled eggs with kielbasa) - 400 calories per portion, 2 portions, no allergic warnings, origin", Vegetable Frittata, No-Bake Energy Bars, Moroccan Mint Tea," Mediterranean Pasta Salad - 300 calories/portion, 4 portions, Origin"
7,350.0,150.0,220.0,20.0,300.0, Scrambled Eggs with Smoked Salmon, Antipasto Skewers - Approx, Vegetarian sushi rolls, Moroccan Mint Tea," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
8,350.0,220.0,150.0,20.0,200.0," Mediterranean-style omelette with tomatoes and feta (350 calories per portion, 2 portions, contains dairy, Greek origin)
", Banana pancakes, Zucchini chips, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
9,200.0,200.0,180.0,20.0,300.0, Mediterranean Vegetable Omelette, Green Tea Infused Overnight Oats - Approx," Trail mix (nuts, dried fruits, seeds)", Moroccan Mint Tea, Lentil Curry with Rice
10,500.0,100.0,120.0,20.0,300.0, Cheddar and Herb Quiche, Tomato Basil Bruschetta, Ricotta Stuffed Cherry Tomatoes, Moroccan Mint Tea," Mexican Black Bean Tacos (300 calories/portion, 2 portions) - Mexico
"
