,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,180.0,280.0,190.0,250.0, Veggie Biscuits and Gravy, Tomato and Cheese Toast, Vegan Nachos," Tomato and Basil Bruschetta - 190kcals per portion, 2 portions, contains gluten (Italy)
"," Quinoa Stuffed Mushrooms - 250 calories/portion, 4 portions, Origin"
2,300.0,200.0,70.0,400.0,400.0, Vegan French Toast, Granola Bar, Stuffed Cucumbers," Veggie Sushi Burrito - 400kcals per portion, 1 portion, contains soy, gluten (Japan)
", Veggie Burrito Bowl
3,250.0,180.0,180.0,250.0,300.0, Vegan Breakfast Strata, Ratatouille, Oatmeal Raisin Cookies," Quinoa Stuffed Mushrooms - 250kcals per portion, 2 portions, no allergies
"," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
4,250.0,200.0,120.0,380.0,380.0, Mexican Churro Waffles, Greek Yogurt and Honey Toast, Fruit Salad," Greek Moussaka - 380kcals per portion, 2 portions, contains gluten, dairy (Greece)
"," Spinach and Ricotta Stuffed Shells - 380kcals per portion, 4 portions, contains dairy (Italy)
"
5,200.0,170.0,80.0,350.0,250.0, Mini Vegetable Quiche, Chocolate Chia Pudding, Stuffed Mini Peppers," Veggie Tacos - 350kcals per portion, 2 portions, contains gluten
"," Greek Fava - 250kcals per portion, 4 portions
"
6,300.0,200.0,220.0,600.0,200.0, Feta and Spinach Muffins, Roasted Beet and Goat Cheese Salad, Tomato and Mozzarella Stuffed Portobello Mushrooms, Lentil Sloppy Joes," Spinach and Goat Cheese Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
7,300.0,200.0,240.0,280.0,80.0, Vegan Breakfast Burrito, Vegetable Frittata, Stuffed Bell Peppers with Quinoa," Black Bean Soup - 280kcals per portion, 4 portions, contains legumes
"," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
"
8,300.0,180.0,300.0,250.0,250.0, Overnight Cherry Almond Oats, Egg Muffins, Veggie Nachos, Lentil and vegetable stew," Veggie Burrito Bowl - 250 calories/portion, 4 portions, Origin"
9,250.0,100.0,160.0,350.0,160.0, Vegan Pancake Skewers, Fruit Salad, Roasted Eggplant Dip, Quinoa stuffed bell peppers," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
10,250.0,100.0,180.0,250.0,250.0, Veggie Omelette, Cucumber Sandwiches, Oatmeal Raisin Cookies," Ratatouille - 250kcals per portion, 4 portions, no allergies, Origin", Ratatouille Stuffed Portobello Mushrooms
11,200.0,160.0,280.0,270.0,400.0, Peanut Butter and Banana Smoothie, Apple Chips, Sweet Potato and Black Bean Quesadillas," Greek Lentil Soup - 270kcals per portion, 4 portions, contains legumes (Greece)
", Vegetarian Lasagna
12,200.0,200.0,220.0,400.0,380.0, Vegan Blueberry Pancakes, Roasted Mediterranean Vegetables, Mango Coconut Chia Pudding, Roasted Butternut Squash Salad," Vegetable Pot Pie - 380kcals per portion, 4 portions
"
13,350.0,150.0,100.0,200.0,180.0, Bread Upma, Zucchini Noodles with Marinara Sauce, Fruit Salad, Vegetable and lentil samosas," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
"
14,300.0,180.0,120.0,180.0,330.0, Quinoa Breakfast Bowl, Cantaloupe with Cottage Cheese, Spinach and Ricotta Stuffed Mushrooms, Tomato and basil bruschetta," Lentil Burgers - 330kcals per portion, 4 portions, contains legumes
"
15,250.0,100.0,280.0,220.0,300.0, Vegan Banana Muffins, Frozen Grapes, Cucumber and Avocado Sushi, Greek lemon potatoes, Eggplant Parmesan Sliders
16,250.0,190.0,150.0,300.0,390.0, Whole Wheat Veggie Breakfast Wrap, Rice Cakes with Peanut Butter, Bruschetta," Lentil Sloppy Joes - 300kcals per portion, 4 portions, no allergies
"," Lentil Shepherd's Pie - 390kcals per portion, 4 portions, contains legumes (UK)
"
17,150.0,200.0,200.0,250.0,350.0, Fruit Smoothie, Blueberry Muffins, Bruschetta with Mozzarella and Basil," Green Pea Soup - 250kcals per portion, 4 portions, no allergies, Origin"," Greek Stuffed Peppers with Rice and Feta - 350kcals per portion, 4 portions, contains dairy
"
18,300.0,150.0,180.0,400.0,250.0, Quinoa Porridge, Rice Cake with Peanut Butter, Sweet and Spicy Roasted Almonds," Caprese Stuffed Portobello Mushrooms - 400kcals per portion, 2 portions, contains dairy
"," Veggie Pho with Tofu - 250 calories/portion, 4 portions, Origin"
19,300.0,160.0,160.0,400.0,350.0, Vegan French Toast, Cheese and Spinach Rolls, Roasted Sweet Potato Slices, Vegetarian Spring Rolls," Quinoa and Black Bean Burritos - 350 calories/portion, 4 portions, Origin"
20,200.0,200.0,160.0,250.0,400.0, Vegetarian Quiche, Veggie Pancakes, Hummus with Veggie Sticks," Greek Lentil Salad - 250kcals per portion, 4 portions, no allergies, Origin", Vegetable Soba Noodles
21,300.0,200.0,150.0,350.0,350.0, Pancakes with Maple Syrup, Greek Yogurt with Pistachios and Honey, Fruit Skewers with Yogurt Dip, Chickpea salad wrap," Vegetable Bolognese - 350 calories/portion, 4 portions, contains gluten (Italy)
"
22,300.0,200.0,190.0,400.0,270.0, Idli and Sambar, Blueberry Chia Jam with Whole Wheat Toast, Cucumber and Avocado Gazpacho," Mushroom Risotto - 400kcals per portion, 2 portions, contains dairy, Origin"," Greek Briam with Feta Cheese - 270kcals per portion, 4 portions, contains dairy
"
23,200.0,180.0,210.0,380.0,350.0, Caprese Avocado Toast, Bruschetta with Tomatoes and Basil, Veggie Pizza Bagels," Spinach and Ricotta Cannelloni - 380kcals per portion, 3 portions, contains dairy, Origin"," Lemon Asparagus Pasta - 350 calories/portion, 2 portions, Origin"
24,250.0,200.0,180.0,900.0,350.0, Greek Yogurt Parfait Bowl, Baked Zucchini Fries, Crispy Tofu Bites, Black Bean Enchiladas," Spinach and Goat Cheese Stuffed Mushrooms - 350kcals per portion, 4 portions, contains dairy

"
25,300.0,150.0,100.0,400.0,400.0, Baked Egg in Avocado, Oatmeal Raisin Energy Bites, Baked Kale Chips," Quinoa Black Bean Burgers - 400kcals per portion, 2 portions, no allergies
"," Lentil Shepherd's Pie - 400 calories/portion, 4 portions, contains gluten (United Kingdom)
"
