,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,100.0,150.0,20.0,150.0, Vegan Breakfast Burrito Bowl, Fresh Fruit Salad, Mini spinach and feta quiches, Moroccan Mint Tea, Caprese Salad
2,200.0,200.0,160.0,20.0,240.0, Greek Yogurt Pancakes, Rice Cakes with Peanut Butter, Avocado and Tomato Bruschetta, Moroccan Mint Tea, Vegan Margherita Pizza
3,400.0,250.0,170.0,20.0,100.0, Shakshuka with Halloumi Cheese, Bruschetta with Avocado and Feta, Corn tortilla chips with salsa, Moroccan Mint Tea," Japanese Miso Soup with Tofu (100 calories/portion, 4 portions) - Japan
"
4,350.0,200.0,120.0,20.0,150.0," Pita bread with hummus and vegetables - 350 calories per portion, 2 portions, contains gluten, origin", Almond Joy Protein Bars - Approx," Fruit Smoothie - 120 kcals per portion, 2 portions, gluten-free (USA)", Moroccan Mint Tea, Caprese Salad
5,380.0,300.0,120.0,20.0,230.0," Ricotta and berry-stuffed French toast (380 calories per portion, 2 portions, contains dairy, American origin)
", Vegan Cinnamon French Toast, Miso Soup with Tofu, Moroccan Mint Tea," Quinoa-Stuffed Bell Peppers - 230kcals per portion, 4 portions, gluten-free
"
6,300.0,180.0,220.0,20.0,200.0," Strawberry banana overnight oats (300 calories per portion, 2 portions, nut-free, American origin)
", Granola bars, Vegan Banana Pancakes, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
7,400.0,200.0,150.0,20.0,170.0," Egyptian feteer meshaltet (layered pastry) with honey - 400 calories per portion, 2 portions, contains gluten, origin", Vegan Yogurt Parfait, Baked Parmesan Zucchini Fries, Moroccan Mint Tea, Miso Soup with Tofu and Vegetables
8,200.0,100.0,140.0,20.0,100.0, Oatmeal with Berries, Caprese Skewers," Roasted Chickpeas - 140 kcals per portion, 4 portions, gluten-free (World)", Moroccan Mint Tea," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
9,300.0,250.0,180.0,20.0,150.0," Chia pudding with mixed berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Quinoa salad with roasted vegetables, Guacamole with vegetable sticks, Moroccan Mint Tea," Steamed Fish with Lemon Butter Sauce - 150 calories per portion, 4 portions, no allergic warnings, Origin"
10,350.0,280.0,250.0,20.0,200.0," Irish soda bread with butter and jam - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Tofu Scramble, Cheese and Spinach Triangles, Moroccan Mint Tea," Spinach and feta stuffed mushrooms - 200 kcals per portion, 4 portions, vegetarian, gluten-free
"
