,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,150.0,200.0,150.0,300.0, Vegan Protein Smoothie, Vegan Chocolate Chip Cookies, Spinach and artichoke dip with tortilla chips, Lentil Soup," Veggie Chili - 300 calories/portion, 4 portions, Origin"
2,400.0,160.0,250.0,150.0,450.0, Vegan Peanut Butter Banana Wrap - 400 calories per portion | 1 portion | Contains nuts | Origin, Cheese and Spinach Rolls, Tuna salad on whole grain crackers, Spinach and mushroom frittata," Mediterranean Roasted Vegetable Quiche - 450 calories/portion, 4 portions, contains gluten and dairy (Various)
"
3,350.0,150.0,250.0,150.0,220.0, Coconut Milk Rice Pudding, Homemade Trail Mix - Approx, Spinach and Artichoke Dip with Pita Chips, Greek Tzatziki Dip with Pita, Grilled Vegetable Skewers
4,450.0,160.0,180.0,150.0,400.0," Persian barbari bread with feta and cucumber (450kcals per portion, 2 portions, origin", Cheese and Spinach Rolls, Stuffed Bell Peppers with Quinoa and Black Beans, Tomato and Basil Bruschetta," Tomato and Basil Pasta - 400 calories per portion, 3 portions, may contain gluten"
5,350.0,150.0,120.0,180.0,400.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin, Boiled Egg with Whole Wheat Crackers," Pico de Gallo with Tortilla Chips - 120 kcals per portion, 1 portion, contains gluten (Mexico)"," Greek Salad - 180kcals per portion, 2 portions, contains dairy (Greece)
", Italian Antipasto Platter
6,150.0,180.0,160.0,180.0,400.0, Scrambled Tofu, Cantaloupe with Cottage Cheese," Chickpea Salad Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Mexican black bean and corn salad, Vegetable Udon Stir-Fry
7,400.0,150.0,100.0,150.0,200.0, Veggie Breakfast Pizza Rolls, Green Smoothie, Baked zucchini fries," Caponata - 150kcals per portion, 4 portions, no allergies, Origin", Vegan Bibimbap
8,150.0,150.0,280.0,150.0,310.0, Vegan Peanut Butter Banana Smoothie, Baked Sweet Potato Fries - Approx, Mini chicken lettuce wraps, Caprese Salad," Spinach and Feta Stuffed Peppers - 310kcals per portion, 4 portions, contains dairy
"
9,350.0,180.0,150.0,150.0,450.0, Maple Pecan Granola with Yogurt, Vegan Blueberry Muffins, Mixed berry salad with honey citrus dressing, Gazpacho Soup," Vegetable Biryani Casserole - 450 calories/portion, 4 portions, contains nuts (India)
"
10,300.0,150.0,220.0,150.0,400.0, Aloo Tikki, Berry Smoothie, Beetroot Hummus with Pita Bread, Greek Taramasalata, Hawaiian Grilled Shrimp Skewers
11,450.0,180.0,200.0,20.0,400.0, Vegan Breakfast Enchiladas - 450 calories per portion | 1 portion | Contains gluten | Origin, Falafel, Baked Falafel, Moroccan Mint Tea, Vegetable Curry with Basmati Rice
12,400.0,150.0,130.0,20.0,350.0," Breakfast tacos with egg, cheese, and salsa (400 calories per portion, 2 portions, contains dairy, Mexican origin)
", Zucchini Fritters," Baked Falafel with Tahini Sauce - 130 kcals per portion, 4 portions, allergic warning (sesame), origin", Moroccan Mint Tea," Lentil Walnut Loaf - 350 calories per portion, 4 portions, Nuts, Various
"
13,200.0,150.0,960.0,150.0,330.0, Greek Yogurt Pancakes, Caprese Skewers - Approx, Vegan Buffalo Cauliflower Pizza, Grilled Chicken Salad," Lentil and Vegetable Curry - 330kcals per portion, 4 portions, contains legumes
"
14,200.0,160.0,200.0,150.0,500.0, Zucchini Bread, Egg muffins with turkey and cheese, Caprese stuffed avocados," Grilled Vegetable Skewers - 150kcals per portion, 4 portions"," Beef and vegetable kebabs with couscous – 500 calories per portion, 2 portions
"
15,250.0,180.0,200.0,160.0,300.0, Avocado Toast, Egg muffins with spinach and feta, Black Bean Quesadillas," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable curry with coconut milk – 300 calories per portion, 4 portions, vegan-friendly (origin"
16,350.0,180.0,170.0,180.0,300.0, Banana Nut Muffins, Carrot and raisin muffins, Corn tortilla chips with salsa, Mexican corn and black bean salad," Mediterranean Orzo Salad - 300 calories per portion, 4 portions, contains gluten (pasta), Origin"
17,400.0,150.0,280.0,150.0,400.0, Vegan Breakfast Stuffed Mushrooms - 400 calories per portion | 1 portion | None | Origin," Mediterranean Style Olive Tapenade and Crostini - 150kcals per portion, 2 portions
    Origin"," Greek Spanakopita - 280 kcals per portion, 3 portions, contains gluten, dairy (Greece)", Greek Taramasalata," Greek Veggie Burger - 400 calories/portion, 2 portions, Origin"
18,400.0,150.0,290.0,150.0,350.0, Vegan Tofu Benedict - 400 calories per portion | 1 portion | Contains soy | Origin, Baked Apple with Cinnamon," Antipasto Skewers - 290 kcals per portion, 3 portions, contains dairy (Italy)", Lentil and vegetable frittata," Veggie Pad See Ew - 350 calories/portion, 4 portions, Origin"
19,400.0,150.0,320.0,150.0,350.0," Polish jajecznica (scrambled eggs with kielbasa) - 400 calories per portion, 2 portions, no allergic warnings, origin", Yogurt Parfait, Greek Spanakopita, Cabbage Stir-Fry," Lentil bolognese with spaghetti – 350 calories per portion, 4 portions, vegan-friendly (origin"
20,400.0,150.0,100.0,150.0,500.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Sweet Corn Fritters, Watermelon Salad," Greek Salad - 150kcals per portion, 2 portions"," Lemon garlic roasted salmon with roasted vegetables - 500 kcals per portion, 2 portions, contains lactose
"
21,400.0,100.0,190.0,150.0,400.0, Vegetarian Breakfast Strata, Som Tam (Papaya Salad), Greek Yogurt with Honey and Nuts, Tom Yum Soup," Mediterranean grilled vegetables with feta cheese and orzo (400 calories per portion, 3 portions, contains gluten and dairy, origin"
22,400.0,150.0,100.0,150.0,250.0," Nigerian plantain porridge - 400 calories per portion, 2 portions, no allergic warnings, origin", Roasted Chickpeas - Approx, Tomato Basil Soup, Spinach and feta stuffed mushrooms," Veggie Egg Fried Rice - 250 calories/portion, 4 portions, Origin"
23,400.0,100.0,90.0,150.0,450.0," Vietnamese banh mi sandwich with eggs - 400 calories per portion, 2 portions, contains gluten, origin", Corn on the Cob," Vegan Caprese Salad Skewers - 90 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and Vegetable Soup, Spanish Empanadas
24,250.0,100.0,200.0,150.0,350.0, Egg and Cheese Breakfast Taco, Chilled Gazpacho Soup - Approx, Stuffed Bell Peppers, Butternut squash soup," Quinoa Stuffed Bell Peppers - 350 calories/portion, 4 portions, Origin"
