,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,50.0,440.0,20.0,200.0, Chia Seed Pudding Parfait, Baked Apple Chips - Approx, Vegan Gyoza, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
2,250.0,50.0,180.0,20.0,150.0, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Guacamole and Tortilla Chips, Moroccan Mint Tea," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten"
3,250.0,50.0,180.0,20.0,180.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Vegan Pumpkin Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Mediterranean Salad
4,350.0,50.0,260.0,20.0,120.0, Vegan Breakfast Tacos," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Stuffed Tomatoes with Couscous - 260 kcals per portion, 2 portions, contains gluten (Mediterranean)", Moroccan Mint Tea, Cucumber and Tomato Salad
5,350.0,50.0,180.0,20.0,200.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Stuffed Mushrooms
6,300.0,50.0,280.0,20.0,200.0," Scrambled eggs with spinach and feta cheese (300kcals per portion, 2 portions, dairy allergies, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Spinach and Cheese Rolls, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
7,300.0,50.0,90.0,20.0,200.0, Overnight Cherry Almond Oats," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cinnamon roasted almonds, Moroccan Mint Tea, Stuffed Mushrooms
8,200.0,50.0,180.0,20.0,200.0, Quinoa Breakfast Skillet, Baked Apple Chips - Approx, Crispy Tofu Bites, Moroccan Mint Tea," Italian Vegan Bruschetta (200 calories/portion, 4 portions) - Italy
"
9,300.0,50.0,100.0,20.0,200.0," Cheese omelette - 300 calories per portion, 1 portion, no allergic warnings, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Watermelon Salad, Moroccan Mint Tea," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
10,300.0,50.0,180.0,20.0,200.0," Poha (Indian flattened rice dish) - 300 calories per portion, 2 portions, no allergic warnings, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Yogurt Parfait, Moroccan Mint Tea," Lentil Spinach Salad - 200 calories per portion, 4 portions, None, Various
"
11,300.0,50.0,200.0,20.0,200.0," Apple cinnamon oatmeal bake - 300 calories per portion, 2 portions, contains gluten, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mini chicken empanadas, Moroccan Mint Tea, Vegan Chili
12,350.0,50.0,90.0,20.0,150.0," Baked beans on toast (350kcals per portion, 2 portions, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cucumber Sandwiches, Moroccan Mint Tea," Grilled Vegetable Skewers - 150 calories/portion, 4 portions, contains garlic (Various)
"
13,350.0,50.0,120.0,20.0,200.0, Vegan Breakfast Sandwich - 350 calories per portion | 1 portion | Contains gluten | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Stuffed Mushrooms with Quinoa - 120 kcals per portion, 3 portions, gluten-free (Various)", Moroccan Mint Tea, Zucchini Noodles with Pesto
14,200.0,50.0,80.0,20.0,150.0, Blueberry Almond Baked Oatmeal," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Cheese and spinach stuffed mushrooms, Moroccan Mint Tea," Lentil Soup - 150 calories per portion, 6 portions, None, Various
"
15,250.0,50.0,100.0,20.0,200.0, Vegan Protein Pancakes," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Deviled Eggs - 100 kcals per portion, 4 portions, contains egg (USA)", Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
16,250.0,50.0,160.0,20.0,200.0," Coconut chia pudding with mango (250kcals per portion, 2 portions)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Cucumber Bites with Herbed Cream Cheese - 160 kcals per portion, 4 portions, contains dairy (Various)", Moroccan Mint Tea, Lentil Soup
17,250.0,50.0,120.0,20.0,120.0, Vegan Pancake Skewers," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Caprese Salad Skewers, Moroccan Mint Tea, Cucumber and Tomato Salad
18,300.0,50.0,80.0,20.0,180.0, Chia Seed Smoothie, Baked Apple Chips - Approx, Tomato and cucumber salad, Moroccan Mint Tea," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
"
19,200.0,50.0,150.0,20.0,200.0, Spinach and Feta Stuffed Portobello Mushrooms, Baked Apple Chips - Approx, Stuffed Mini Bell Peppers, Moroccan Mint Tea," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
20,300.0,50.0,100.0,20.0,200.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mini bruschetta bites, Moroccan Mint Tea," Vegetable Stir-Fry with Tofu - 200 calories per portion, 4 portions, no allergic warnings, Origin"
21,350.0,50.0,280.0,20.0,200.0, Breakfast Sushi, Baked Apple Chips - Approx, Veggie and Cream Cheese Roll-ups, Moroccan Mint Tea," Spinach and Goat Cheese Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
22,200.0,50.0,300.0,20.0,200.0, Oatmeal with Berries," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mini Pita Pizzas, Moroccan Mint Tea," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
23,300.0,50.0,320.0,20.0,220.0, Vegan Breakfast Stromboli," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Quinoa Salad, Moroccan Mint Tea, Quinoa and Vegetable Stir Fry
24,200.0,50.0,120.0,20.0,200.0, Quinoa Veggie Breakfast Skillet," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Fruit Salad, Moroccan Mint Tea, Mexican Rice Bowl
25,250.0,50.0,150.0,20.0,150.0, Vegan Tofu Benedict," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Caprese skewers with balsamic glaze, Moroccan Mint Tea, Spinach and Feta Stuffed Mushrooms
26,200.0,50.0,100.0,20.0,180.0," Vegetable omelette - 200 calories per portion, 2 portions, no allergic warnings, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cucumber and Watermelon Salad, Moroccan Mint Tea," Ratatouille - 180kcals per portion, 4 portions, vegan (France)
"
27,300.0,50.0,150.0,20.0,200.0, Greek Yogurt with Honey and Pistachios, Baked Apple Chips - Approx, Tomato and Mozzarella Skewers, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
28,250.0,50.0,140.0,20.0,220.0, Ragi (Finger Millet) Pancakes," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Roasted Chickpeas - 140 kcals per portion, 4 portions, gluten-free (World)", Moroccan Mint Tea, Lentil and Vegetable Stir Fry
29,350.0,50.0,220.0,20.0,180.0, Veggie Breakfast Strudel," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Avocado Toast - 220 kcals per portion, 3 portions, contains gluten (Various)", Moroccan Mint Tea, Vegan Ratatouille
30,250.0,50.0,200.0,20.0,200.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Stuffed grape leaves with rice and herbs, Moroccan Mint Tea," Lentil Soup - 200 calories/portion, 6 portions, Origin"
31,300.0,50.0,220.0,20.0,150.0, Apple Cinnamon Porridge," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Roasted Red Pepper and Feta Crostini, Moroccan Mint Tea," Ratatouille - 150 calories per portion, 6 portions, None, France
"
32,350.0,50.0,150.0,20.0,200.0," Yogurt and granola parfait with mixed berries (350 calories per portion, 2 portions, contains dairy, American origin)
", Baked Apple Chips - Approx," Energy Balls (Dates, Nuts, and Coconut)", Moroccan Mint Tea, Lentil Soup
33,200.0,50.0,90.0,20.0,200.0, Quinoa Breakfast Skillet, Baked Apple Chips - Approx," Cucumber Sandwiches - 90 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea, Greek Salad
