,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,250.0,150.0,550.0,250.0, Avocado Toast, Vegan Berry Crumble," Vegan Chocolate Avocado Mousse - 150 kcals per portion, 4 portions, allergic warning (avocado), origin"," Thai Sweet and Spicy Noodles
Total calories per portion"," Falafel - 250 calories per portion, 4 portions, Gluten, Middle East

"
2,250.0,150.0,360.0,250.0,250.0, Vegan Berry Parfait - 250 calories per portion | 2 portions | Contains nuts | Origin, Vegan Raspberry Thumbprint Cookies, Vegan Mushroom Soup, Vegan Asian Slaw, Ratatouille-Stuffed Zucchini
3,300.0,200.0,280.0,250.0,200.0, Vegan Pumpkin Muffins - 300 calories per portion | 2 portions | Contains gluten | Origin, Vegan Blueberry Chia Pudding, Vegan Lemon Poppy Seed Muffins, Vegan Korean Japchae," Butternut Squash Soup - 200 calories per portion, 4 portions, None, Various
"
4,150.0,80.0,160.0,350.0,200.0, Vegan Pancakes, Stuffed Dates," Vegan Bruschetta Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin", Quinoa Stuffed Peppers, Mexican Rice Bowl
5,400.0,150.0,200.0,300.0,300.0, Vegan Spinach and Mushroom Breakfast Wrap - 400 calories per portion | 1 portion | None | Origin, Maple Pecan Energy Balls, Vegan Thai Papaya Salad, Lentil Bolognese, Couscous Salad
6,350.0,240.0,240.0,250.0,212.0, Vegan Apricot and Almond Granola Bars - 350 calories per portion | 1 portion | Contains nuts | Origin, Mango Coconut Chia Pudding, Vegan Spinach Dip with Pita Chips, Vegan Asian Slaw, Vegan Caesar Salad
7,250.0,200.0,90.0,300.0,225.0, Vegan Cinnamon Apple Oatmeal - 250 calories per portion | 2 portions | None | Origin, Chocolate Almond Protein Smoothie," Baked Zucchini Chips - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Street Corn Salad
Total calories per portion", Vegan Stuffed Mushrooms
8,250.0,120.0,200.0,350.0,250.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Toasted Coconut Chips," Vegan Pumpkin Pancakes - 200 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Roasted Vegetable Pasta," Greek Vegan Fava Beans (250 calories/portion, 4 portions) - Greece
"
9,500.0,180.0,160.0,250.0,250.0, Vegan Breakfast Croque Madame, Vegan Zucchini Bread," Vegan Coconut Curry Rice Balls - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Lentil Shepherd's Pie," Greek Vegan Melitzanosalata (250 calories/portion, 4 portions) - Greece
"
10,400.0,150.0,180.0,200.0,150.0, Vegan Quinoa Breakfast Skillet - 400 calories per portion | 1 portion | None | Origin, Cucumber Avocado Rolls," Sticky Coconut Rice Balls - 180 kcals per portion, 4 portions, no allergic warnings, origin", Tom Yum Soup, Minestrone Soup
11,400.0,230.0,520.0,350.0,300.0, Vegan Breakfast Fried Rice, Vegan Chocolate Chia Pudding, Vegan Mac and Cheese, Chickpea and Vegetable Stew," Coconut Curry Tofu - 300 calories per portion, 4 portions, Soy, Thailand
"
12,350.0,150.0,150.0,350.0,240.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin, Veggie Spring Rolls," Vegan Zucchini Fritters with Vegan Sour Cream - 150 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Eggplant Parmesan, Spaghetti Aglio e Olio
13,300.0,120.0,440.0,350.0,220.0, Vegan Pumpkin Spice Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Roasted Brussels Sprouts, Vegan Roasted Red Pepper Dip, Vegan Meatball Pasta, Chickpea and Vegetable Stir Fry
14,400.0,200.0,90.0,350.0,250.0, Vegan Peanut Butter Banana Wrap - 400 calories per portion | 1 portion | Contains nuts | Origin, Zucchini Bread," Baked Zucchini Chips - 90 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Beetroot and Chickpea Burger, Black Bean Tacos
15,400.0,250.0,90.0,450.0,300.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Vegan Chocolate Oat Bars," Vegan Caprese Salad Skewers - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Mac and Cheese
Total calories per portion"," British Vegan Ploughman's Lunch (300 calories/portion, 3 portions) - United Kingdom
"
16,350.0,240.0,70.0,300.0,246.0, Vegan Breakfast Croissant, Vegan Apple Cinnamon Pancakes," Watermelon and Mint Salad - 70 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Cauliflower Wings, Black Bean and Corn Salad
17,300.0,220.0,150.0,250.0,250.0, Vegan Chocolate Protein Shake - 300 calories per portion | 1 portion | None | Origin, Vegan Chocolate Chip Waffles," Vegan Zucchini Fritters with Vegan Sour Cream - 150 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea and Avocado Salad, Mushroom Risotto
