,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,250.0,130.0,250.0,450.0, Vegan Breakfast Phyllo Cups, Sweet Potato and Black Bean Quesadillas," Veggie Sushi Rolls with Quinoa - 130 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Lentil Salad," Vegan Tofu and Vegetable Curry - 450 calories per portion, 2 portions, may contain soy"
2,400.0,250.0,130.0,300.0,350.0, Vegan Quinoa Breakfast Skillet - 400 calories per portion | 1 portion | None | Origin, Vegan Berry Crumble," Veggie Sushi Rolls with Quinoa - 130 kcals per portion, 4 portions, no allergic warnings, origin", Sweet Potato and Black Bean Chili, Chickpea Salad Sandwich
3,450.0,180.0,780.0,250.0,250.0, Quinoa Breakfast Bowl, Apple Cinnamon Muffins, Lentil Sloppy Joes, Vegan Moroccan Chickpea Salad, Vegan Tofu Scramble
4,150.0,150.0,760.0,350.0,250.0, Vegan Breakfast Pita Pockets, Vegan Protein Bites, Vegan Indian Samosa Chaat, Quinoa Stuffed Peppers," Thai Vegan Green Papaya Salad (250 calories/portion, 4 portions) - Thailand
"
5,250.0,250.0,100.0,150.0,400.0, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin, Vegan Protein Donuts," Stuffed Mini Peppers with Vegan Cream Cheese - 100 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Spring Rolls," Mexican Vegan Pozole (400 calories/portion, 3 portions) - Mexico

"
6,200.0,220.0,140.0,200.0,450.0, Vegan Breakfast Quinoa Salad, Vegan Banana Walnut Bread," Vegan Lemon Bars - 140 kcals per portion, 4 portions, no allergic warnings, origin", Greek Salad with Tofu," Vegan BBQ Pulled Jackfruit Sandwich - 450 calories per portion, 2 portions, may contain gluten"
7,450.0,150.0,140.0,200.0,350.0, Vegan Breakfast Muffins, Almond Joy Energy Bites," Maple Roasted Nuts - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Spinach and Artichoke Dip," Quinoa Stuffed Zucchini - 350 calories per portion, 4 portions, None, Various
"
8,300.0,180.0,800.0,350.0,200.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Banana Bread, Vegan Mexican Churros, Vegan Spanish Gazpacho," Italian Vegan Garlic Bread (200 calories/portion, 2 portions) - Italy
"
9,350.0,250.0,720.0,350.0,400.0, Vegan Bagel with Tofu Cream Cheese - 350 calories per portion | 1 portion | Contains gluten | Origin, Vegan Zucchini Fritters, Vegetable Samosas, Vegan Curry Fried Rice," Vegan General Tso's Tofu - 400 calories per portion, 4 portions, None, China
"
10,200.0,150.0,800.0,200.0,400.0, Overnight Chia Pudding, Maple Pecan Energy Balls, Vegan Mexican Churros," Japanese Miso Soup with Tofu and Vegetables
Total calories per portion"," Vegan General Tso's Tofu - 400 calories per portion, 4 portions, None, China
"
11,400.0,200.0,140.0,400.0,250.0, Vegan Breakfast Skillet, Vegan Almond Milk Smoothie," Roasted Beetroot Dip with Pita Bread - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Cuban Sandwich
Total calories per portion"," Veggie Dumplings - 250 calories per portion, 4 portions, Gluten, Various

"
12,250.0,200.0,120.0,300.0,420.0, Vegan Breakfast Crepes, Rice Cakes with Peanut Butter," Chia Pudding with Fresh Berries - 120 kcals per portion, 4 portions, no allergic warnings, origin", Zucchini Noodles with Pesto, Vegan Alfredo Pasta
13,400.0,180.0,160.0,300.0,200.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin, Vegan Zucchini Bread," Vegan Broccoli and Cheese Bites - 160 kcals per portion, 4 portions, no allergic warnings, origin", Quinoa and Roasted Veggie Salad, Ratatouille
