,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,50.0,80.0,160.0,20.0,250.0, Vegan Breakfast Sushi Burrito, Energy Balls, Tomato and Mozzarella Skewers, Moroccan Mint Tea, Stuffed Bell Peppers
2,300.0,50.0,90.0,20.0,250.0," Acai bowl - 300 calories per portion, 1 portion, no allergic warnings, origin", Baked Apple Chips - Approx, Baked kale chips, Moroccan Mint Tea," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
3,350.0,60.0,80.0,20.0,300.0, Tomato and Basil Bruschetta Scramble, Fruit Salad - Approx, Zucchini Chips, Moroccan Mint Tea, Lentil Sloppy Joes
4,400.0,80.0,200.0,20.0,200.0, Vegetarian Breakfast Strata, Apple with Cinnamon, Caramelized Onion and Goat Cheese Tartlets, Moroccan Mint Tea, Spaghetti Aglio e Olio
5,300.0,80.0,120.0,20.0,200.0, Chia Seed Pudding Parfait, Fresh Watermelon Slices - Approx, Vegetable sushi rolls, Moroccan Mint Tea," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
6,300.0,80.0,250.0,20.0,300.0," Vegetable omelette with whole wheat toast (300 calories per portion, 2 portions, nut-free, American origin)
", Fruit Salad, Zucchini and ricotta crostini, Moroccan Mint Tea," Vegan Baked Falafel - 300 calories per portion, 3 portions, may contain gluten"
7,400.0,50.0,150.0,20.0,300.0, Vegan Breakfast Quesadilla - 400 calories per portion | 1 portion | Contains gluten | Origin, Baked Apple Chips - Approx, Stuffed mushrooms, Moroccan Mint Tea," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
8,300.0,80.0,250.0,20.0,250.0," Chia pudding with mixed berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Stuffed Dates, Mini chicken and vegetable skewers, Moroccan Mint Tea, Mushroom Risotto
9,400.0,80.0,100.0,20.0,200.0, Vegan Breakfast Stuffed Peppers - 400 calories per portion | 1 portion | None | Origin, Mango with Chili Powder, Caprese Skewers, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
10,400.0,80.0,150.0,20.0,300.0, Breakfast Tacos with Chorizo," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Sweet Potato and Chickpea Patties, Moroccan Mint Tea, Quinoa Fried Rice
11,400.0,80.0,100.0,20.0,300.0, Mexican Sopes, Avocado Deviled Eggs, Baba Ganoush, Moroccan Mint Tea," Mediterranean Quinoa Salad - 300 calories/portion, 4 portions, contains gluten (Greece)
"
12,400.0,80.0,150.0,20.0,120.0," South Indian idli with sambar - 400 calories per portion, 2 portions, contains gluten, origin", Energy Balls, Baked Mozzarella Sticks, Moroccan Mint Tea, Cucumber and Tomato Salad
13,300.0,80.0,160.0,20.0,220.0, Overnight Apple Pie Chia Pudding," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Baked Parmesan Zucchini Fries, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
14,300.0,80.0,180.0,20.0,300.0, Vegan Pumpkin Spice Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Fruit Salad, Greek Spanakopita, Moroccan Mint Tea, Grilled Vegetable Skewers with Tzatziki Sauce
15,200.0,80.0,180.0,20.0,300.0, Vegan Pumpkin Pancakes, Mango with Chili Powder, Stuffed Bell Peppers, Moroccan Mint Tea, Indian-Style Spinach and Chickpeas
16,200.0,80.0,250.0,20.0,250.0, Tofu Scramble, Avocado Deviled Eggs, Mixed Berry Smoothie, Moroccan Mint Tea," Vegan Tofu and Vegetable Skewers - 250 calories per portion, 2 portions, may contain soy"
