,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,150.0,240.0,250.0,300.0, Vegan Almond Butter Toast - 300 calories per portion | 1 portion | Contains nuts | Origin, Vegan Banana Pancakes, Vegan Roasted Cauliflower Bites," Vegan Cauliflower ""Steak""", Vegan Tacos
2,300.0,120.0,120.0,250.0,300.0, Vegan Breakfast Tiramisu, Vegan Energy Balls," Vegan Lentil Soup - 120 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Thai Mango Salad, Quinoa Stuffed Bell Peppers with Cashew Cream
3,450.0,160.0,90.0,350.0,300.0, Quinoa Breakfast Bowl, Berry Smoothie," Bruschetta with Fresh Tomatoes and Basil - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Vegan Pozole
Total calories per portion", Sweet Potato Curry
4,150.0,150.0,680.0,400.0,250.0, Vegan Breakfast Fruit Pizza, Almond Joy Energy Bites, Sweet and Sour Tofu," Thai Coconut Curry Noodles
Total calories per portion", Mediterranean Couscous Salad
5,300.0,100.0,80.0,200.0,210.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Roasted Pumpkin Seeds," Baked Apple Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Spinach and Mushroom Frittata, Quinoa Stuffed Portobello Mushrooms
6,250.0,120.0,320.0,350.0,150.0, Vegan Oatmeal Chocolate Chip Cookies - 250 calories per portion | 2 portions | Contains gluten | Origin, Toasted Coconut Chips, Quinoa Salad," Vegan Moroccan Chickpea Salad
Total calories per portion", Lentil Soup with Kale
7,300.0,150.0,360.0,400.0,300.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin, Vegan Chocolate Mousse, Vegan Mushroom Soup, Quinoa and Black Bean Burrito Bowl, Lentil and Vegetable Curry
8,400.0,100.0,680.0,350.0,210.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Energy Balls, Sweet and Sour Tofu, Buddha Bowl with Tahini Dressing, Quinoa Stuffed Portobello Mushrooms
9,200.0,100.0,340.0,350.0,250.0, Vegan French Toast - 200 calories per portion | 2 portions | Contains gluten | Origin, Baked Apple Chips, Vegan Nachos," Vegan Sweet and Sour Tofu
Total calories per portion", Chickpea Salad
10,250.0,150.0,240.0,200.0,250.0, Vegan Chocolate Banana Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Vegan Raspberry Thumbprint Cookies, Vegan Stuffed Portobello Mushrooms, Vegan Mexican Street Corn," Vegan Lentil and Vegetable Casserole - 250 calories per portion, 4 portions, may contain gluten"
11,350.0,150.0,700.0,300.0,119.0, Vegan Breakfast Grits - 350 calories per portion | 1 portion | None | Origin, Vegan Pumpkin Muffins, Vegan Pad Thai, Vegan Chinese Hot and Sour Soup, Vegan Gazpacho
