,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,500.0,50.0,200.0,20.0,300.0, Turkish Simit, Baked Apple Chips - Approx, Baked Falafel, Moroccan Mint Tea, Black Bean and Corn Salad
2,350.0,50.0,100.0,20.0,300.0, Egg Stuffed Peppers," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Chocolate-Dipped Strawberries, Moroccan Mint Tea, Grilled Vegetable Skewers with Tzatziki Sauce
3,450.0,50.0,180.0,20.0,350.0," Egyptian hawawshi (meat-stuffed pita) with ground beef and spices (450kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Baked Jalapeno Poppers, Moroccan Mint Tea, Falafel Wrap
4,500.0,60.0,140.0,20.0,300.0," Hawaiian loco moco with beef patty, rice, and egg (500kcals per portion, 2 portions, origin", Cucumber and tomato salad, Bacon-Wrapped Asparagus, Moroccan Mint Tea, Moroccan Vegetable Tagine
5,450.0,60.0,150.0,20.0,300.0," Persian barbari bread with feta and cucumber (450kcals per portion, 2 portions, origin", Cucumber and tomato salad, Mini cheese and ham sliders, Moroccan Mint Tea," Greek lemon chicken soup with orzo (300 calories per portion, 4 portions, contains gluten, origin"
6,400.0,50.0,220.0,20.0,250.0," Maltese pastizzi (ricotta-filled pastries) - 400 calories per portion, 2 portions, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mango Salsa with Tortilla Chips, Moroccan Mint Tea, Bulgur Salad
7,450.0,50.0,100.0,20.0,200.0," Egyptian hawawshi (meat-stuffed pita) with ground beef and spices (450kcals per portion, 2 portions, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Baked Zucchini Fries, Moroccan Mint Tea, Lebanese Fattoush Salad
8,350.0,60.0,90.0,20.0,250.0, Quinoa Porridge with Caramelized Bananas, Fruit Salad - Approx, Zucchini fritters, Moroccan Mint Tea, Spinach and Feta Stuffed Mushrooms
9,250.0,60.0,120.0,20.0,350.0," Smoothie bowl - 250 calories per portion, 1 portion, may contain nuts, origin", Cucumber and tomato salad, Miso Soup with Tofu, Moroccan Mint Tea, Vegetarian Sushi Rolls
10,400.0,50.0,180.0,20.0,300.0, Breakfast Quesadilla," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Roasted Pumpkin Seeds, Moroccan Mint Tea, Tofu Stir Fry with Black Bean Sauce
11,350.0,60.0,200.0,20.0,300.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin", Fruit Salad - Approx, Mini Pita Pizzas, Moroccan Mint Tea, Grilled Vegetable Skewers with Tzatziki Sauce
12,350.0,60.0,100.0,20.0,350.0," Muesli with yogurt and mixed fruits (350kcals per portion, 1 portion)
", Fruit Salad - Approx, Garlic parmesan roasted edamame, Moroccan Mint Tea, Shrimp and Avocado Salad
13,400.0,50.0,160.0,20.0,250.0, Veggie Breakfast Bagel Sandwich," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Strawberry Parfait, Moroccan Mint Tea, Lebanese Tabbouleh
14,350.0,50.0,200.0,20.0,350.0," Muesli with yogurt and mixed fruits (350kcals per portion, 1 portion)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Chocolate Covered Strawberries, Moroccan Mint Tea, Shrimp Scampi
15,550.0,50.0,90.0,20.0,300.0, Breakfast Pizza," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Parmesan zucchini chips, Moroccan Mint Tea, Lentil Curry with Rice
16,400.0,60.0,120.0,20.0,250.0, Chia Seed Pancakes, Cucumber and tomato salad, Tomato and Mozzarella Skewers, Moroccan Mint Tea, Bulgur Salad
17,450.0,50.0,200.0,20.0,300.0, Dutch Baby Pancake, Baked Apple Chips - Approx, Baked Mini Samosas, Moroccan Mint Tea, Moroccan Vegetable Tagine
18,400.0,60.0,250.0,20.0,300.0," Jamaican ackee and saltfish with fried plantains (400kcals per portion, 2 portions, origin", Cucumber and tomato salad, Baked Samosas, Moroccan Mint Tea, Teriyaki Tofu Stir Fry
19,300.0,50.0,180.0,20.0,350.0," Rice porridge with cinnamon and sugar - 300 calories per portion, 2 portions, no allergic warnings, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Antipasto skewers (olives, mozzarella, salami)", Moroccan Mint Tea, Quinoa Salad with Roasted Vegetables
20,300.0,50.0,150.0,20.0,350.0," Thai coconut rice pudding with mango (300kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Bacon Wrapped Dates, Moroccan Mint Tea, Baked Cod with Lemon Dijon Sauce
21,500.0,50.0,180.0,20.0,200.0," English full breakfast with bacon, sausages, eggs, beans, mushrooms, and toast (500kcals per portion, 2 portions, pork allergies, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Coconut Almond Energy Balls, Moroccan Mint Tea, Lebanese Fattoush Salad
22,300.0,50.0,80.0,20.0,300.0, Shakshuka, Baked Apple Chips - Approx, Mini stuffed bell peppers with cream cheese, Moroccan Mint Tea, Lebanese Hummus with Pita
23,450.0,50.0,80.0,20.0,350.0," Quiche Lorraine with bacon and cheese (450kcals per portion, 2 portions, pork allergies, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Stuffed Mushroom Caps, Moroccan Mint Tea, Stuffed Peppers with Quinoa and Black Beans
24,350.0,50.0,180.0,20.0,350.0," Grilled halloumi with tomatoes and cucumber (350kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Stuffed Bell Peppers with Quinoa and Black Beans, Moroccan Mint Tea, Thai Coconut Curry with Shrimp
25,350.0,60.0,230.0,20.0,350.0," Pita bread with hummus and vegetables - 350 calories per portion, 2 portions, contains gluten, origin", Cucumber and tomato salad, Nachos with Salsa and Guacamole, Moroccan Mint Tea, Quinoa Salad with Roasted Vegetables
26,300.0,60.0,250.0,20.0,300.0," Turkish Menemen with eggs, tomatoes, and peppers (300kcals per portion, 2 portions, origin", Cucumber and tomato salad, Greek Spanakopita Triangles, Moroccan Mint Tea, Lentil Curry with Rice
