,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,60.0,160.0,120.0,160.0, Blueberry Banana Breakfast Bars, Cucumber and tomato salad, Stuffed Mushrooms," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegan Quinoa and Kale Salad - 160 calories per portion, 2 portions, may contain gluten"
2,150.0,60.0,300.0,120.0,150.0, Vegan Breakfast Pita Pockets, Fruit Salad - Approx, Veggie Nachos," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil Soup - 150 calories per portion, 6 portions, None, Various
"
3,300.0,50.0,120.0,100.0,180.0," Egyptian ful medames (fava bean dish) with olive oil and lemon (300kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Greek tomato and cucumber salad, Israeli salad, Rainbow Salad
4,350.0,50.0,200.0,20.0,150.0, Tomato and Basil Bruschetta Scramble," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Raspberry Tarts, Moroccan Mint Tea," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
5,300.0,50.0,150.0,100.0,150.0, Omelette with Spinach and Feta, Baked Apple Chips - Approx," Stuffed Mini Bell Peppers - 150 kcals per portion, 4 portions, gluten-free (Various)", Israeli salad," Grilled Vegetable Skewers - 150 calories/portion, 4 portions, contains garlic (Various)
"
6,300.0,50.0,100.0,100.0,100.0, Savory Oatmeal with Vegetables," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Stuffed Dates, Israeli salad," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
7,250.0,50.0,100.0,100.0,160.0, Blueberry Oatmeal Breakfast Bars, Baked Apple Chips - Approx, Mini bruschetta bites, Israeli salad," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
8,350.0,50.0,400.0,120.0,120.0, Blueberry Muffins, Baked Apple Chips - Approx, Mini Chicken Pot Pies," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Cucumber and Tomato Salad
9,200.0,60.0,180.0,20.0,150.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Cucumber and tomato salad," Vegan Apple Cinnamon Granola Bars - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten"
10,300.0,60.0,200.0,120.0,180.0," Congee (Chinese rice porridge) with century eggs - 300 calories per portion, 2 portions, no allergic warnings, origin", Cucumber and tomato salad, Caramelized Onion and Gruyere Tart," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Rainbow Salad
