,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,150.0,350.0,20.0,300.0," Pancake roll-ups filled with peanut butter and bananas (380 calories per portion, 2 portions, contains nuts, American origin)
", Cherry Tomatoes with Mozzarella - Approx, Eggplant rollatini, Moroccan Mint Tea, Vegan Moroccan Tagine
2,400.0,120.0,150.0,20.0,220.0," Dutch baby pancake with lemon and sugar - 400 calories per portion, 2 portions, contains gluten, origin", Sautéed Brussels Sprouts, Veggie Sushi Rolls, Moroccan Mint Tea, Quinoa and Vegetable Stir Fry
3,300.0,120.0,100.0,20.0,400.0, Blueberry Banana Breakfast Bars, Cottage Cheese with Tomato, Grilled Halloumi Skewers, Moroccan Mint Tea," Spaghetti aglio e olio – 400 calories per portion, 3 portions, vegan-friendly (origin"
4,300.0,100.0,200.0,20.0,400.0," Cheese omelette - 300 calories per portion, 1 portion, no allergic warnings, origin"," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin", Almond Butter Banana Toast, Moroccan Mint Tea," Mexican Quinoa Stuffed Zucchini - 400 calories/portion, 4 portions, Origin"
5,150.0,150.0,140.0,20.0,340.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Antipasto Skewers," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Caprese Stuffed Portobello Mushrooms - 340kcals per portion, 2 portions, contains dairy
"
6,400.0,150.0,160.0,20.0,400.0," Turkish acma (soft bread rings) with feta cheese - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Mango Coconut Chia Popsicles," Rice Cakes with Avocado - 160 kcals per portion, 3 portions, gluten-free (Various)", Moroccan Mint Tea, Vegetable Chow Mein
7,450.0,150.0,150.0,20.0,400.0," Zimbabwean sadza (cornmeal porridge) with beef stew - 450 calories per portion, 2 portions, contains gluten, origin", Spicy Roasted Chickpeas, Ricotta Stuffed Mushrooms, Moroccan Mint Tea, Beef and Snow Pea Stir Fry
8,400.0,150.0,90.0,20.0,250.0, Vegan Breakfast Stuffed Peppers - 400 calories per portion | 1 portion | None | Origin," Mini Vegetable Frittatas - 150kcals per portion, 2 portions
    Origin", Homemade Popcorn, Moroccan Mint Tea," Vegan Teriyaki Tofu - 250 calories per portion, 4 portions, Soy, Japan
"
9,500.0,120.0,200.0,20.0,250.0," Vietnamese banh mi sandwich with eggs, pickled carrots, and cilantro (500kcals per portion, 2 portions, origin", Tomato and Basil Bruschetta, Sweet Potato Fries, Moroccan Mint Tea, Mediterranean Couscous Salad
10,250.0,100.0,100.0,20.0,320.0, Mexican Churro Waffles, Quinoa Energy Bites, Grilled Halloumi Skewers, Moroccan Mint Tea, Mediterranean Vegan Wrap
11,350.0,150.0,80.0,20.0,234.0, Banana Nut Muffins," Mini Vegetable Empanadas - 150kcals per portion, 2 portions
    Origin", Greek Salad Skewers, Moroccan Mint Tea, Vegan Stuffed Cabbage Rolls
12,250.0,120.0,100.0,20.0,150.0, Smoothie Bowl, Almond Biscotti," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Ratatouille - 150 calories per portion, 6 portions, None, France
"
13,300.0,150.0,150.0,20.0,300.0, Breakfast Couscous with Fresh Fruit, Mini Caprese Skewers - Approx, Veggie Chips, Moroccan Mint Tea, Veggie Korma
14,250.0,90.0,150.0,20.0,360.0, Muesli with Almond Milk, Vegetarian Spring Rolls, Baked Mozzarella Sticks, Moroccan Mint Tea," Lentil Sloppy Joes - 360kcals per portion, 4 portions, contains legumes (USA)
"
15,400.0,100.0,150.0,20.0,350.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Baked Zucchini Chips - Approx, Yogurt Parfait, Moroccan Mint Tea," Greek Stuffed Peppers with Rice and Feta - 350kcals per portion, 4 portions, contains dairy
"
