,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,120.0,200.0,200.0,450.0, Vegetarian Quiche, Cottage Cheese with Sliced Tomato, Chicken Fajita Skewers, Moroccan Lentil Soup, Spinach and Feta Stuffed Chicken Breast
2,100.0,120.0,200.0,200.0,412.0," Sliced fruit salad - 100 calories per portion, 1 portion, no allergic warnings, origin", Cucumber and dill cream cheese rolls, Avocado Toast," Japanese Miso Soup with Tofu and Vegetables
Total calories per portion", Spaghetti Aglio e Olio
3,300.0,100.0,80.0,200.0,380.0, Pancakes with Maple Syrup, Cucumber Rolls with Cream Cheese, Fresh Fruit Salad, Vegetable stir-fry, Vegan Bibimbap
4,450.0,120.0,280.0,200.0,200.0, Breakfast Tostadas, Roasted Brussels Sprouts, Sweet Potato and Black Bean Quesadillas, Italian Minestrone Soup, Greek Salad
5,350.0,100.0,120.0,180.0,250.0, Shakshuka, Energy Balls - Approx," Energy Balls - 120 kcals per portion, 8 portions, contains nuts (USA)", Mexican avocado and black bean salad," Greek Spinach Pie (Spanakopita) - 250 calories/portion, 6 portions, Origin"
6,400.0,120.0,90.0,150.0,360.0," Nigerian plantain porridge - 400 calories per portion, 2 portions, no allergic warnings, origin", Yogurt with Berries - Approx," Bruschetta with Fresh Tomatoes and Basil - 90 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and Vegetable Soup," Greek Orzo Salad - 360kcals per portion, 4 portions
"
7,350.0,90.0,220.0,200.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
", Rice Paper Rolls, Cauliflower and Chickpea Salad, Greek yogurt and fruit parfait, Mediterranean Couscous Salad
8,400.0,140.0,120.0,200.0,300.0, Bagel with Cream Cheese and Smoked Salmon, Stuffed Jalapeno Poppers, Watermelon and feta skewers," Ratatouille - 200 calories
    - Total portions"," Vegan Thai Green Curry - 300 calories per portion, 2 portions, may contain tofu"
9,300.0,100.0,90.0,200.0,450.0," Scrambled eggs with spinach and feta cheese (300kcals per portion, 2 portions, dairy allergies, origin"," Mint Yogurt Dip with Vegetable Sticks - 100kcals per portion, 2 portions
    Origin"," Caprese Skewers with Vegan Mozzarella - 90 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Lentil Soup," Indian Vegan Paneer Tikka Masala (450 calories/portion, 3 portions) - India
"
10,300.0,80.0,250.0,200.0,450.0, Saffron Yogurt with Fruit, Avocado Deviled Eggs, Cheese and Spinach Triangles, Veggie Stir-Fry," Beef and Potato Stew - 450 calories per portion, 4 portions, no allergic warnings, Origin"
11,350.0,120.0,120.0,150.0,450.0," Pita bread with hummus and vegetables - 350 calories per portion, 2 portions, contains gluten, origin", Cinnamon Sugar Pretzels, Stuffed Dates with Almonds," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Eggplant Parmesan with spaghetti - 450 kcals per portion, 4 portions, vegetarian, contains gluten, lactose
"
12,250.0,100.0,150.0,200.0,350.0, Greek Yogurt with Honey and Nuts," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin", Watermelon and feta skewers, Spicy Lentil Soup," Vegan chili with cornbread – 350 calories per portion, 6 portions, vegan-friendly
"
