,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,220.0,620.0,150.0,200.0, Vegan Breakfast Burrito Bowl, Lemon Poppy Seed Muffins, Bean Burritos, Tomato Basil Soup, Mexican Street Corn Salad
2,300.0,250.0,240.0,150.0,300.0, Vegan Breakfast Stromboli, Vegan Caramel Popcorn, Vegan Roasted Cauliflower Bites, Tomato Basil Soup," Thai Vegan Tom Kha Soup (300 calories/portion, 4 portions) - Thailand

"
3,400.0,300.0,100.0,150.0,350.0, Vegan Breakfast Tofu Wrap - 400 calories per portion | 1 portion | Contains soy | Origin, Vegan Chocolate Banana Bread," Vegan Chocolate Covered Strawberries - 100 kcals per portion, 4 portions, no allergic warnings, origin", Cabbage Stir-Fry," Italian Vegan Eggplant Rollatini (350 calories/portion, 2 portions) - Italy
"
4,350.0,300.0,960.0,150.0,400.0, Vegan Breakfast Stuffed Peppers, Vegan Cinnamon Funnel Cake, Vegan Southwestern Black Bean Salad, Lentil Soup, Spaghetti Aglio e Olio
5,100.0,200.0,120.0,150.0,350.0, Vegan Breakfast Bagel, Chocolate Almond Protein Smoothie," Vegan Spinach and Mushroom Frittata - 120 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup, Vegan BBQ Pulled Jackfruit Sandwich
6,350.0,260.0,120.0,150.0,210.0, Vegan Breakfast Quinoa Bowl - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Blueberry Scones," Vegan Cheesy Popcorn - 120 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup, Lentil and Vegetable Stir Fry
7,350.0,320.0,80.0,150.0,312.0, Vegan Breakfast Pizza - 350 calories per portion | 1 portion | Contains gluten | Origin, Chickpea Salad Sandwich, Vegan Carrot Cake Energy Balls, Tomato Basil Soup, Vegan Kung Pao Tofu
8,100.0,180.0,200.0,150.0,300.0, Vegan Breakfast Bagel, Baked Oatmeal Cups," Vegan Broccoli Pesto Pasta - 200 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup," Chinese Sesame Noodles (300 calories/portion, 4 portions) - China
"
9,300.0,300.0,800.0,150.0,150.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Vegan Vegetable Samosas, Vegan Teriyaki Tofu Bowl, Cabbage Stir-Fry," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
10,300.0,250.0,120.0,150.0,200.0, Vegan Breakfast Parfait, Vegan Peanut Butter and Jelly Overnight Oats," Roasted Chickpeas - 120 kcals per portion, 4 portions, no allergic warnings, origin", Tom Yum Soup, Greek Salad
11,350.0,150.0,180.0,150.0,300.0, Vegan Breakfast Grits - 350 calories per portion | 1 portion | None | Origin, Green Smoothie," Blueberry Oatmeal Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Spring Rolls, Vegan Chili
12,300.0,160.0,150.0,150.0,400.0, Vegan Chocolate Protein Shake - 300 calories per portion | 1 portion | None | Origin, Berry Smoothie," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Cabbage Stir-Fry," Vegan Mushroom Gyros - 400 calories per portion, 4 portions, None, Greece
"
13,400.0,180.0,70.0,150.0,400.0, Vegan Breakfast Nachos - 400 calories per portion | 1 portion | Contains soy | Origin, Oatmeal Raisin Cookies," Watermelon and Mint Salad - 70 kcals per portion, 4 portions, no allergic warnings, origin", Cabbage Stir-Fry," Mexican Vegan Enchiladas (400 calories/portion, 3 portions) - Mexico
"
14,200.0,200.0,160.0,150.0,250.0, Vegan Breakfast Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Quinoa Stuffed Mushrooms," Chickpea Salad Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup, Veggie Stir-Fry with Quinoa
15,100.0,200.0,480.0,150.0,350.0, Vegan Breakfast Rice Pudding, Banana Sushi, Vegan Lentil Burgers, Tomato Basil Soup, Thai Red Curry
16,350.0,200.0,320.0,150.0,350.0, Vegan Breakfast Pizza - 350 calories per portion | 1 portion | Contains gluten | Origin, Banana Sushi, Vegan Raspberry Oat Bars, Ratatouille," Lentil Walnut Loaf - 350 calories per portion, 4 portions, Nuts, Various
"
17,300.0,150.0,160.0,150.0,400.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Vegan Raspberry Thumbprint Cookies," Vegan Raspberry Bars - 160 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille, Falafel Wrap
18,250.0,180.0,80.0,150.0,450.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Vegan Puffed Quinoa Bars," Baked Apple Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Spring Rolls," Vegan Broccoli and Tofu Stir-Fry - 450 calories per portion, 2 portions, may contain soy"
19,400.0,350.0,220.0,150.0,350.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Peanut Butter and Jelly Sandwich, Baked Sweet Potato Fries, Cabbage Stir-Fry," Italian Eggplant Parmesan (350 calories/portion, 2 portions) - Italy
"
20,300.0,200.0,100.0,150.0,300.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Chocolate Almond Protein Smoothie," Vegan Energy Balls - 100 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Spring Rolls, Quinoa Stuffed Bell Peppers
21,400.0,150.0,360.0,150.0,350.0, Vegan Breakfast Fried Rice, Chia Pudding, Vegetable Tempura, Cabbage Stir-Fry," Chinese Vegan General Tso's Cauliflower (350 calories/portion, 3 portions) - China
"
22,400.0,300.0,200.0,150.0,250.0, Vegan Breakfast Hand Pies, Vegan Protein Smoothie Bowl," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup, Vegan Zucchini Bread
23,350.0,200.0,160.0,150.0,400.0, Vegan Chocolate Peanut Butter Smoothie - 350 calories per portion | 1 portion | Contains nuts | Origin, Guacamole and Tortilla Chips," Chickpea Salad Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Cabbage Stir-Fry, Lentil Biryani
24,450.0,260.0,120.0,150.0,390.0, Vegan Breakfast Lassi, Vegan Blueberry Muffins, Guacamole and Veggie Sticks, Veggie Spring Rolls, Vegan Tikka Masala
25,300.0,200.0,140.0,150.0,280.0, Vegan Mango Turmeric Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Vegan Yogurt Parfait," Maple Roasted Nuts - 140 kcals per portion, 4 portions, no allergic warnings, origin", Cabbage Stir-Fry, Lentil Bolognese
26,400.0,180.0,200.0,150.0,200.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin, Vegan Cornbread, Vegan Thai Papaya Salad, Tom Yum Soup, Ratatouille
27,250.0,120.0,740.0,150.0,400.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Kale Chips, Vegan Buffalo Cauliflower Wings, Tomato Basil Soup," Vegan Lentil Loaf with Mashed Potatoes - 400 calories per portion, 4 portions, may contain gluten"
28,250.0,180.0,130.0,150.0,350.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin, Vegan Protein Balls," Stuffed Mini Portobello Mushrooms - 130 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup," Greek Vegan Briam (350 calories/portion, 2 portions) - Greece
"
29,150.0,350.0,280.0,150.0,400.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin, Veggie Wrap, Baked Tofu Nuggets, Lentil Soup, Vegan Lasagna
