,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,50.0,100.0,260.0,500.0,350.0, Vegan Breakfast Sushi Burrito, Toasted Coconut Chips, Spicy Mango Salsa," Black Bean Quesadillas with Guacamole
Total calories per portion"," Vegan Thai Coconut Soup - 350 calories per portion, 2 portions, may contain soy"
2,200.0,80.0,90.0,300.0,250.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Stuffed Dates," Baked Zucchini Chips - 90 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pesto Pasta, Vegan Tofu Satay Skewers
3,600.0,100.0,160.0,200.0,300.0, Vegan Breakfast BLT, Roasted Pumpkin Seeds, Vegan Spinach and Mushroom Puff Pastry," Vegan Tofu Scramble
Total calories per portion"," Sesame Ginger Stir-Fry - 300 calories per portion, 4 portions, Soy, China
"
4,300.0,80.0,780.0,350.0,350.0, Avocado Toast - 300 calories per portion | 1 portion | None | Origin, Fruit Salad, Lentil Sloppy Joes, Vegan Tacos with Avocado Salsa," Greek Spanakopita (350 calories/portion, 3 portions) - Greece
"
5,250.0,90.0,600.0,350.0,300.0, Avocado Toast, Quinoa Energy Bites, Vegan Indonesian Gado Gado, Vegan Butternut Squash Risotto," Moroccan Vegetable Tagine (300 calories/portion, 4 portions) - Morocco
"
6,350.0,100.0,100.0,550.0,330.0, Vegan Breakfast Croissant, Fresh Fruit Salad," Vegan Energy Balls - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Mushroom Risotto Stuffed Acorn Squash
Total calories per portion", Vegan Shepherd's Pie
7,600.0,100.0,800.0,200.0,300.0, Vegan Breakfast Biscotti, Baked Apple Chips, Vegan Teriyaki Tofu Bowl," Spicy Lentil Soup
Total calories per portion", Beetroot Burger
8,200.0,100.0,600.0,200.0,350.0, Vegan Breakfast Phyllo Cups, Energy Balls, Vegan Mushroom Risotto," Spicy Lentil Soup
Total calories per portion"," Thai Pineapple Fried Rice (350 calories/portion, 3 portions) - Thailand
"
9,350.0,80.0,180.0,400.0,350.0, Vegan Kale and Potato Frittata - 350 calories per portion | 1 portion | None | Origin, Stuffed Dates," Vegan Pumpkin Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Bibimbap," Vegan Lentil Coconut Curry - 350 calories per portion, 2 portions, may contain mustard"
10,300.0,100.0,180.0,400.0,300.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin, Roasted Almonds, Lentil Soup, Vegan Pasta Primavera, Ratatouille-Stuffed Peppers
