,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,100.0,220.0,250.0,450.0,250.0, Vegan Breakfast Bagel, Mini Vegetable Quiches, Avocado Chocolate Mousse," Italian Vegan Pizza
Total calories per portion", Lentil Tacos
2,250.0,250.0,150.0,600.0,160.0, Middle Eastern Shakshuka, Veggie Oatmeal Muffins, Pita Bread with Baba Ganoush," Chicken Fajitas with Guacamole - 600 calories
    - Total portions"," Vegan Lentil and Vegetable Shepherd's Pie - 160 calories per portion, 4 portions, may contain gluten"
3,320.0,220.0,170.0,250.0,250.0," Mushroom and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, French origin)
", Spinach and cheese turnovers, Corn tortilla chips with salsa, Mexican Guacamole, Moroccan Chickpea Stew
4,250.0,300.0,100.0,350.0,213.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Pumpkin and Cranberry Energy Balls, Tzatziki with Pita Bread," Grilled Chicken Caesar Salad - 350 calories per portion, 4 portions, contains dairy, Italian
", Lentil Soup
5,200.0,200.0,120.0,250.0,260.0, Quinoa Breakfast Skillet," Peanut Butter Energy Bites - 200kcals per portion, 1 portion
    Origin", Tomato Basil Bruschetta, Greek Gigantes Beans," Greek Style Lemon Potatoes - 260kcals per portion, 4 portions
"
6,200.0,120.0,400.0,250.0,250.0, Vegetarian Quiche, Bell pepper and cream cheese roll-ups, Vegan Tzatziki and Pita Bread," Quinoa Stuffed Peppers - 250kcals per portion, 2 portions, soy-free, International
", Tofu and Vegetable Kebabs
7,300.0,350.0,200.0,450.0,220.0, Tropical Mango Chia Pudding, Smoked salmon and cream cheese bagel, Mini Vegetable Quiches," Pesto Pasta with Grilled Vegetables - 450 calories
    - Total portions", Chickpea and Vegetable Stir Fry
8,300.0,280.0,100.0,350.0,170.0," Poha (Indian flattened rice dish) - 300 calories per portion, 2 portions, no allergic warnings, origin", Overnight chocolate protein oats, Tzatziki with Pita Bread," Mediterranean Baked Falafel
Total calories per portion", Miso Soup with Tofu and Vegetables
9,250.0,300.0,260.0,400.0,200.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Peanut Butter and Jelly Rice Cakes, Spicy Mango Salsa, Moroccan Chicken Tagine," Eggplant and Tomato Gratin - 200 calories/portion, 2 portions, Origin"
10,300.0,200.0,300.0,350.0,250.0," Spinach and feta pastry turnovers (300kcals per portion, 2 portions, dairy allergies)
"," Grilled Halloumi Skewers - 200kcals per portion, 1 portion
    Origin", Mini Beef Empanadas, Baked salmon with lemon and dill," Moroccan Chickpea Stew (250 calories/portion, 4 portions) - Morocco
"
11,200.0,250.0,160.0,500.0,200.0, Vegan Breakfast Frittata, Greek Yogurt and Berry Overnight Oats," Grilled Portobello Mushroom Burger - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Thai Pineapple Fried Rice - 500 calories
    - Total portions"," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
12,300.0,220.0,160.0,600.0,200.0, Vegan French Toast, Blueberry and almond muffins, Roasted Eggplant Dip," Chicken Fettuccine Alfredo - 600kcals per portion, 2 portions"," Butternut Squash Soup - 200 calories per portion, 4 portions, None, Various
"
13,200.0,150.0,200.0,400.0,250.0, Vegan French Toast - 200 calories per portion | 2 portions | Contains gluten | Origin," Yogurt Parfait - 150kcals per portion, 1 portion
   Origin", Coconut Chia Pudding," Tomato and Mozzarella Salad - 400kcals per portion, 2 portions, contains dairy, Origin"," Vegetable Stir Fry - 250 calories/portion, 4 portions, Origin"
14,150.0,280.0,170.0,300.0,250.0, Fruit Smoothie, Vegan Cinnamon Roll Pancakes," Vegan Mediterranean Flatbread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Mexican Rice Bowl," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
15,250.0,200.0,200.0,400.0,250.0," Almond butter and banana smoothie (250kcals per portion, 1 portion, nut allergies)
", Chia Pudding with Almonds - Approx, Guacamole with Tortilla Chips, Thai vegetable and tofu red curry, Cauliflower Fried Rice
16,200.0,180.0,100.0,250.0,250.0, Zucchini Bread, Fruity Nice Cream, Greek Yogurt Fruit Dip," Vegetable Stir-Fry - 250kcals per portion, 3 portions, no allergies, Origin"," Greek Tabbouleh Salad - 250 calories/portion, 4 portions, contains gluten (Greece)

"
17,300.0,250.0,150.0,300.0,250.0," Nigerian moi moi (bean pudding) - 300 calories per portion, 2 portions, no allergic warnings, origin", Guacamole and Tortilla Chips, Baked Parmesan Zucchini Fries, Portobello mushroom burger," Ratatouille - 250 calories per portion, 3 portions, may contain onions and garlic"
18,250.0,180.0,170.0,300.0,200.0, Overnight Chia Oats, Pita Bread with Baba Ganoush, Tuna Salad Lettuce Wraps, Vegetable and lentil tacos, Mediterranean Quinoa Bowl
19,50.0,200.0,180.0,300.0,250.0, Vegan Breakfast Smoothie, Baked Falafel," Sticky Coconut Rice Balls - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Vietnamese Summer Rolls with Peanut Sauce (300 calories per portion, serves 6, contains gluten, peanuts, and soy, origin"," Mexican Corn Salad - 250 calories/portion, 4 portions, contains cilantro (Mexico)
"
20,300.0,150.0,150.0,350.0,250.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Pear with Goat Cheese, Cauliflower Buffalo Wings," Vegan Teriyaki Tofu Stir-Fry
Total calories per portion", Stuffed Portobello Mushrooms
21,300.0,200.0,180.0,350.0,246.0, Vegan Pumpkin Muffins - 300 calories per portion | 2 portions | Contains gluten | Origin, Vegan Protein Bars, Mini quiche bites," Quinoa Stuffed Acorn Squash - 350kcals per portion, 2 portions", Vegan Teriyaki Tofu
22,100.0,80.0,170.0,180.0,220.0, Vegan Breakfast Bagel, Baked Apple Chips, Vegetable Sushi Rolls, Roasted beet and feta salad, Quinoa and Vegetable Stir Fry
