,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,150.0,200.0,120.0,250.0, Breakfast Bibimbap, Vietnamese Fresh Spring Rolls - Approx, Mini Vegetable Quiches," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegan Teriyaki Tofu - 250 calories per portion, 4 portions, Soy, Japan
"
2,300.0,200.0,200.0,120.0,200.0, Vegan Coconut Chia Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Roasted Red Pepper and Tomato Soup, Bruschetta with Mozzarella and Basil," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Spicy Black Bean Soup
3,250.0,200.0,300.0,120.0,450.0, Sourdough Toast with Almond Butter, Rice Paper Spring Rolls, Mini Margherita Pizzas," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Honey-Glazed Baked Ham
4,250.0,100.0,300.0,120.0,400.0," Fruit smoothie bowl topped with granola (250kcals per portion, 2 portions, nut allergies, origin", Fresh Juice - Approx, Mini black bean and cheese quesadillas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Caprese Flatbread
5,350.0,180.0,250.0,100.0,300.0, Broccoli and Cheese Frittata, Vegan Protein Balls, Coconut chia pudding, Israeli salad," Quinoa Stuffed Bell Peppers - 300 calories per portion, 4 portions, no allergic warnings, Origin"
6,380.0,200.0,300.0,120.0,350.0," Cabbage and sausage breakfast skillet (380 calories per portion, 2 portions, contains dairy, German origin)
", Stuffed Mushrooms, Tortilla Española," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Thai Coconut Curry with Shrimp
7,450.0,180.0,160.0,20.0,350.0, Spinach and Feta Breakfast Wrap, Muesli, Baked Sweet Potato Fries, Moroccan Mint Tea," Ratatouille Quinoa Bowl - 350 calories/portion, 4 portions, contains garlic (France)
"
8,300.0,200.0,160.0,100.0,200.0, Greek Yogurt with Honey and Pistachios," Coconut Chia Seed Pudding - 200kcals per portion, 1 portion
    Origin", Roasted Eggplant Dip, Israeli salad," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
9,300.0,120.0,100.0,100.0,250.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Tomato and Basil Bruschetta, Baked zucchini fries, Israeli salad," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
10,300.0,200.0,180.0,120.0,292.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Muesli with Milk, Mini Spinach and Mushroom Quiches," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil Loaf
11,300.0,150.0,200.0,20.0,400.0," Spinach and mushroom frittata (300kcals per portion, 2 portions)
", Grilled vegetable skewers, Mini Vegetable Spring Rolls, Moroccan Mint Tea," Veggie Sushi Bowl - 400 calories/portion, 2 portions, Origin"
12,500.0,120.0,800.0,120.0,208.0," Breakfast burrito with scrambled eggs and avocado (500kcals per portion, 2 portions, origin", Cucumber Rolls, Vegan Spinach Artichoke Dip," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Spinach and Mushroom Quesadillas
13,400.0,150.0,200.0,100.0,320.0," Iraqi masgouf (grilled fish) with flatbread - 400 calories per portion, 2 portions, contains gluten, origin", Rice Cake with Peanut Butter, Mini Quiches, Israeli salad," Sesame ginger tofu with broccoli – 320 calories per portion, 3 portions, vegan-friendly
"
14,300.0,150.0,320.0,20.0,350.0, Vegan Breakfast Bars - 300 calories per portion | 1 portion | Contains nuts | Origin, Vegan Pumpkin Muffins, Spicy Peanut Noodles, Moroccan Mint Tea, Mexican Quinoa Stuffed Bell Peppers
15,250.0,180.0,220.0,120.0,200.0," Coconut chia pudding with mango (250kcals per portion, 2 portions)
", Vegan Flapjacks, Vegetarian sushi rolls," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Spinach and Feta Stuffed Mushrooms - 200 calories/portion, 4 portions, Origin"
16,320.0,150.0,660.0,100.0,250.0," Caramelized onion and goat cheese tart (320 calories per portion, 2 portions, contains dairy, French origin)
", Oatmeal Raisin Energy Bites, Vegan Pesto Pasta, Israeli salad, Lentil Loaf
