,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,80.0,150.0,250.0,210.0," Banana chocolate chip muffins (300 calories per portion, 2 portions, contains dairy, American origin)
", Avocado Deviled Eggs, Yogurt Parfait, Lebanese Lentil Rice," Greek Briam - 210kcals per portion, 4 portions
"
2,150.0,50.0,140.0,350.0,200.0, Vegan Breakfast Pita Pockets," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Melon and Prosciutto Skewers," Sweet Potato and Black Bean Quesadilla - 350kcals per portion, 2 portions, contains legumes, gluten (Mexico)
"," Vegetable Stir-Fry - 200kcals per portion, 4 portions
"
3,320.0,80.0,80.0,600.0,200.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
", Fresh Squeezed Orange Juice, Cucumber cream cheese roll-ups," Greek Lamb Gyro - 600kcals per portion, 4 portions", Mexican Street Corn Salad
4,400.0,50.0,270.0,400.0,200.0, Vegetarian Quiche Lorraine, Baked Apple Chips - Approx," Matzah Brei - 270 kcals per portion, 2 portions, contains gluten (Jewish)"," Greek Lemon Chicken with Orzo - 400 calories per portion, 2 portions, contains dairy, Greek
", Ratatouille
5,400.0,80.0,150.0,400.0,210.0, Aloo Paratha (Potato Stuffed Flatbread)," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Caprese Salad, Greek-style baked fish with lemon and herbs, Quinoa and Kale Salad
6,350.0,80.0,80.0,350.0,200.0, Veggie Breakfast Strudel, Avocado Deviled Eggs, Veggie Spring Rolls," Quinoa Stuffed Summer Squash - 350kcals per portion, 4 portions", Lentil and Vegetable Soup
7,300.0,50.0,190.0,150.0,200.0," Congee (Chinese rice porridge) with century eggs - 300 calories per portion, 2 portions, no allergic warnings, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Falafel Bites," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Vegan Tomato Soup - 200 calories per portion, 4 portions, None, Various
"
8,220.0,70.0,190.0,450.0,160.0," Scrambled eggs with toast - 220 calories per portion, 2 portions, no allergic warnings, origin", Kale chips, Baba Ganoush with Pita Bread, Chicken and Vegetable Curry," Vegan Mediterranean Couscous Salad - 160 calories per portion, 3 portions, may contain gluten"
9,300.0,80.0,250.0,200.0,210.0, Egg Salad Sandwich, Kale Chips, Eggplant and feta bruschetta, Spinach and Mushroom Frittata," Greek Briam - 210kcals per portion, 4 portions
"
10,400.0,80.0,90.0,300.0,200.0," Huevos Rancheros with refried beans and salsa (400kcals per portion, 2 portions, origin", Mango with Chili Powder, Greek Feta and Olive Skewers, Portobello Mushroom Burgers," Ratatouille Stuffed Zucchini - 200 calories/portion, 4 portions, Origin"
11,250.0,80.0,180.0,500.0,200.0, Mozzarella and Tomato Bruschetta, Fruit Salad, Mango Salsa with Tortilla Chips," Greek Pastitsio - 500 calories
    - Total portions"," Lentil Spinach Soup - 200 calories per portion, 4 portions, None, Various
"
12,350.0,80.0,200.0,400.0,200.0," Baked beans on toast (350kcals per portion, 2 portions, origin", Energy Balls," Vegan Baked Raspberry Oatmeal - 200 kcals per portion, 4 portions, no allergic warnings, origin", Grilled Vegetable Panini, Lentil Curry
13,350.0,60.0,160.0,400.0,210.0, Blueberry Muffins, Fruit Salad - Approx, Greek Yogurt with Chocolate Chips," Caprese Panini - 400 calories
    - Total portions"," Greek Briam - 210kcals per portion, 4 portions
"
14,350.0,80.0,90.0,150.0,180.0, Ricotta Pancakes, Fruit Salad, Vegetable Spring Rolls, Greek Tzatziki Dip with Pita," Greek Roasted Vegetables - 180kcals per portion, 4 portions
"
15,400.0,50.0,80.0,220.0,220.0," Chinese congee with chicken and ginger (400kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Cucumber cream cheese roll-ups, Greek lemon rice soup (Avgolemono), Lentil and Vegetable Stir Fry
16,300.0,50.0,350.0,350.0,220.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Sweet Potato and Black Bean Quesadilla, Sweet Potato and Black Bean Enchiladas," Greek Salad - 220kcals per portion, 4 portions, contains dairy
"
17,300.0,80.0,180.0,500.0,220.0, Idli and Sambar, Energy Balls, Oatmeal Raisin Cookies," Thai Pineapple Fried Rice
Total calories per portion", Lentil and Kale Soup
18,300.0,80.0,150.0,400.0,200.0, Cheesy Grits, Fresh Squeezed Orange Juice, Edamame Salad," Thai Green Curry with Mixed Vegetables
Total calories per portion"," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
19,300.0,80.0,220.0,250.0,200.0," Zucchini and carrot muffins (300kcals per portion, 2 portions)
", Fresh Watermelon Slices - Approx," Falafel with Tahini Sauce - 220 kcals per portion, 3 portions, contains sesame (Middle East)", Mexican vegetable tortilla soup," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
20,250.0,50.0,220.0,400.0,200.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Baked mozzarella sticks, Moroccan Lamb Tagine," Ratatouille Stuffed Zucchini - 200 calories/portion, 4 portions, Origin"
21,300.0,80.0,150.0,250.0,213.0," Scottish porridge with honey and berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Stuffed Dates, Baked Parmesan Zucchini Fries," Cauliflower Rice Stir-Fry - 250 calories
    - Total portions", Lentil Soup
22,70.0,80.0,200.0,450.0,80.0, Fruit Salad, Apple with Cinnamon, Spinach and Cheese Puffs, Quinoa Stuffed Tomatoes," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
"
23,350.0,80.0,180.0,300.0,220.0, Huevos Rancheros, Mango with Chili Powder, Veggie Fritters, Chicken Satay Skewers, Lentil and Vegetable Stir Fry
24,400.0,80.0,90.0,400.0,200.0, Shakshuka with Feta Cheese, Energy Balls," Cauliflower Buffalo Wings - 90 kcals per portion, 4 portions, contains gluten (USA)"," Chicken Caesar Pasta - 400kcals per portion, 4 portions", Mediterranean Quinoa Bowl
25,350.0,80.0,120.0,420.0,200.0, Moroccan Shakshuka," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Greek Feta Dip with Veggies," Veggie Ratatouille Tart - 420kcals per portion, 2 portions, contains gluten
"," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
26,200.0,80.0,120.0,350.0,180.0, Veggie Breakfast Pizza Rolls, Fresh Watermelon Slices - Approx, Greek Feta Dip with Veggies," Caprese Sandwich - 350kcals per portion, 2 portions, lacto-vegetarian, Italy
"," Lentil and vegetable soup - 180 calories per portion, 6 portions, none
"
27,300.0,80.0,100.0,380.0,200.0, Greek Yogurt with Berries and Granola," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Dark Chocolate Covered Almonds," Mushroom and Spinach Tart - 380kcals per portion, 3 portions, contains dairy
", Veggie Miso Soup
28,300.0,80.0,80.0,350.0,150.0, Breakfast Couscous with Fresh Fruit, Stuffed Dates, Baked Kale Chips, Vegetable Stir-Fry," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
29,200.0,80.0,160.0,350.0,119.0, Vegan Breakfast Frittata, Fresh Watermelon Slices - Approx, Cucumber and Cream Cheese Bites, Quinoa Salad with Grilled Vegetables, Vegan Gazpacho
30,400.0,80.0,70.0,450.0,220.0," Açai bowl topped with fruits and coconut flakes (400kcals per portion, 1 portion, origin", Fruit Salad," Watermelon and Mint Salad - 70 kcals per portion, 4 portions, no allergic warnings, origin", Thai Green Curry with Tofu, Chickpea and Vegetable Stir Fry
31,350.0,80.0,150.0,350.0,220.0, Huevos Rancheros, Kale Chips, Caprese Bruschetta," Vietnamese Caramelized Pork Banh Mi - 350 calories per portion, 2 portions, contains meat, Vietnamese
", Chickpea Salad
32,300.0,80.0,100.0,500.0,220.0, Chocolate Chia Protein Pudding, Fruit Salad, Baked Eggplant Chips," Mexican Enchiladas with Salsa Verde - 500 calories
    - Total portions", Lentil and Vegetable Stir Fry
