,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,150.0,200.0,400.0,350.0, Vegan Berry Parfait - 250 calories per portion | 2 portions | Contains nuts | Origin, Almond Joy Energy Bites, Vegan Chocolate Covered Strawberries, Vegan BLT Sandwich, Vegan BBQ Pulled Jackfruit Sandwich
2,350.0,120.0,200.0,400.0,325.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin, Kale Chips," Vegan Pancakes with Maple Syrup - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Gnocchi with Pesto Sauce
Total calories per portion", Vegan Burritos
3,350.0,150.0,180.0,300.0,318.0, Vegan Breakfast Quinoa Bowl - 350 calories per portion | 1 portion | Contains nuts | Origin, Berry Smoothie," Vegan Blueberry Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Spinach and Artichoke Dip
Total calories per portion", Lentil and Mushroom Burgers
4,300.0,150.0,130.0,300.0,200.0, Avocado Toast - 300 calories per portion | 1 portion | None | Origin, Hummus and Veggie Sticks," Baked Falafel with Tahini Sauce - 130 kcals per portion, 4 portions, allergic warning (sesame), origin", Vegan Chinese Hot and Sour Soup," Butternut Squash Soup - 200 calories per portion, 4 portions, None, Various
"
5,450.0,100.0,200.0,300.0,221.0, Vegan Breakfast Muffins, Roasted Pumpkin Seeds," Vegan Strawberry Banana Smoothie - 200 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Bolognese, Zucchini Noodles with Pesto
6,250.0,180.0,120.0,300.0,350.0, Vegan Breakfast Shakshuka, Vegan Protein Balls," Vegan Oatmeal Raisin Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Bolognese, Vegan Shakshuka
7,350.0,150.0,80.0,550.0,350.0, Vegan Breakfast Pizza - 350 calories per portion | 1 portion | Contains gluten | Origin, Rainbow Veggie Skewers," Veggie Spring Rolls with Peanut Sauce - 80 kcals per portion, 4 portions, allergic warning (peanuts), origin"," Spicy Thai Peanut Noodles
Total calories per portion", Vegan Tikka Wrap
8,350.0,120.0,100.0,350.0,350.0, Vegan Breakfast Banana Bread, Roasted Brussels Sprouts," Stuffed Mini Peppers with Vegan Cream Cheese - 100 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea and Vegetable Stew," Italian Vegan Pesto Pasta (350 calories/portion, 3 portions) - Italy
"
9,400.0,180.0,120.0,250.0,200.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin, Vegan Zucchini Bread, Vegan Mediterranean Hummus Bowl, Lentil Salad, Lentil Soup
10,250.0,100.0,480.0,500.0,300.0, Vegan Breakfast Quesadilla, Roasted Almonds, Spinach and Mushroom Quesadillas, Veggie Burger with Sweet Potato Fries," Ratatouille Stuffed Zucchini - 300 calories per portion, 4 portions, None, France

"
11,350.0,180.0,240.0,400.0,250.0, Vegan Sweet Potato Hash Browns - 350 calories per portion | 1 portion | None | Origin, Vegan Blueberry Scones, Vegan Stuffed Portobello Mushrooms," Vegan Quinoa and Black Bean Chili
Total calories per portion", Lentil Salad
12,400.0,150.0,180.0,250.0,350.0, Veggie Sausage and Hash Browns - 400 calories per portion | 1 portion | Contains soy | Origin, Pumpkin Spice Latte," Quinoa Stuffed Bell Peppers - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Ratatouille
Total calories per portion", Vegan Lasagna
13,250.0,150.0,240.0,400.0,250.0, Vegan Breakfast Shakshuka, Homemade Vegan Trail Mix, Veggie Sushi Rolls, Vegan Cajun Red Beans and Rice," Vegan Korean Bibimbap - 250 calories per portion, 2 portions, may contain soy"
14,350.0,150.0,200.0,300.0,320.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Pumpkin Muffins, Stuffed Grape Leaves," Vegan Caesar Pasta Salad
Total calories per portion", Sweet and Sour Tofu
15,400.0,150.0,160.0,400.0,220.0, Vegan Breakfast Fried Rice, Maple Pecan Energy Balls," Vegan Raspberry Bars - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Gnocchi with Pesto Sauce
Total calories per portion", Lentil and Vegetable Stir Fry
16,250.0,150.0,400.0,350.0,300.0, Vegan Beetroot and Apple Smoothie - 250 calories per portion | 2 portions | None | Origin, Green Smoothie, Vegan Caesar Salad, Vegan BBQ Sandwich," Moroccan Vegetable Tagine (300 calories/portion, 4 portions) - Morocco
"
17,150.0,180.0,120.0,400.0,350.0, Chia Pudding - 150 calories per portion | 1 portion | None | Origin, Vegan Zucchini Bread," Vegan Cucumber Sushi Rolls - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Moroccan Vegetable Tagine
Total calories per portion"," Italian Vegan Pasta Aglio e Olio (350 calories/portion, 2 portions) - Italy
"
18,250.0,150.0,560.0,400.0,210.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Vegan Gingerbread Cookies, Vegan Chickpea Salad Sandwich," Vegan Gnocchi with Pesto Sauce
Total calories per portion", Quinoa Stuffed Portobello Mushrooms
19,200.0,180.0,200.0,300.0,350.0, Vegan Breakfast Enchiladas, Easy Homemade Granola," Vegan Pumpkin Pancakes - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Street Corn Salad
Total calories per portion", Vegan Pizza
20,150.0,90.0,80.0,250.0,250.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin, Stuffed Dates," Baked Apple Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Black Bean and Corn Salad, Portobello Mushroom Burger
