,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,180.0,100.0,120.0,330.0," Overnight oats with berries and almond milk (250 calories per portion, 2 portions, nut-free, American origin)
", Veggie Stuffed Bell Peppers," Roasted Garlic Hummus with Veggie Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil Burgers - 330kcals per portion, 4 portions, contains legumes
"
2,500.0,180.0,120.0,120.0,350.0," English full breakfast with bacon, sausages, eggs, beans, mushrooms, and toast (500kcals per portion, 2 portions, pork allergies, origin", Caprese salad, Vegan Mediterranean Hummus Bowl," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
3,250.0,200.0,160.0,120.0,300.0, Vegan Breakfast Shakshuka," Mini Caprese Sandwiches - 200kcals per portion, 1 portion
    Origin", Chocolate Dipped Pretzels," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Sweet Potato Black Bean Burrito
4,200.0,300.0,120.0,100.0,400.0, Veggie Breakfast Pizza Rolls, Spinach and Mushroom Quesadilla, Mediterranean Salad, Israeli salad," Pad See Ew - 400 calories per portion, 4 portions, contains gluten (noodles), Origin"
5,500.0,70.0,180.0,120.0,300.0," Vietnamese banh mi sandwich with eggs, pickled carrots, and cilantro (500kcals per portion, 2 portions, origin", Kale chips, Quinoa Salad with Chickpeas," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Mexican Street Corn - 300 calories per portion, 4 portions, contains dairy (cheese), Origin"
6,150.0,230.0,180.0,100.0,200.0, Greek Yogurt with Berries, Vegan Chocolate Chia Pudding, Mini cauliflower pizza bites, Israeli salad, Ratatouille
7,300.0,200.0,110.0,120.0,350.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
", Caprese Salad Skewers," Watermelon Gazpacho - 110 kcals per portion, 4 portions, gluten-free (Spain)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Mexican Rice Stuffed Peppers - 350 calories/portion, 4 portions, Origin"
8,250.0,200.0,220.0,20.0,350.0, Vegan Banana Muffins, Veggie Nuggets, Waldorf salad, Moroccan Mint Tea, Vegan Burritos
9,350.0,160.0,840.0,120.0,400.0, Tomato and Basil Bruschetta Scramble, Energy Balls, Vegan Tomato Bruschetta," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Penne alla Vodka with Spinach
10,350.0,180.0,150.0,120.0,300.0," Cauliflower and feta frittata (350 calories per portion, 2 portions, contains dairy, Italian origin)
", Vegan Blueberry Muffins, Mini Meatballs," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Lemon Herb Grilled Shrimp - 300 calories per portion, 4 portions, contains shellfish, Origin"
