,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,180.0,220.0,20.0,250.0, Vegan Breakfast Crepes, Vegan Zucchini and Corn Fritters, Sesame Ginger Edamame, Moroccan Mint Tea," Zucchini Noodles with Marinara - 250 calories per portion, 4 portions, None, Italy
"
2,350.0,220.0,120.0,20.0,180.0, Cranberry Orange Muffins, Oatmeal with banana," Roasted Chickpeas - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Lentil Soup
3,450.0,150.0,80.0,20.0,210.0," Jamaican ackee and saltfish with Johnny cakes - 450 calories per portion, 2 portions, contains gluten, origin", Fruit Smoothie, Vegan Peanut Butter Energy Bars, Moroccan Mint Tea," Greek Briam - 210kcals per portion, 4 portions
"
4,400.0,200.0,100.0,20.0,250.0, Breakfast Tacos with Chorizo, Lentil Soup, Cucumber and Watermelon Salad, Moroccan Mint Tea, Quinoa Salad
5,450.0,160.0,230.0,20.0,240.0, Nutella Stuffed French Toast, Zucchini fritters," Matzah Ball Soup - 230 kcals per portion, 3 portions, contains gluten (Jewish)", Moroccan Mint Tea," Caprese Stuffed Avocado - 240kcals per portion, 4 portions, contains dairy (Italy)
"
6,350.0,150.0,300.0,20.0,250.0," English crumpets with butter and jam (350kcals per portion, 2 portions, dairy allergies, origin", Hawaiian Fruit Skewers - Approx, Mini black bean and cheese quesadillas, Moroccan Mint Tea, Eggplant and Tomato Gratin
7,300.0,250.0,300.0,20.0,200.0," Strawberry banana overnight oats (300 calories per portion, 2 portions, nut-free, American origin)
"," Greek Style Spanakopita (Spinach Pie) - 250kcals per portion, 1 portion
    Origin", Baked Chicken Nuggets, Moroccan Mint Tea, Ratatouille
8,300.0,180.0,380.0,20.0,200.0, Fruit Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Fruity Nice Cream, Mini chicken and vegetable pot pies, Moroccan Mint Tea," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
9,300.0,180.0,200.0,20.0,200.0, Baked Egg in Avocado, Instant Pot Vegan Yogurt, Hummus and Veggie Wrap, Moroccan Mint Tea," Butternut Squash Soup - 200 calories per portion, 4 portions, None, Various
"
10,350.0,250.0,120.0,20.0,200.0, Huevos Rancheros, Veggie Oatmeal Muffins, Tabouli salad, Moroccan Mint Tea, Spicy Black Bean Soup
11,250.0,250.0,100.0,20.0,200.0, Middle Eastern Shakshuka, Spinach and Feta Hand Pies, Zucchini Tomato Bites, Moroccan Mint Tea, Lentil Spinach Soup
12,380.0,350.0,150.0,20.0,250.0," Sweet potato and black bean breakfast skillet (380 calories per portion, 2 portions, nut-free, Mexican origin)
", Veggie Spring Rolls, Mini spinach and feta quiches, Moroccan Mint Tea," Thai Pineapple Fried Rice - 250 calories per portion, 4 portions, None, Thailand
"
13,450.0,200.0,200.0,20.0,213.0," Bagel with cream cheese and smoked salmon - 450 calories per portion, 1 portion, contains gluten and dairy, origin", Scrambled eggs with spinach, Stuffed Bell Peppers, Moroccan Mint Tea, Lentil Soup
14,400.0,220.0,230.0,20.0,200.0," Turkish acma (soft bread rings) with feta cheese - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Guacamole with Tortilla Chips, Roasted red pepper hummus with pita chips, Moroccan Mint Tea, Greek Stuffed Peppers
15,300.0,100.0,150.0,20.0,200.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Baked Apple Chips, Roasted chickpeas, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
