,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,120.0,150.0,20.0,200.0, Quinoa Breakfast Cookies, Vegetable Samosas, Paprika and Cumin Spiced Roasted Chickpeas, Moroccan Mint Tea, Vegetable Stir-Fry
2,350.0,80.0,120.0,150.0,300.0," Spanish tortilla with potato and onion (350kcals per portion, 2 portions, origin", Baked Apple Chips," Vegan Coconut Lime Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Tomato and Basil Bruschetta, Quinoa Stuffed Peppers
3,250.0,100.0,170.0,150.0,250.0, Blueberry Oatmeal Breakfast Bars, Fresh Juice - Approx," Roasted Red Pepper Hummus with Pita Bread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Caprese Salad, Caprese Quinoa Salad
4,250.0,80.0,280.0,150.0,300.0, Buckwheat Porridge, Kale Chips, Greek Spinach and Cheese Rolls, Ratatouille," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
5,400.0,100.0,160.0,150.0,320.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Portobello Mushroom Pizza Bites, Spinach and cheese stuffed tomatoes, Zucchini and Carrot Noodles with Peanut Sauce
6,400.0,120.0,210.0,150.0,250.0," Iraqi masgouf (grilled fish) with flatbread - 400 calories per portion, 2 portions, contains gluten, origin", Greek Stuffed Grape Leaves, Greek Feta and Olive Tapenade Crostini, Spinach and cheese stuffed tomatoes," Vegan Teriyaki Tofu - 250 calories per portion, 4 portions, Soy, Japan
"
7,350.0,150.0,200.0,165.0,284.0, Vegan Breakfast Sandwich - 350 calories per portion | 1 portion | Contains gluten | Origin, Antipasto Skewers, Coconut Chia Pudding," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin", Quinoa and Vegetable Stir Fry
8,430.0,150.0,260.0,150.0,300.0," Cinnamon raisin French toast (430 calories per portion, 2 portions, contains dairy, American origin)
", Roasted Garlic Hummus, Greek Stuffed Mushrooms, Butternut squash soup, Vegan Gyros
9,280.0,110.0,80.0,20.0,220.0," Avocado toast with smoked salmon (280 calories per portion, 2 portions, contains fish, American origin)
", Moroccan-style boiled eggs, Veggie Spring Rolls, Moroccan Mint Tea, Grilled Vegetable Skewers
10,400.0,120.0,150.0,150.0,300.0, Veggie Breakfast Bagel Sandwich, Raspberry Chia Seed Jam, Roasted Vegetable Bruschetta," Greek Salad - 150 calories
   - Total portions"," Moroccan vegetable tagine with couscous - 300 kcals per portion, 4 portions, vegetarian, contains gluten
"
