,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,100.0,150.0,350.0,180.0, Coconut Chia Pudding, Corn on the Cob, Baked Parmesan Zucchini Fries," Roasted Vegetable Quinoa Bowl - 350kcals per portion, 2 portions, no allergies
", Ratatouille
2,400.0,120.0,160.0,300.0,320.0, Veggie Breakfast Burrito, Granola Bar, Spinach and Artichoke Dip, Quinoa Stuffed Tomatoes," Eggplant Curry - 320kcals per portion, 4 portions, contains spices (India)
"
3,300.0,80.0,260.0,280.0,350.0, Avocado Toast, Baked Apple Chips, Greek Stuffed Mushrooms," Lentil Salad with Roasted Vegetables - 280kcals per portion, 4 portions, no allergies
"," Stuffed Bell Peppers with Quinoa and Corn - 350 calories/portion, 4 portions, Origin"
4,200.0,90.0,200.0,400.0,200.0, Veggie Breakfast Pizza Rolls, Rice Paper Rolls, Baked Zucchini Fries," Grilled Vegetable Panini - 400kcals per portion, 2 portions, no allergies
"," Roasted Vegetable Frittata - 200 calories/portion, 4 portions, Origin"
5,300.0,120.0,250.0,330.0,400.0, Tomato Basil Avocado Toast, Cinnamon Sugar Pretzels, Guacamole with Tortilla Chips," Lentil Bolognese - 330kcals per portion, 2 portions, contains legumes, gluten (Italy)
"," Vegetable Biryani - 400 calories/portion, 4 portions, contains nuts (India)
"
6,450.0,120.0,200.0,350.0,260.0, Nutella Stuffed French Toast, Vegetable Samosas, Stuffed Bell Peppers, Greek vegetable moussaka," Greek Style Green Beans - 260kcals per portion, 4 portions
"
7,200.0,100.0,160.0,450.0,200.0, Vegetable Frittata, Watermelon Fruit Pizza, Pita Bread and Hummus, Spinach and Feta Tart," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
8,450.0,120.0,250.0,220.0,300.0, Nutella Stuffed French Toast, Fruit Salsa with Cinnamon Chips, Mini Pizzas, Greek tzatziki dip, Mushroom and Spinach Quiche
9,250.0,100.0,120.0,400.0,400.0, Vegan Banana Bread, Berry Chia Detox Water, Roasted Chickpeas," Veggie Sushi Burrito - 400kcals per portion, 1 portion, contains soy, gluten (Japan)
"," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
10,350.0,120.0,100.0,350.0,250.0, Apple Cinnamon Muffins, Carrot Sticks with Hummus, Baked Zucchini Fries," Vegetarian Paella - 350kcals per portion, 3 portions, no allergies, Origin"," Stuffed Butternut Squash - 250 calories/portion, 4 portions, Origin"
11,300.0,100.0,180.0,500.0,430.0, Greek Yogurt with Honey and Pistachios, Cucumber Sandwich, Avocado Cucumber Sushi Rolls, Mediterranean Stuffed Peppers," Caprese Stuffed Garlic Bread - 430kcals per portion, 2 portions, contains dairy (Italy)
"
12,200.0,100.0,200.0,220.0,420.0, Spanish Tortilla, Corn on the Cob, Baked Zucchini Fries," Butternut Squash Soup - 220kcals per portion, 4 portions, contains nightshade vegetables
"," Caprese Quinoa Casserole - 420kcals per portion, 2 portions, contains dairy
"
13,250.0,100.0,180.0,500.0,450.0, Smoothie Bowl, Berry Chia Detox Water, Guacamole and Salsa with Tortilla Chips, Middle Eastern Falafel Burger," Butternut Squash and Sage Pasta - 450 calories/portion, 4 portions, contains gluten (Italy)
"
14,400.0,80.0,120.0,200.0,350.0, Vegan Chocolate Waffles, Kale Chips, Hummus with Carrot Sticks, Greek falafel," Chickpea Curry - 350 calories/portion, 4 portions, Origin"
15,250.0,120.0,150.0,220.0,430.0, Tomato Basil Bruschetta, Date Balls, Edamame Salad," Butternut Squash Soup - 220kcals per portion, 4 portions, contains nightshade vegetables
"," Caprese Stuffed Garlic Bread - 430kcals per portion, 2 portions, contains dairy (Italy)
"
16,350.0,120.0,250.0,550.0,200.0, Banana Chia Pancakes, Vegetable Spring Rolls, Stuffed Bell Peppers with Quinoa, Roasted Vegetable Wrap," Baked Falafel - 200 calories/portion, 4 portions, Origin"
17,250.0,100.0,200.0,200.0,180.0, Greek Yogurt Parfait Bowl, Cucumber Rolls with Cream Cheese, Mini Bagel Pizzas," Quinoa-Stuffed Mushrooms - 200kcals per portion, 2 portions, gluten-free
", Ratatouille
18,200.0,80.0,170.0,300.0,200.0, Veggie Breakfast Pizza Rolls, Hard-Boiled Eggs, Mexican Bean Dip," Lentil and Vegetable Curry - 300kcals per portion, 4 portions, no allergies, Origin"," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
19,300.0,100.0,150.0,390.0,400.0, Greek Yogurt with Honey and Pistachios, Berry Chia Detox Water, Veggie Sushi Rolls," Greek Flatbread Pizza - 390kcals per portion, 1 portion, contains gluten, dairy (Greece)
"," Vegetable biryani - 400 calories per portion, 6 portions, contains nuts (India)
"
20,300.0,100.0,100.0,410.0,300.0, Hash Brown Casserole, Baked Apple Chips, Tomato Basil Soup," Mexican Stuffed Zucchini - 410kcals per portion, 2 portions, contains gluten
"," Vegetarian Chili - 300 calories/portion, 4 portions, contains beans (Various)

"
21,300.0,80.0,200.0,410.0,300.0, Sweet Potato Hash Browns, Hard-Boiled Eggs, Mini Quiche," Greek Pasta Salad - 410kcals per portion, 2 portions, contains gluten, dairy (Greece)
", Eggplant Parmesan Sliders
22,250.0,100.0,150.0,200.0,400.0, Spinach and Mushroom Oatmeal, Fruit Salad, Greek Salad Skewers, Greek briam," Coconut curry noodles - 400 calories per portion, 4 portions, contains gluten
"
23,200.0,100.0,160.0,500.0,180.0, Tofu Scramble, Cucumber Sandwich, Baked Tofu Fingers, Middle Eastern Falafel Burger," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
24,300.0,100.0,160.0,400.0,300.0, Blueberry Coconut Overnight Oats, Cucumber and Tomato Salad, Roasted Sweet Potato Slices, Roasted vegetable quinoa bowl," Veggie Burger with Sweet Potato Fries - 300 calories/portion, 4 portions, Origin"
25,200.0,100.0,240.0,250.0,280.0, Papaya Boat with Lime, Quinoa Energy Bites, Chickpea and Vegetable Curry, Lentil and Vegetable Soup," Greek Zucchini Fritters - 280kcals per portion, 4 portions
"
26,250.0,100.0,200.0,300.0,340.0, Cheesy Spinach Pita Pocket, Cucumber Rolls with Cream Cheese, Pumpkin Bread, Chickpea Salad," Caprese Stuffed Portobello Mushrooms - 340kcals per portion, 2 portions, contains dairy
"
27,200.0,100.0,90.0,350.0,250.0, Vegan Banana Bread, Watermelon Fruit Pizza, Watermelon Gazpacho, Sweet potato and chickpea curry," Greek Fava - 250kcals per portion, 4 portions
"
28,350.0,90.0,190.0,370.0,400.0, Banana Nut Muffins, Rice Paper Rolls, Cucumber and Avocado Gazpacho," Lentil and Rice Burritos - 370kcals per portion, 2 portions, contains legumes, gluten (Mexico)
", Vegetable Udon Stir-Fry
29,400.0,120.0,240.0,600.0,160.0, Veggie Bagel Sandwich, Oatmeal Cookie, Veggie Sushi Rolls, Margherita Pizza," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
30,150.0,100.0,300.0,350.0,260.0, Fruit Smoothie, Edamame, Veggie Nachos," Vegetarian Paella - 350kcals per portion, 3 portions, no allergies, Origin"," Greek Style Green Beans - 260kcals per portion, 4 portions
"
31,350.0,100.0,280.0,450.0,210.0, Baked Oatmeal, Caprese Skewers, Mediterranean Hummus Wrap, Cauliflower Alfredo Pasta," Greek Briam - 210kcals per portion, 4 portions
"
32,250.0,80.0,200.0,220.0,350.0, Cucumber Sandwich, Hard-Boiled Eggs, Nachos with Salsa and Cheese, Greek zucchini fritters (kolokithokeftedes)," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
33,350.0,100.0,220.0,400.0,300.0, Coconut Chia Pudding, Berry Chia Detox Water, Indian Samosa Chaat, Quinoa Stuffed Bell Peppers," Quinoa and black bean stuffed peppers - 300 calories per portion, 4 portions, none
"
34,350.0,80.0,150.0,300.0,330.0, Banana Chia Pancakes, Kale Chips, Veggie Chips," Veggie Wrap - 300kcals per portion, 2 portions, no allergies
"," Lentil Burgers - 330kcals per portion, 4 portions, contains legumes
"
35,400.0,100.0,180.0,310.0,330.0, Veggie Breakfast Burrito, Fruit Salad, Stuffed Bell Peppers," Lentil Spinach Salad - 310kcals per portion, 2 portions, contains legumes
"," Lentil Burgers - 330kcals per portion, 4 portions, contains legumes
"
36,350.0,120.0,340.0,420.0,250.0, Ricotta Pancakes, Cottage Cheese with Sliced Tomato, Greek Feta and Olive Bread," Lentil and Vegetable Curry - 420kcals per portion, 2 portions, contains legumes, nightshade vegetables (India)
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
37,200.0,80.0,100.0,300.0,200.0, Papaya Boat with Lime, Fruit Salad, Watermelon Salad," Lentil Dal - 300kcals per portion, 4 portions, no allergies, Origin"," Caprese Stuffed Avocado - 200 calories/portion, 4 portions, contains dairy (Italy)
"
38,250.0,120.0,180.0,420.0,350.0, Stuffed French Toast, Almond Biscotti, Zucchini Pizza Bites," Lentil and Vegetable Curry - 420kcals per portion, 2 portions, contains legumes, nightshade vegetables (India)
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
39,200.0,120.0,100.0,450.0,420.0, Banana Pancakes, Fruit Salsa with Cinnamon Chips, Watermelon Salad, Greek Giant Beans," Caprese Grilled Cheese Sandwich - 420kcals per portion, 2 portions, contains dairy
"
40,200.0,120.0,100.0,450.0,350.0, Quinoa Veggie Breakfast Skillet, Sautéed Brussels Sprouts, Edamame, Greek Orzo Salad," Mexican Quinoa Salad - 350 calories/portion, 4 portions, contains cilantro (Mexico)
"
41,200.0,100.0,120.0,350.0,290.0, Quinoa Veggie Breakfast Skillet, Rice Cake with Hummus and Cucumber, Roasted Chickpeas, Falafel Wrap," Spinach and Feta Stuffed Mushrooms - 290kcals per portion, 4 portions, contains dairy
"
42,300.0,80.0,240.0,250.0,250.0, Blueberry Coconut Overnight Oats, Fresh Squeezed Orange Juice, Veggie Sushi Rolls," Greek Potato Salad - 250kcals per portion, 4 portions, no allergies, Origin"," Veggie Pho with Tofu - 250 calories/portion, 4 portions, Origin"
