,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,100.0,150.0,20.0,400.0, Quinoa Breakfast Bowl, Quinoa Energy Bites, Veggie Sushi Rolls, Moroccan Mint Tea," Vegetarian quinoa and black bean chili with cornbread (400 calories per portion, 4 portions, vegan-friendly, origin"
2,200.0,70.0,120.0,20.0,400.0, Caprese Avocado Toast, Fresh Fruit Salad, Cheese and Spinach Stuffed Mushrooms, Moroccan Mint Tea," Shrimp Scampi Linguine - 400 calories per portion, 4 portions, contains gluten (pasta), Origin"
3,380.0,50.0,200.0,20.0,300.0," Israeli breakfast salad with hard-boiled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Tomato and Avocado Bruschetta, Moroccan Mint Tea," Moroccan Vegan Chickpea Salad (300 calories/portion, 4 portions) - Morocco
"
4,200.0,100.0,720.0,20.0,220.0, Vegan French Toast - 200 calories per portion | 2 portions | Contains gluten | Origin, Tomato Basil Bruschetta, Vegan Black Bean Quesadillas, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
5,350.0,100.0,480.0,20.0,400.0, Vegan Kale and Potato Frittata - 350 calories per portion | 1 portion | None | Origin," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin", Spinach and Mushroom Quesadillas, Moroccan Mint Tea, Vegan Phyllo Pie
6,550.0,100.0,150.0,20.0,420.0, Vegan Breakfast Cobbler," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Sweet potato fries, Moroccan Mint Tea," Honey garlic chicken with broccoli and brown rice - 420 kcals per portion, 3 portions, contains gluten
"
7,400.0,100.0,160.0,20.0,400.0, Turkish Menemen with Feta Cheese, Baked Apple Chips, Chocolate Dipped Pretzels, Moroccan Mint Tea, Grilled Lemon Herb Chicken
8,400.0,100.0,200.0,20.0,290.0, Veggie Breakfast Burrito, Energy Balls, Mini Chicken and Vegetable Skewers, Moroccan Mint Tea, Vegan Lentil Tacos
9,350.0,100.0,120.0,20.0,450.0, Vegan Apricot and Almond Granola Bars - 350 calories per portion | 1 portion | Contains nuts | Origin, Cucumber and Tomato Salad, Caprese Salad Skewers, Moroccan Mint Tea, Roasted Vegetable Pasta
10,320.0,100.0,200.0,20.0,360.0," Yogurt pancakes with mixed berries (320 calories per portion, 2 portions, contains dairy, American origin)
", Baked Apple Chips, Mini Chicken Teriyaki Skewers, Moroccan Mint Tea, Vegan Chili
