,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,120.0,150.0,120.0,450.0," Veggie omelette with zucchini and goat cheese (350 calories per portion, 2 portions, contains dairy, French origin)
"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Deviled eggs," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Moroccan spiced chicken with couscous – 450 calories per portion, 3 portions (origin"
2,350.0,80.0,320.0,120.0,380.0," Cauliflower and feta frittata (350 calories per portion, 2 portions, contains dairy, Italian origin)
"," Chocolate Dipped Strawberries - 80 kcals per portion, 4 portions, contains dairy (USA)", Mini bagel pizzas," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Sweet and sour tofu with jasmine rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
3,350.0,80.0,180.0,120.0,350.0," Yogurt and fruit smoothie bowl (350 calories per portion, 2 portions, contains dairy, American origin)
"," Chocolate Dipped Strawberries - 80 kcals per portion, 4 portions, contains dairy (USA)", Strawberry banana smoothie," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegetarian sushi rolls with avocado and cucumber – 350 calories per portion, 4 portions, vegetarian-friendly (origin"
4,320.0,80.0,100.0,100.0,380.0," Yogurt pancakes with mixed berries (320 calories per portion, 2 portions, contains dairy, American origin)
"," Popcorn - 80 kcals per portion, 4 portions, gluten-free (World)", Chocolate-dipped strawberries, Israeli salad," Ratatouille pasta with Parmesan – 380 calories per portion, 3 portions, vegetarian-friendly (origin"
5,400.0,110.0,70.0,120.0,350.0," Huevos divorciados (Mexican-style eggs with red and green salsa) (400 calories per portion, 2 portions, nut-free, Mexican origin)
"," Edamame - 110 kcals per portion, 2 portions, contains soy (Japan)"," Cinnamon Apple Chips - 70 kcals per portion, 4 portions, gluten-free (USA)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Eggplant and tomato pasta – 350 calories per portion, 3 portions, vegetarian-friendly (origin"
6,250.0,70.0,90.0,120.0,250.0," Overnight oats with berries and almond milk (250 calories per portion, 2 portions, nut-free, American origin)
", Baked kale chips," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Black bean and corn salad with lime dressing – 250 calories per portion, 4 portions, vegan-friendly (origin"
7,160.0,80.0,230.0,120.0,450.0," Cream cheese stuffed strawberries (160 calories per portion, 2 portions, contains dairy, American origin)
", Tomato and cucumber salad," Baba Ganoush with Pita Bread - 230 kcals per portion, 4 portions, contains gluten (Middle East)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Portobello mushroom burgers with sweet potato fries – 450 calories per portion, 4 portions, vegetarian-friendly
"
8,450.0,110.0,160.0,120.0,320.0," Peanut butter and banana smoothie bowl (450 calories per portion, 2 portions, contains nuts, American origin)
"," Watermelon Gazpacho - 110 kcals per portion, 4 portions, gluten-free (Spain)"," Salsa Verde Hummus with Pita Chips - 160 kcals per portion, 4 portions, contains gluten (Various)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Ratatouille with crusty bread – 320 calories per portion, 4 portions, vegan-friendly (origin"
9,280.0,90.0,220.0,120.0,450.0," Avocado toast with smoked salmon (280 calories per portion, 2 portions, contains fish, American origin)
"," Caprese Skewers - 90 kcals per portion, 6 portions, contains dairy (Italy)"," Greek Yogurt Parfait - 220 kcals per portion, 2 portions, contains dairy (Greece)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Portobello mushroom burgers with sweet potato fries – 450 calories per portion, 4 portions, vegetarian-friendly
"
10,250.0,90.0,140.0,120.0,300.0," Overnight oats with berries and almond milk (250 calories per portion, 2 portions, nut-free, American origin)
"," Cucumber Sandwiches - 90 kcals per portion, 4 portions, contains gluten, dairy (USA)"," Cheese and Garlic Crackers - 140 kcals per portion, 3 portions, contains gluten, dairy (USA)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Moroccan chickpea stew – 300 calories per portion, 5 portions, vegan-friendly
"
11,350.0,90.0,250.0,100.0,380.0," Veggie fajita scramble with tofu (350 calories per portion, 2 portions, nut-free, Mexican origin)
"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)", Chicken and vegetable lettuce wraps, Israeli salad," Tofu and vegetable curry with basmati rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
12,380.0,100.0,160.0,120.0,400.0," Israeli breakfast salad with hard-boiled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
", Baked zucchini fries," Mini Pizza Bagels - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Stuffed bell peppers with quinoa and black beans – 400 calories per portion, 4 portions, vegan-friendly
"
13,380.0,100.0,120.0,120.0,350.0," Breakfast BLT with avocado (380 calories per portion, 2 portions, contains dairy, American origin)
", Chocolate-dipped strawberries, Roasted chickpeas," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegetable paella – 350 calories per portion, 4 portions, vegan-friendly (origin"
14,250.0,110.0,320.0,100.0,200.0," Blueberry almond muffins (250 calories per portion, 2 portions, contains nuts, American origin)
"," Zucchini Fritters - 110 kcals per portion, 5 portions, contains gluten, dairy (Various)", Avocado toast, Israeli salad," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
15,350.0,120.0,150.0,100.0,250.0," Quinoa breakfast bowl with fruits and seeds (350 calories per portion, 2 portions, nut-free, American origin)
", Apple slices with peanut butter, Mini spinach and feta quiches, Israeli salad," Borscht with sour cream – 250 calories per portion, 6 portions, contains dairy (origin"
16,400.0,120.0,280.0,100.0,380.0," Veggie-packed breakfast tacos with tofu scramble (400 calories per portion, 2 portions, nut-free, Mexican origin)
"," Cold Cucumber Soup - 120 kcals per portion, 4 portions, gluten-free (World)"," Mini Cheesecakes - 280 kcals per portion, 3 portions, contains dairy (USA)", Israeli salad," Teriyaki tofu with jasmine rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
17,350.0,80.0,90.0,120.0,380.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Mini Vegetable Spring Rolls - 80 kcals per portion, 8 portions, contains gluten, soy (China)"," Cauliflower Buffalo Wings - 90 kcals per portion, 4 portions, contains gluten (USA)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Teriyaki tofu with jasmine rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
18,380.0,120.0,150.0,100.0,350.0," Breakfast BLT with avocado (380 calories per portion, 2 portions, contains dairy, American origin)
"," Fruit Smoothie - 120 kcals per portion, 2 portions, gluten-free (USA)"," Hummus with Veggies - 150 kcals per portion, 3 portions, may contain sesame (Middle East)", Israeli salad," Tofu and vegetable stir-fry with noodles – 350 calories per portion, 2 portions, vegan-friendly
"
19,400.0,120.0,250.0,120.0,450.0," Veggie-packed breakfast tacos with tofu scramble (400 calories per portion, 2 portions, nut-free, Mexican origin)
"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Cheese Puffs - 250 kcals per portion, 2 portions, contains gluten, dairy (France)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Grilled shrimp skewers with quinoa and roasted vegetables – 450 calories per portion, 2 portions, contains shellfish
"
20,350.0,110.0,180.0,120.0,450.0," Cauliflower and feta frittata (350 calories per portion, 2 portions, contains dairy, Italian origin)
"," Watermelon Gazpacho - 110 kcals per portion, 4 portions, gluten-free (Spain)", Rice paper rolls with shrimp and vegetables," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Spinach and feta stuffed chicken breast – 450 calories per portion, 3 portions, contains poultry (origin"
21,300.0,90.0,160.0,120.0,380.0," Strawberry banana overnight oats (300 calories per portion, 2 portions, nut-free, American origin)
"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Peanut Butter Banana Sushi - 160 kcals per portion, 2 portions, contains peanuts (USA)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Teriyaki tofu with jasmine rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
22,400.0,80.0,120.0,120.0,320.0," Scrambled tofu with turmeric and veggies (400 calories per portion, 2 portions, nut-free, American origin)
", Veggie sticks with hummus," Brown Butter Almond Madeleines - 120 kcals per portion, 5 portions, contains gluten, tree nuts (France)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Mushroom and black bean tacos – 320 calories per portion, 4 portions, vegetarian-friendly
"
