,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,100.0,400.0,350.0, Vegan Cinnamon Rolls, Roasted Edamame," Vegan Mushroom Soup - 100 kcals per portion, 4 portions, no allergic warnings, origin", Spicy Tofu Tacos, Mediterranean Couscous Stuffed Bell Peppers
2,400.0,80.0,1000.0,300.0,200.0, Vegan Breakfast Tofu Wrap - 400 calories per portion | 1 portion | Contains soy | Origin, Fruit Salad, Vegan Banana Pancakes," Vegan Pho
Total calories per portion", Lentil and Vegetable Bolognese
3,300.0,100.0,160.0,350.0,300.0, Vegan Coconut Chia Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Energy Balls," Vegan Raspberry Bars - 160 kcals per portion, 4 portions, no allergic warnings, origin", Buddha Bowl with Tahini Dressing," Vegan Spinach and Mushroom Stuffed Shells - 300 calories per portion, 2 portions, may contain gluten"
4,750.0,80.0,800.0,300.0,250.0, Vegan Breakfast Sweet Potato Hash, Stuffed Dates, Vegan Teriyaki Tofu Bowl, Ratatouille," Jackfruit Tacos - 250 calories per portion, 4 portions, None, Mexico

"
5,400.0,100.0,200.0,200.0,350.0, Vegan Breakfast Casserole - 400 calories per portion | 1 portion | None | Origin, Fresh Fruit Salad," Vegan Pancakes with Maple Syrup - 200 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Zucchini Bread, Thai Green Curry
6,400.0,80.0,1000.0,300.0,350.0, Vegan Breakfast Nachos - 400 calories per portion | 1 portion | Contains soy | Origin, Fruit Salad, Vegan Banana Pancakes, Lentil and Quinoa Salad, Vegan Quiche
7,650.0,100.0,140.0,500.0,250.0, Vegan Breakfast Muesli, Chilled Gazpacho," Maple Roasted Nuts - 140 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Burger with Sweet Potato Fries," Mediterranean Quinoa Salad (250 calories/portion, 2 portions) - Greece
"
8,200.0,100.0,240.0,400.0,270.0, Vegan Scones - 200 calories per portion | 2 portions | Contains gluten | Origin, Fresh Fruit Salad, Vegan Roasted Cauliflower Bites, Chickpea and Vegetable Curry, Mexican Quinoa Bowl
9,300.0,100.0,240.0,400.0,350.0, Vegan Apple Cinnamon Quinoa - 300 calories per portion | 1 portion | None | Origin, Roasted Pumpkin Seeds, Vegan Stuffed Portobello Mushrooms," Moroccan Vegetable Tagine
Total calories per portion", Falafel Wrap
10,50.0,100.0,700.0,250.0,150.0, Vegan Breakfast Energy Balls, Roasted Pumpkin Seeds, Vegan Pad Thai, Vegan Korean Japchae, Veggie Stir-Fry
11,250.0,100.0,960.0,350.0,250.0, Vegan Cacao Banana Smoothie - 250 calories per portion | 2 portions | None | Origin, Chilled Gazpacho, Vegan Southwestern Black Bean Salad," Sweet Potato and Chickpea Curry
Total calories per portion", Stuffed Bell Peppers
12,300.0,80.0,600.0,350.0,350.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Fruit Salad, Vegan Mushroom Risotto, Vegan Meatball Pasta, Vegan Soba Noodle Salad
13,700.0,100.0,120.0,550.0,200.0, Acai Bowl, Roasted Pumpkin Seeds, Guacamole and Veggie Sticks," Spicy Thai Peanut Noodles
Total calories per portion"," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
14,150.0,90.0,720.0,400.0,350.0, Vegan Egg Muffins - 150 calories per portion | 2 portions | None | Origin, Stuffed Dates, Vegan Black Bean Quesadillas," Vegan Shepherd's Pie
Total calories per portion", Chana Masala
15,200.0,100.0,800.0,150.0,400.0, Vegan Breakfast Frittata, Toasted Coconut Chips, Vegan Teriyaki Tofu Bowl, Ratatouille," Vegan Shepherd's Pie (400 calories/portion, 4 portions) - United Kingdom
"
16,300.0,90.0,100.0,300.0,320.0, Vegan Chocolate Protein Shake - 300 calories per portion | 1 portion | None | Origin, Stuffed Dates," Vegan Spinach and Artichoke Dip - 100 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Acorn Squash Soup, Moroccan Vegetable Tagine
17,250.0,100.0,880.0,550.0,500.0, Vegan Breakfast Oats and Berries, Toasted Coconut Chips, Vegan Stuffed Dates with Nut Butter," Vegan Pad Thai
Total calories per portion"," Vegan Mexican Street Corn Salad - 500 calories per portion, 2 portions, may contain soy"
18,350.0,80.0,440.0,400.0,300.0, Vegan Blueberry Acai Smoothie Bowl - 350 calories per portion | 1 portion | None | Origin, Stuffed Dates, Vegan Roasted Red Pepper Dip, Vegan Tikka Masala, Quinoa Stuffed Mushrooms
19,400.0,100.0,80.0,350.0,250.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin, Chilled Gazpacho," Edamame Beans - 80 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and Mushroom Quesadillas, Cauliflower Buffalo Wings
20,450.0,80.0,120.0,300.0,400.0, Vegan Breakfast Pho, Stuffed Dates," Black Bean Salsa with Tortilla Chips - 120 kcals per portion, 4 portions, no allergic warnings, origin", Mexican Rice Bowl," Vegan Stuffed Cabbage Rolls - 400 calories per portion, 4 portions, None, Various
"
21,300.0,80.0,120.0,400.0,200.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Stuffed Dates," Vegan Oatmeal Raisin Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Korean Bimbimbap Rice Bowl, Lentil Spinach Soup
22,300.0,100.0,140.0,400.0,160.0, Vegan Blueberry Muffins - 300 calories per portion | 1 portion | Contains gluten | Origin, Baked Apple Chips," Vegan Greek Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan BBQ Jackfruit Sandwich
Total calories per portion"," Vegan Lentil and Vegetable Shepherd's Pie - 160 calories per portion, 4 portions, may contain gluten"
23,350.0,100.0,560.0,350.0,300.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Chilled Gazpacho, Vegan Pancakes, Vegan Tacos, Vegan Sloppy Joes
24,450.0,80.0,180.0,300.0,220.0, Vegan Blueberry Muffins, Stuffed Dates," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Spicy Eggplant Stir-Fry, Lentil and Vegetable Stir Fry
25,750.0,80.0,480.0,200.0,300.0, Vegan Breakfast Stuffed Mushrooms, Fruit Salad, Spinach and Mushroom Quesadillas, Vegan Lentil Soup, Quinoa and Lentil Salad
26,400.0,100.0,140.0,250.0,200.0, Vegan Spinach and Mushroom Breakfast Wrap - 400 calories per portion | 1 portion | None | Origin, Chilled Gazpacho," Vegan Sweet Potato Wedges - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Pumpkin Soup
Total calories per portion", Lentil and Vegetable Bolognese
27,250.0,90.0,150.0,350.0,350.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin, Quinoa Energy Bites," Vegan Ratatouille - 150 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Eggplant Rollatini," Vegan Chili - 350 calories per portion, 4 portions, None, United States
"
28,300.0,100.0,120.0,250.0,400.0, Vegan Breakfast Tiramisu, Toasted Coconut Chips, Vegan Mediterranean Hummus Bowl," Italian Minestrone Soup
Total calories per portion", Vegan Ramen
29,400.0,100.0,700.0,450.0,200.0, Vegan Breakfast Sushi - 400 calories per portion | 1 portion | Contains soy | Origin, Baked Apple Chips, Vegan Pad Thai," Vegan Mac and Cheese
Total calories per portion"," Italian Caprese Salad (200 calories/portion, 2 portions) - Italy
"
30,450.0,100.0,120.0,350.0,210.0, Quinoa Breakfast Bowl, Chilled Gazpacho," Vegan Cucumber Sushi Rolls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea Salad Sandwich, Quinoa Stuffed Portobello Mushrooms
31,350.0,90.0,120.0,400.0,350.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin, Stuffed Dates," Chia Pudding with Fresh Berries - 120 kcals per portion, 4 portions, no allergic warnings, origin", Quinoa and Black Bean Burrito Bowl," Vegan Cauliflower Fried Rice - 350 calories per portion, 4 portions, None, China
"
