,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,300.0,400.0,350.0,300.0, Strawberry Banana Pancakes, Chia Seed Pancakes, Sourdough Biscuits and Mushroom Gravy, Vegan Protein Pancakes, Idli and Sambar
2,400.0,300.0,400.0,350.0,300.0, Vegetarian Breakfast Strata, Irish Soda Bread, Veggie Biscuits and Gravy, Ricotta Pancakes, Banana Pancakes
3,350.0,450.0,300.0,350.0,250.0, Cranberry Orange Muffins, Nutella Stuffed French Toast, Irish Soda Bread, Veggie Breakfast Wrap, Sourdough Toast with Almond Butter
4,300.0,300.0,400.0,250.0,350.0, Feta and Spinach Muffins, Pancakes with Maple Syrup, Vegetarian Breakfast Strata, Mozzarella and Tomato Bruschetta, Tomato and Basil Bruschetta Scramble
5,250.0,400.0,250.0,350.0,350.0, Mozzarella and Tomato Bruschetta, Vegetarian Breakfast Strata, Cucumber Sandwich, Tomato and Basil Bruschetta Scramble, Cranberry Orange Muffins
6,350.0,250.0,300.0,250.0,350.0, Bread Upma, Tomato Basil Bruschetta, Banana Oat Pancakes, Sourdough Toast with Almond Butter, Bread Upma
7,300.0,400.0,250.0,250.0,350.0, Pancakes with Maple Syrup, Vegan Chocolate Waffles, Ragi (Finger Millet) Pancakes, Sourdough Toast with Almond Butter, Apple Cinnamon Muffins
8,400.0,400.0,350.0,250.0,250.0, Vegetarian Breakfast Strata, Veggie Breakfast Burrito, Veggie Breakfast Strudel, Mozzarella and Tomato Bruschetta, Banana Bread
9,400.0,350.0,350.0,350.0,350.0, Strawberry Banana Pancakes, Cranberry Orange Muffins, Chocolate Chip Muffins, Bread Upma, Lemon Poppy Seed Pancakes
10,350.0,300.0,250.0,400.0,250.0, Veggie Breakfast Wrap, Feta and Spinach Muffins, Sourdough Toast with Almond Butter, Veggie Breakfast Pizza Rolls, Ragi (Finger Millet) Pancakes
11,350.0,400.0,350.0,350.0,350.0, Vegan Breakfast Burrito, Mushroom Breakfast Burrito, Vegan Breakfast Tacos, Blueberry Muffins, Veggie Breakfast Wrap
12,350.0,350.0,350.0,400.0,350.0, Bread Upma, Tomato and Basil Bruschetta Scramble, Zucchini and Parmesan Muffins, Veggie Biscuits and Gravy, Banana Walnut Bread
13,350.0,400.0,250.0,250.0,350.0, Veggie Breakfast Wrap, Nutella Banana Croissant, Ragi (Finger Millet) Pancakes, Tomato Basil Bruschetta, Banana Walnut Bread
14,350.0,400.0,400.0,350.0,350.0, Chocolate Chip Muffins, Vegetarian Breakfast Strata, Veggie Bagel Sandwich, Chocolate Chip Muffins, Tomato and Basil Bruschetta Scramble
15,250.0,350.0,250.0,400.0,300.0, Tomato Basil Bruschetta, Vegan Protein Pancakes, Banana Bread, French Toast, Banana Pancakes
16,350.0,250.0,350.0,400.0,350.0, Banana Walnut Bread, Cucumber Sandwich, Vegan Protein Pancakes, Almond Croissant, Ricotta Pancakes
17,350.0,350.0,400.0,250.0,350.0, Banana Nut Muffins, Cranberry Orange Muffins, Veggie Breakfast Burrito, Mozzarella and Tomato Bruschetta, Ricotta Pancakes
18,350.0,350.0,400.0,250.0,300.0, Tomato and Basil Bruschetta Scramble, Veggie Breakfast Wrap, Mexican Sopes, Sourdough Toast with Almond Butter, Vegan Blueberry Muffins
19,400.0,350.0,350.0,350.0,250.0, Sourdough Biscuits and Mushroom Gravy, Tomato and Basil Bruschetta Scramble, Chocolate Chip Muffins, Veggie Breakfast Strudel, Mozzarella and Tomato Bruschetta
20,400.0,400.0,400.0,300.0,350.0, Veggie Breakfast Pizza, Veggie Biscuits and Gravy, Veggie Breakfast Burrito, Banana Pancakes, Bread Upma
21,400.0,250.0,250.0,250.0,250.0, Mexican Sopes, Mozzarella and Tomato Bruschetta, Sourdough Toast with Almond Butter, Ragi (Finger Millet) Pancakes, Banana Bread
22,250.0,400.0,350.0,300.0,350.0, Cucumber Sandwich, Almond Croissant, Bread Upma, Vegan Blueberry Muffins, Zucchini and Parmesan Muffins
23,350.0,400.0,400.0,400.0,350.0, Vegan Breakfast Burrito, Almond Croissant, Strawberry Banana Pancakes, French Toast, Chocolate Chip Muffins
24,400.0,350.0,350.0,400.0,350.0, Veggie Breakfast Pizza, Cranberry Orange Muffins, Chocolate Chip Muffins, Veggie Biscuits and Gravy, Veggie Breakfast Wrap
25,350.0,350.0,250.0,350.0,300.0, Vegan Protein Pancakes, Chocolate Chip Muffins, Vegan Banana Bread, Chocolate Chip Muffins, Vegan Blueberry Muffins
26,400.0,350.0,250.0,300.0,250.0, Vegetarian Breakfast Strata, Banana Walnut Bread, Banana Bread, Pancakes with Maple Syrup, Banana Bread
