,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,170.0,160.0,100.0,400.0," Israeli-style salad with scrambled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
", Mozzarella and cherry tomato skewers," Chia Seed Pudding - 160 kcals per portion, 4 portions, gluten-free (Various)", Israeli salad," Vegan tikka masala with basmati rice – 400 calories per portion, 4 portions, vegan-friendly (origin"
2,350.0,180.0,120.0,150.0,400.0," Apple cinnamon quinoa breakfast bowl (350 calories per portion, 2 portions, nut-free, American origin)
", Mini vegetable quinoa bites, Frozen yogurt bark with berries," Greek Salad - 150 calories
   - Total portions"," Greek salad with grilled shrimp – 400 calories per portion, 3 portions, contains shellfish (origin"
3,400.0,160.0,200.0,150.0,400.0," Breakfast tacos with egg, cheese, and salsa (400 calories per portion, 2 portions, contains dairy, Mexican origin)
"," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)", Baked pita chips with tzatziki," Greek Salad - 150 calories
   - Total portions"," Vegetable pad Thai with tofu – 400 calories per portion, 4 portions, vegan-friendly (origin"
4,320.0,180.0,160.0,150.0,420.0," Zucchini and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, Italian origin)
"," Chocolate Banana Bread - 180 kcals per portion, 6 portions, contains gluten (USA)"," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)"," Lentil Soup - 150 calories
   - Total portions"," Chicken and vegetable stir-fry – 420 calories per portion, 2 portions
"
5,400.0,90.0,320.0,100.0,320.0," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
"," Baked Apple Chips - 90 kcals per portion, 4 portions, gluten-free (USA)"," Nachos with Guacamole - 320 kcals per portion, 2 portions, contains dairy (Mexico)", Israeli salad," Sesame ginger tofu with broccoli – 320 calories per portion, 3 portions, vegan-friendly
"
6,400.0,180.0,230.0,100.0,350.0," Shakshuka with crusty bread (400 calories per portion, 2 portions, contains eggs, Israeli origin)
", Watermelon and feta salad," Matzah Ball Soup - 230 kcals per portion, 3 portions, contains gluten (Jewish)", Israeli salad," Tofu and vegetable stir-fry with noodles – 350 calories per portion, 2 portions, vegan-friendly
"
7,320.0,150.0,250.0,150.0,350.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
"," Hummus with Veggies - 150 kcals per portion, 3 portions, may contain sesame (Middle East)", Coconut chia pudding," Greek Salad - 150 calories
   - Total portions"," Tofu and vegetable stir-fry with noodles – 350 calories per portion, 2 portions, vegan-friendly
"
8,320.0,120.0,280.0,150.0,320.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
"," Cold Cucumber Soup - 120 kcals per portion, 4 portions, gluten-free (World)", Mini chicken lettuce wraps," Lentil Soup - 150 calories
   - Total portions"," Mushroom and black bean tacos – 320 calories per portion, 4 portions, vegetarian-friendly
"
9,380.0,70.0,90.0,150.0,250.0," Ricotta and berry-stuffed French toast (380 calories per portion, 2 portions, contains dairy, American origin)
", Baked kale chips," Baked Apple Chips - 90 kcals per portion, 4 portions, gluten-free (USA)"," Greek Salad - 150 calories
   - Total portions"," Borscht with sour cream – 250 calories per portion, 6 portions, contains dairy (origin"
10,320.0,120.0,160.0,120.0,350.0," Vegetable and cheese strata (320 calories per portion, 2 portions, contains dairy, American origin)
"," Fruit Smoothie - 120 kcals per portion, 2 portions, gluten-free (USA)", Baked apples with cinnamon and honey," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Mediterranean quinoa salad – 350 calories per portion, 4 portions, vegan-friendly (origin"
11,320.0,180.0,200.0,150.0,250.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
"," Bruschetta - 180 kcals per portion, 4 portions, contains gluten (Italy)", Greek yogurt and honey with walnuts," Greek Salad - 150 calories
   - Total portions"," Borscht with sour cream – 250 calories per portion, 6 portions, contains dairy (origin"
12,400.0,80.0,150.0,150.0,400.0," Quiche Lorraine with spinach (400 calories per portion, 2 portions, contains dairy, French origin)
"," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)", Stuffed mushrooms," Lentil Soup - 150 calories
   - Total portions"," Stuffed bell peppers with quinoa and black beans – 400 calories per portion, 4 portions, vegan-friendly
"
13,250.0,100.0,200.0,100.0,380.0," Chia seed pudding with coconut milk (250 calories per portion, 2 portions, nut-free, American origin)
", Baked zucchini fries," Poppy Seed Muffins - 200 kcals per portion, 3 portions, contains gluten (Various)", Israeli salad," Tofu and vegetable curry with basmati rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
14,350.0,180.0,160.0,150.0,380.0," Veggie omelette with sweet potato hash (350 calories per portion, 2 portions, nut-free, American origin)
"," Bruschetta - 180 kcals per portion, 4 portions, contains gluten (Italy)"," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)"," Potato Latkes - 150 calories
   - Total portions"," Asian vegetable stir-fry with noodles – 380 calories per portion, 2 portions, vegan-friendly
"
15,350.0,90.0,250.0,150.0,400.0," Quinoa breakfast bowl with fruits and seeds (350 calories per portion, 2 portions, nut-free, American origin)
", Zucchini fritters, Lentil soup," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Chili-lime grilled fish tacos – 400 calories per portion, 4 portions, contains fish (origin"
16,350.0,170.0,80.0,120.0,400.0," Lemon poppy seed pancakes (350 calories per portion, 2 portions, nut-free, American origin)
", Mozzarella and cherry tomato skewers," Mini Vegetable Spring Rolls - 80 kcals per portion, 8 portions, contains gluten, soy (China)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Stuffed acorn squash with quinoa and cranberries – 400 calories per portion, 4 portions, vegan-friendly
"
17,280.0,180.0,140.0,100.0,320.0," Oatmeal with apples and cinnamon (280 calories per portion, 2 portions, nut-free, American origin)
"," Bruschetta - 180 kcals per portion, 4 portions, contains gluten (Italy)"," Cheese and Garlic Crackers - 140 kcals per portion, 3 portions, contains gluten, dairy (USA)", Israeli salad," Vegan lasagna with cashew cheese – 320 calories per portion, 4 portions, vegan-friendly (origin"
18,400.0,140.0,320.0,100.0,200.0," Mediterranean-style omelette with olives and feta (400 calories per portion, 2 portions, contains dairy, Greek origin)
"," Roasted Chickpeas - 140 kcals per portion, 4 portions, gluten-free (World)", Mini bagel pizzas, Israeli salad," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
19,450.0,160.0,140.0,150.0,400.0," Peanut butter and banana smoothie bowl (450 calories per portion, 2 portions, contains nuts, American origin)
"," Peanut Butter Banana Sushi - 160 kcals per portion, 2 portions, contains peanuts (USA)"," Roasted Chickpeas - 140 kcals per portion, 4 portions, gluten-free (World)"," Greek Salad - 150 calories
   - Total portions"," Vegetable biryani with raita – 400 calories per portion, 4 portions, vegan-friendly (origin"
20,380.0,180.0,150.0,150.0,350.0," Pancake roll-ups filled with peanut butter and bananas (380 calories per portion, 2 portions, contains nuts, American origin)
"," Stuffed Grape Leaves - 180 kcals per portion, 5 portions, may contain nuts (Middle East)", Deviled eggs," Potato Latkes - 150 calories
   - Total portions"," Sweet potato and black bean enchiladas – 350 calories per portion, 4 portions, vegetarian-friendly (origin"
21,400.0,140.0,200.0,120.0,280.0," Shakshuka with crusty bread (400 calories per portion, 2 portions, contains eggs, Israeli origin)
"," Apple Slices with Almond Butter - 140 kcals per portion, 2 portions, contains tree nuts (USA)", Stuffed dates with goat cheese and walnuts," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Herb-crusted baked tofu with roasted vegetables – 280 calories per portion, 3 portions, vegan-friendly
"
22,400.0,90.0,150.0,150.0,200.0," Caprese breakfast sandwich with avocado (400 calories per portion, 2 portions, contains dairy, Italian origin)
"," Cauliflower Buffalo Wings - 90 kcals per portion, 4 portions, contains gluten (USA)", Steamed edamame," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
23,320.0,90.0,160.0,100.0,400.0," Baked eggs with spinach and mushrooms (320 calories per portion, 2 portions, nut-free, American origin)
"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Rice Cakes with Avocado - 160 kcals per portion, 3 portions, gluten-free (Various)", Israeli salad," Spaghetti aglio e olio – 400 calories per portion, 3 portions, vegan-friendly (origin"
24,250.0,170.0,150.0,150.0,380.0," Almond joy smoothie (250 calories per portion, 2 portions, contains nuts, American origin)
"," Egg Salad Lettuce Wraps - 170 kcals per portion, 3 portions, contains egg (USA)", Caprese skewers," Potato Latkes - 150 calories
   - Total portions"," Teriyaki tofu with jasmine rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
25,350.0,80.0,230.0,150.0,400.0," Yogurt and granola parfait with mixed berries (350 calories per portion, 2 portions, contains dairy, American origin)
", Veggie sticks with hummus," Baba Ganoush with Pita Bread - 230 kcals per portion, 4 portions, contains gluten (Middle East)"," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Herb-crusted baked fish with roasted vegetables – 400 calories per portion, 2 portions, contains fish
"
26,200.0,150.0,250.0,150.0,350.0," Spinach and feta breakfast muffins (200 calories per portion, 2 portions, contains dairy, Greek origin)
", Steamed edamame," Lentil Soup - 250 kcals per portion, 2 portions, gluten-free (Mediterranean)", Butternut squash soup," Sweet potato and black bean enchiladas – 350 calories per portion, 4 portions, vegetarian-friendly (origin"
27,350.0,180.0,160.0,150.0,250.0," Lemon poppy seed pancakes (350 calories per portion, 2 portions, nut-free, American origin)
"," Chocolate Banana Bread - 180 kcals per portion, 6 portions, contains gluten (USA)", Baked apples with cinnamon and honey," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Spinach and feta stuffed mushrooms – 250 calories per portion, 4 portions, vegetarian-friendly
"
28,380.0,180.0,220.0,150.0,300.0," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
", Mini vegetable quinoa bites," Halva - 220 kcals per portion, 6 portions, may contain sesame (Middle East)"," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Caprese salad with balsamic glaze – 300 calories per portion, 4 portions, contains dairy (origin"
29,450.0,100.0,100.0,120.0,400.0," Peanut butter and banana smoothie bowl (450 calories per portion, 2 portions, contains nuts, American origin)
", Israeli salad, Chocolate-dipped strawberries," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Spaghetti aglio e olio – 400 calories per portion, 3 portions, vegan-friendly (origin"
30,320.0,140.0,120.0,150.0,350.0," Egg and cheese breakfast roll-ups (320 calories per portion, 2 portions, contains dairy, American origin)
"," Apple Slices with Almond Butter - 140 kcals per portion, 2 portions, contains tree nuts (USA)", Roasted chickpeas," Greek Salad - 150 calories
   - Total portions"," Eggplant and tomato pasta – 350 calories per portion, 3 portions, vegetarian-friendly (origin"
