,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,750.0,750.0,650.0,750.0,400.0, Tofu Pad Thai, Tofu Pad Thai, Veggie Pad Thai, Tofu Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
2,750.0,480.0,750.0,750.0,400.0, Tofu Pad Thai," Vegetarian Pad Thai - 480kcals per portion, 2 portions, contains peanuts (Thailand)
", Tofu Pad Thai, Tofu Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
3,650.0,400.0,480.0,750.0,400.0, Veggie Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"," Vegetarian Pad Thai - 480kcals per portion, 2 portions, contains peanuts (Thailand)
", Tofu Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
4,650.0,400.0,400.0,650.0,400.0, Veggie Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
", Veggie Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
5,400.0,480.0,650.0,650.0,400.0," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"," Vegetarian Pad Thai - 480kcals per portion, 2 portions, contains peanuts (Thailand)
", Veggie Pad Thai, Veggie Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
6,650.0,650.0,480.0,650.0,400.0, Veggie Pad Thai, Veggie Pad Thai," Vegetarian Pad Thai - 480kcals per portion, 2 portions, contains peanuts (Thailand)
", Veggie Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
7,750.0,650.0,650.0,650.0,400.0, Tofu Pad Thai, Veggie Pad Thai, Veggie Pad Thai, Veggie Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
8,480.0,650.0,480.0,650.0,400.0," Vegetarian Pad Thai - 480kcals per portion, 2 portions, contains peanuts (Thailand)
", Veggie Pad Thai," Vegetarian Pad Thai - 480kcals per portion, 2 portions, contains peanuts (Thailand)
", Veggie Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
9,650.0,480.0,750.0,750.0,400.0, Veggie Pad Thai," Vegetarian Pad Thai - 480kcals per portion, 2 portions, contains peanuts (Thailand)
", Tofu Pad Thai, Tofu Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
10,750.0,400.0,400.0,750.0,400.0, Tofu Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
", Tofu Pad Thai," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
