,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,60.0,200.0,20.0,210.0, Vegan French Toast, Cucumber and tomato salad, Baked Falafel, Moroccan Mint Tea, Quinoa Stuffed Portobello Mushrooms
2,250.0,50.0,250.0,20.0,250.0," Smoothie bowl - 250 calories per portion, 1 portion, may contain nuts, origin", Baked Apple Chips - Approx, Guacamole with Tortilla Chips, Moroccan Mint Tea," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)

Please note that these calorie estimates are approximate and can vary based on specific ingredients and portion sizes used"
3,400.0,70.0,200.0,20.0,200.0," Scandinavian-style open-faced sandwich (400 calories per portion, 2 portions, nut-free, Scandinavian origin)
", Kale chips, Mini Crab Cakes, Moroccan Mint Tea," Butternut Squash Soup - 200 calories per portion, 4 portions, None, Various
"
4,250.0,50.0,170.0,20.0,182.0, Vegan Tofu Benedict, Baked Apple Chips - Approx, Corn tortilla chips with salsa, Moroccan Mint Tea, Carrot and Ginger Soup
5,450.0,60.0,90.0,20.0,250.0," Egyptian hawawshi (meat-stuffed pita) with ground beef and spices (450kcals per portion, 2 portions, origin", Fruit Salad - Approx," Roasted Brussels Sprouts with Balsamic Glaze - 90 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
6,300.0,60.0,320.0,20.0,220.0, Chia Seed Pudding Parfait, Fruit Salad - Approx, Avocado toast, Moroccan Mint Tea, Chickpea and Vegetable Stir Fry
7,400.0,60.0,180.0,20.0,200.0," Turkish acma (soft bread rings) with feta cheese - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Cucumber and tomato salad," Blueberry Oatmeal Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Spanish Gazpacho
8,300.0,50.0,180.0,20.0,250.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Shrimp Summer Rolls, Moroccan Mint Tea, Lentil Tacos
9,350.0,50.0,280.0,20.0,250.0," Pakistani spicy omelet with onions and green chilies (350kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Baked Tofu Nuggets, Moroccan Mint Tea," Mushroom and Spinach Quesadillas - 250 calories/portion, 4 portions, Origin"
10,400.0,70.0,400.0,20.0,160.0, Mexican Sopes, Fresh Fruit Salad, Vegan Japanese Mochi, Moroccan Mint Tea," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
