,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,180.0,140.0,120.0,180.0, Quinoa Breakfast Bowl, Fresh Berry Parfait, Greek Yogurt with Apple and Cinnamon," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Salad - 180kcals per portion, 4 portions, contains dairy (Italy)
"
2,250.0,120.0,180.0,120.0,150.0, Vegan Banana Muffins, Cottage Cheese with Sliced Tomato, Crispy Tofu Bites," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Caprese Salad
3,200.0,180.0,280.0,120.0,220.0, Veggie Breakfast Wrap with Tofu Scramble, Zucchini Fritters, Quinoa Stuffed Bell Peppers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Salad - 220kcals per portion, 4 portions, contains dairy
"
4,200.0,180.0,120.0,120.0,200.0, Quinoa Veggie Breakfast Skillet, Cereal Bars, Hummus with Carrot Sticks," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
5,250.0,150.0,300.0,120.0,200.0, Vegan Breakfast Enchiladas, Pumpkin Energy Balls, Vegetable Fajitas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Falafel with tahini sauce - 200 calories per portion, 4 portions, contains gluten (Middle East)
"
6,250.0,250.0,140.0,120.0,200.0, Mozzarella and Tomato Bruschetta, Veggie Omelette, Roasted Red Pepper Dip with Pita Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
7,350.0,180.0,320.0,120.0,210.0, Chocolate Peanut Butter Overnight Oats, Spinach and Feta Muffins, Greek Spanakopita," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Stuffed Tomatoes - 210kcals per portion, 4 portions
"
8,250.0,240.0,250.0,120.0,200.0, Vegan Banana Muffins, Spinach and Feta Puffs, Stuffed Bell Peppers with Quinoa," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Goat Cheese Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
9,250.0,180.0,100.0,120.0,200.0, Vegan Breakfast BLT Sandwich, Cereal Bars, Chocolate Covered Strawberries," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
10,250.0,350.0,120.0,120.0,200.0, Vegan Protein Pancakes, Veggie Sausage Breakfast Skillet, Yogurt Covered Strawberries," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Baked Falafel - 200 calories/portion, 4 portions, Origin"
11,300.0,180.0,160.0,120.0,200.0, Quinoa Porridge, Baked Oatmeal Cups, Pita Bread and Hummus," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Eggplant and Tomato Gratin - 200 calories/portion, 2 portions, Origin"
12,350.0,200.0,210.0,120.0,200.0, Chocolate Banana Smoothie Bowl, Homemade Granola Bars, Tomato and Mozzarella Bruschetta," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Roasted Vegetable Frittata - 200 calories/portion, 4 portions, Origin"
13,250.0,150.0,150.0,120.0,210.0, Yogurt Parfait, Kale and Sautéed Mushrooms on Toast, Black Bean and Corn Salsa," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Briam - 210kcals per portion, 4 portions
"
14,200.0,250.0,100.0,120.0,200.0, Spinach and Feta Stuffed Portobello Mushrooms, Banana Bread, Fruit Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Eggplant and Tomato Gratin - 200 calories/portion, 2 portions, Origin"
15,250.0,150.0,220.0,120.0,200.0, Vegan Cinnamon Rolls, Pear with Goat Cheese, Cheese and Spinach Triangles," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Salad - 200 calories/portion, 4 portions, contains dairy (Italy)
"
16,250.0,150.0,200.0,120.0,100.0, Vegan Pancake Skewers, Baked Sweet Potato Wedges, Almond Butter Banana Toast," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
17,300.0,150.0,100.0,120.0,180.0, Saffron Yogurt with Fruit, Green Smoothie, Baked Zucchini Fries," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille - 180kcals per portion, 4 portions, vegan (France)
"
18,300.0,250.0,200.0,120.0,200.0, Avocado Toast, Veggie Noodle Soup, Bruschetta with Mozzarella and Basil," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Baked Falafel - 200 calories/portion, 4 portions, Origin"
19,150.0,180.0,160.0,120.0,210.0, Fruit Smoothie, Greek Salad, Pita Bread and Hummus," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Stuffed Tomatoes - 210kcals per portion, 4 portions
"
