,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,120.0,20.0,300.0," Veggie-packed breakfast tacos with tofu scramble (400 calories per portion, 2 portions, nut-free, Mexican origin)
"," Mint Yogurt Dip with Vegetable Sticks - 100kcals per portion, 2 portions
    Origin"," Vegan Coconut Lime Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Quinoa Stuffed Bell Peppers
2,200.0,100.0,100.0,20.0,300.0, Spinach Tomato Feta Frittata," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Cinnamon Sugar Popcorn, Moroccan Mint Tea," Peanut Noodle Salad - 300 calories per portion, 4 portions, Peanuts, Various
"
3,200.0,80.0,280.0,20.0,200.0, Overnight Oats - 200 calories per portion | 2 portions | Contains gluten | Origin, Apple with Cinnamon, Cheese and Tomato Nachos, Moroccan Mint Tea, Vegan Caprese Salad
4,400.0,100.0,150.0,20.0,300.0," Mexican molletes with refried beans, cheese, and salsa (400kcals per portion, 2 portions, origin", Rice Cake with Hummus and Cucumber, Strawberry Bruschetta, Moroccan Mint Tea, Lentil Curry with Rice
5,300.0,120.0,120.0,20.0,300.0, Chia Seed Pancakes, Roasted Brussels Sprouts, Stuffed Dates with Almonds, Moroccan Mint Tea," Vegetarian lasagna with garden salad - 300 kcals per portion, 6 portions, vegetarian, contains gluten
"
6,350.0,100.0,150.0,20.0,300.0, Broccoli and Cheese Frittata, Toasted Coconut Chips, Baked Parmesan Zucchini Fries, Moroccan Mint Tea," Ratatouille - 300 calories/portion, 4 portions, Origin"
7,400.0,100.0,160.0,20.0,250.0," Huevos rancheros - 400 calories per portion, 2 portions, contains gluten, origin", Tomato Basil Bruschetta, Zucchini Fritters, Moroccan Mint Tea, Vegan Sushi Bowl
8,400.0,120.0,280.0,20.0,300.0, Almond Croissant, Cottage Cheese with Tomato, Quinoa Stuffed Bell Peppers, Moroccan Mint Tea," Lentil Walnut Tacos - 300 calories per portion, 4 portions, Nuts, Mexico
"
9,400.0,100.0,200.0,20.0,200.0, Breakfast Bibimbap, Roasted Beetroot Chips, Baked Mini Samosas, Moroccan Mint Tea," Caprese Salad - 200 calories per portion, 4 portions, contains dairy (cheese), Origin"
10,300.0,120.0,180.0,20.0,180.0, Apple Cinnamon Porridge, Bruschetta with Tomato and Basil, Veggie Fritters, Moroccan Mint Tea, Mediterranean Salad
