,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,120.0,250.0,20.0,150.0," British eggy soldiers - 250 calories per portion, 1 portion, contains gluten, origin", Hummus with Veggies, Mini Beef Sliders, Moroccan Mint Tea," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
2,300.0,120.0,320.0,20.0,220.0, Classic Peanut Butter and Jelly, Cinnamon Sugar Pretzels, Spicy Peanut Noodles, Moroccan Mint Tea, Quinoa and Vegetable Stir Fry
3,300.0,100.0,170.0,20.0,288.0, Vegan Breakfast Burrito, Greek Salad Skewers, Mexican Bean Dip, Moroccan Mint Tea, Chickpea and Vegetable Curry
4,200.0,100.0,280.0,20.0,300.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin"," Mujadara - 280 kcals per portion, 3 portions, contains gluten (Lebanon)", Moroccan Mint Tea," Vegetable stir-fry with tofu (300 calories per portion, 3 portions, contains soy, origin"
5,200.0,90.0,120.0,20.0,250.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Fruit Salad, Hummus Stuffed Mini Peppers, Moroccan Mint Tea," Spinach and Artichoke Stuffed Portobello Mushrooms - 250 calories/portion, 4 portions, contains dairy (Italy)
"
6,200.0,100.0,140.0,20.0,200.0, Avocado Toast, Toasted Coconut Chips, Blueberry Oat Bars, Moroccan Mint Tea," Spinach and Goat Cheese Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
7,200.0,120.0,120.0,20.0,300.0, Papaya Boat with Lime, Greek yogurt with honey, Cucumber Avocado Rolls, Moroccan Mint Tea, Mediterranean Lentil Salad
8,300.0,100.0,180.0,20.0,280.0, Vegan Breakfast Burrito, Watermelon Fruit Pizza, Crispy Tofu Bites, Moroccan Mint Tea," Sweet Potato Curry - 280 calories per portion, 4 portions, None, India
"
9,300.0,100.0,140.0,20.0,300.0," Baked beans on toast - 300 calories per portion, 2 portions, contains gluten, origin", Kiwi and Strawberry Smoothie, Baked sweet potato fries, Moroccan Mint Tea, Greek Spanakopita Triangles
10,300.0,80.0,250.0,20.0,300.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Hard-Boiled Eggs, Hummus and Veggie Wrap, Moroccan Mint Tea," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
11,200.0,120.0,90.0,20.0,300.0, Quinoa Breakfast Burrito, Roasted Brussels Sprouts, Mini Quiche, Moroccan Mint Tea, Lentil Curry with Rice
12,250.0,90.0,140.0,20.0,250.0, Vegan Breakfast Quesadillas, Rice Paper Rolls," Cauliflower Buffalo Wings - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
13,300.0,100.0,250.0,20.0,180.0, Idli and Sambar, Cucumber Rolls with Cream Cheese, Zucchini and ricotta crostini, Moroccan Mint Tea, Ratatouille
14,150.0,100.0,150.0,20.0,250.0, Vegan Pancakes, Stuffed Dates - Approx, Caprese Skewers, Moroccan Mint Tea," Moroccan Lentil Salad - 250 calories per portion, 4 portions, None, Morocco
"
15,250.0,100.0,220.0,20.0,300.0, Tropical Smoothie, Baked Apple Chips, Quinoa Salad, Moroccan Mint Tea," Moroccan Lentil Burgers (300 calories/portion, 4 portions) - Morocco
"
16,300.0,120.0,480.0,20.0,300.0, Tofu Scramble, Sautéed Brussels Sprouts, Vegan Lentil Burgers, Moroccan Mint Tea, Mediterranean Stuffed Eggplant
17,300.0,100.0,200.0,20.0,300.0," Acai bowl - 300 calories per portion, 1 portion, no allergic warnings, origin", Roasted Almonds, Spinach Dip, Moroccan Mint Tea," Greek Stuffed Eggplant - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
18,250.0,120.0,100.0,20.0,250.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin, Veggie Fritters, Chocolate Banana Smoothie, Moroccan Mint Tea, Mushroom Risotto
19,300.0,100.0,250.0,20.0,300.0," Scrambled eggs with spinach and feta cheese (300kcals per portion, 2 portions, dairy allergies, origin", Vegetable Crudité with Hummus, Thai Peanut Noodle Salad, Moroccan Mint Tea, Vegan Sloppy Joes
20,300.0,80.0,90.0,20.0,300.0, Sweet Potato Hash Browns, Mango with Chili Powder," Caprese Skewers with Vegan Mozzarella - 90 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
21,300.0,100.0,80.0,20.0,300.0, Pancakes with Maple Syrup, Stuffed Dates - Approx," Baked Kale Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Ratatouille-Stuffed Peppers
22,300.0,120.0,120.0,20.0,300.0, Vegan Apple Cinnamon Quinoa - 300 calories per portion | 1 portion | None | Origin, Kale Chips, Roasted chickpeas, Moroccan Mint Tea, Chickpea Tikka Masala
23,200.0,80.0,220.0,20.0,300.0, Spinach and Mushroom Breakfast Tacos, Apple with Cinnamon, Cheese and Spinach Triangles, Moroccan Mint Tea," Black Bean Enchiladas - 300 calories/portion, 4 portions, Origin"
24,200.0,120.0,100.0,20.0,300.0, Vegan Breakfast Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Cinnamon Sugar Pretzels," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
