,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,100.0,410.0,300.0, Strawberry Banana Pancakes, Greek Salad Skewers, Stuffed Mushrooms," Greek Style Orzo with Roasted Vegetables - 410kcals per portion, 2 portions, contains gluten, dairy (Greece)
"," Greek Zucchini Fritters - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
2,300.0,100.0,160.0,400.0,280.0, Chia Seed Smoothie, Caprese Skewers, Quinoa Stuffed Tomatoes," Roasted Vegetable Sandwich - 400kcals per portion, 2 portions, no allergies
"," Chickpea Salad - 280kcals per portion, 4 portions, gluten-free (Middle East)
"
3,300.0,100.0,130.0,180.0,350.0, Avocado Toast, Frozen Grapes, Mini Vegetable Quesadillas, Roasted beet and feta salad," Black Bean and Corn Salad - 350 calories/portion, 4 portions, Origin"
4,300.0,100.0,200.0,260.0,350.0, Greek Yogurt with Berries and Granola, Frozen Grapes, Greek Frittata," Summer Corn Salad - 260kcals per portion, 2 portions, gluten-free
"," Greek Orzo Salad - 350 calories/portion, 4 portions, Origin"
5,300.0,100.0,250.0,280.0,200.0, Tropical Mango Chia Pudding, Cucumber and Tomato Salad, Mixed Berry Smoothie," Greek Stuffed Eggplant - 280kcals per portion, 4 portions, no allergies, Origin"," Caprese Salad - 200 calories/portion, 4 portions, contains dairy (Italy)
"
6,300.0,90.0,180.0,400.0,300.0, Overnight Cherry Almond Oats, Fruit Salad, Pomegranate Avocado Salad, Veggie Fried Rice," Caprese Quinoa Bowls - 300 calories/portion, 4 portions, Origin"
7,250.0,100.0,220.0,600.0,350.0, Cheesy Spinach Pita Pocket, Som Tam (Papaya Salad), Quinoa Salad, Spinach and Ricotta Stuffed Shells," Mexican Quinoa Salad - 350 calories/portion, 4 portions, Origin"
8,200.0,100.0,150.0,420.0,350.0, Spinach and Mushroom Breakfast Tacos, Caprese Skewers, Tomato and Mozzarella Skewers," Veggie Shepard's Pie - 420kcals per portion, 2 portions, contains gluten
", Chickpea and Sweet Potato Curry
9,250.0,100.0,220.0,300.0,350.0, Middle Eastern Shakshuka, Cucumber and Tomato Salad, Indian Samosa Chaat, Chickpea Salad, Mushroom Risotto
10,350.0,80.0,120.0,300.0,250.0, Vegan Protein Pancakes, Avocado Deviled Eggs, Hummus Stuffed Mini Peppers," Mexican Quinoa Stuffed Peppers - 300kcals per portion, 2 portions, gluten-free
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
11,250.0,80.0,160.0,400.0,350.0, Raspberry Chia Jam Toast, Mango with Chili Powder, Tomato and Mozzarella Skewers, Veggie pizza," Pasta Primavera - 350 calories/portion, 4 portions, Origin"
12,250.0,80.0,250.0,380.0,200.0, Banana Bread, Cheesy Popcorn, Sweet Potato Fries," Mushroom and Spinach Tart - 380kcals per portion, 3 portions, contains dairy
"," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
13,200.0,100.0,150.0,350.0,250.0, Spanish Tortilla, Cucumber and Hummus Rolls, Zucchini Fritters, Vegetable and chickpea curry," Vegetable Stir Fry - 250 calories/portion, 4 portions, Origin"
14,200.0,100.0,70.0,700.0,300.0, Greek Yogurt Pancakes, Greek Salad Skewers, Greek Cucumber Cups, Spinach Lasagna," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
15,350.0,100.0,300.0,250.0,320.0, Shakshuka, Fruit Salad, Veggie Quesadillas, Vegetarian sushi rolls," Lentil Soup - 320kcals per portion, 4 portions, gluten-free (Various)
"
