,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,100.0,250.0,150.0,350.0, Country Style Potatoes with Veggies, Cucumber Rolls with Hummus - Approx, Sweet potato and black bean sliders," Greek Salad - 150 calories
   - Total portions", Tofu Tikka Masala
2,150.0,100.0,100.0,150.0,300.0, Greek Yogurt with Berries, Kiwi and Strawberry Smoothie, Caprese Skewers, Lentil and Vegetable Soup, Chickpea Tikka Masala
3,400.0,90.0,300.0,150.0,294.0, Vegan Breakfast Stuffed Sweet Potatoes - 400 calories per portion | 1 portion | None | Origin, Stuffed Dates, Mini Beef Sliders, Tomato and Basil Bruschetta, Vegan Lentil Sloppy Joes
4,300.0,100.0,200.0,150.0,320.0, Chia Seed Pancakes," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin", Mini Quiche, Butternut squash soup," Spinach and Mushroom Quesadillas - 320kcals per portion, 4 portions, contains dairy (Mexico)
"
5,200.0,100.0,250.0,120.0,320.0, Avocado Toast, Frozen Grapes, Stuffed Bell Peppers with Quinoa," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegan lasagna with cashew cheese – 320 calories per portion, 4 portions, vegan-friendly (origin"
6,450.0,80.0,250.0,150.0,300.0, Dutch Baby Pancake, Fresh Watermelon Slices - Approx, Mini Buffalo Chicken Wraps, Spanish Gazpacho, Mexican Quinoa Stuffed Bell Peppers
7,400.0,80.0,180.0,150.0,320.0, Vegan Breakfast Sushi - 400 calories per portion | 1 portion | Contains soy | Origin, Fresh Squeezed Orange Juice, Baba Ganoush with Pita Chips, Spinach and feta stuffed mushrooms, Thai Noodle Salad
8,350.0,100.0,150.0,150.0,220.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Fruit salad, Mini quinoa sliders, Butternut squash soup," Shrimp Stir-Fry with Vegetables - 220 calories per portion, 4 portions, contains shellfish, Origin"
9,300.0,100.0,140.0,150.0,350.0, Veggie Breakfast Scramble, Fruit Smoothie Popsicles - Approx," Caprese pinwheels (tortilla with mozzarella, tomato, basil)"," Lentil Soup - 150kcals per portion, 6 portions", Mediterranean Couscous Stuffed Bell Peppers
10,350.0,100.0,80.0,20.0,250.0," Syrian cheese and za'atar flatbread (350kcals per portion, 2 portions, origin", Roasted Almonds, Veggie Spring Rolls, Moroccan Mint Tea, Spinach and Feta Stuffed Mushrooms
