,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,120.0,280.0,120.0,250.0, Vegan Breakfast Quesadilla - 400 calories per portion | 1 portion | Contains gluten | Origin, Raspberry Chia Seed Jam, Vegan Chocolate Mousse," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Veggie Stir-Fry
2,250.0,180.0,100.0,20.0,340.0, Overnight Oats, Peanut butter on rice cakes, Cinnamon Sugar Popcorn, Moroccan Mint Tea," Spinach and Artichoke Stuffed Portobello Mushrooms - 340kcals per portion, 2 portions, contains dairy
"
3,320.0,200.0,120.0,120.0,350.0," Vegetable and cheese strata (320 calories per portion, 2 portions, contains dairy, American origin)
", Vegan Chia Seed Pancakes, Vegan Energy Balls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Mushroom Risotto - 350kcals per portion, 4 portions
"
4,500.0,120.0,100.0,100.0,180.0, Breakfast Empanadas, Date Balls, Cheese and bacon stuffed mushrooms, Israeli salad," Caprese Salad - 180kcals per portion, 4 portions, contains dairy (Italy)
"
5,400.0,200.0,100.0,120.0,250.0," South Indian idli with sambar - 400 calories per portion, 2 portions, contains gluten, origin", Veggie Omelette, Fruit Salad," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Stuffed Portobello Mushrooms
6,350.0,200.0,120.0,120.0,200.0, Vegan Breakfast Burrito Bowl, Greek Salad, Veggie spring rolls with peanut sauce," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil Soup
7,200.0,300.0,100.0,20.0,300.0, Caprese Avocado Toast, Whole Wheat Bagel with Cream Cheese, Stuffed Mushrooms, Moroccan Mint Tea, Chickpea Curry
8,300.0,200.0,300.0,20.0,320.0, Overnight Cherry Almond Oats, Steamed Dumplings - Approx, Veggie Spring Rolls, Moroccan Mint Tea, Vegan Lentil Meatballs
9,320.0,180.0,100.0,120.0,250.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
", Vegan Protein Balls, Stuffed Mushrooms," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Zucchini Noodles with Marinara - 250 calories per portion, 4 portions, None, Italy
"
10,400.0,200.0,180.0,20.0,300.0, Spinach and Feta Quiche, Veggie Omelette - Approx," Blueberry Oatmeal Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Greek Lemon Chicken Soup - 300 calories per portion, 6 portions, contains egg, Origin"
11,380.0,200.0,200.0,120.0,212.0," Cinnamon apple quinoa bake (380 calories per portion, 2 portions, nut-free, American origin)
", Red Pepper and Tomato Soup, Baked falafel with tahini sauce," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Caesar Salad
12,400.0,220.0,80.0,100.0,280.0, English Muffin Breakfast Pizza, Blueberry almond smoothie, Fresh Fruit Salad, Israeli salad," Chickpea Salad - 280kcals per portion, 4 portions, gluten-free (Middle East)
"
13,200.0,180.0,100.0,120.0,300.0, Vegan Green Smoothie - 200 calories per portion | 2 portions | None | Origin, Strawberry and banana smoothie, Baked zucchini fries," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Quinoa and Vegetable Stuffed Bell Peppers
14,600.0,300.0,90.0,120.0,350.0, Vegan Breakfast Danish, Sweet Potato Toast with Peanut Butter, Chicken satay skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mediterranean Couscous - 350 calories/portion, 4 portions, Origin"
15,250.0,350.0,180.0,120.0,300.0, Ragi (Finger Millet) Pancakes, Veggie Spring Rolls, Baked Coconut Shrimp," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Teriyaki Tofu Stir Fry
16,400.0,250.0,180.0,120.0,200.0," Apple cinnamon baked oatmeal (400kcals per portion, 2 portions)
", Cinnamon Sugar Donuts - Approx," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Butternut Squash Soup
17,400.0,200.0,140.0,120.0,300.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Zucchini Bread," Cauliflower Buffalo Wings - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Mexican Rice and Beans - 300 calories/portion, 4 portions, contains cilantro (Mexico)
"
18,200.0,200.0,180.0,120.0,300.0, Vegan Breakfast Quiche Lorraine, Quinoa Salad," Pineapple Salsa with Tortilla Chips - 180 kcals per portion, 3 portions, contains gluten (Various)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Lemon Herb Grilled Shrimp - 300 calories per portion, 4 portions, contains shellfish, Origin"
19,350.0,350.0,150.0,100.0,350.0," Sweet potato and black bean breakfast tacos (350kcals per portion, 2 portions, origin", Ricotta Stuffed French Toast - Approx, Cauliflower Buffalo Wings, Israeli salad," Ratatouille Quinoa Bowl - 350 calories/portion, 4 portions, contains garlic (France)
"
20,400.0,350.0,180.0,120.0,200.0," Algerian msemen (pan fried dough) with honey - 400 calories per portion, 2 portions, contains gluten, origin", Bagel with Cream Cheese, Roasted Pumpkin Seeds," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Zucchini Noodles with Pesto
21,250.0,100.0,340.0,100.0,250.0," Pumpkin pie smoothie (250 calories per portion, 2 portions, nut-free, American origin)
", Tomato Basil Bruschetta, Greek Feta and Olive Bread, Israeli salad," Veggie Pho with Tofu - 250 calories/portion, 4 portions, Origin"
22,350.0,100.0,250.0,120.0,286.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin", Baked salmon cakes," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Quinoa and Black Bean Stuffed Peppers
23,300.0,250.0,140.0,120.0,350.0, Vegan Chocolate Protein Shake - 300 calories per portion | 1 portion | None | Origin, Rice Pudding, Crispy Baked Potato Skins," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Tomato and Basil Pasta - 350 calories/portion, 2 portions, Origin"
24,350.0,200.0,150.0,120.0,350.0," Vegetarian breakfast quiche with broccoli and feta (350 calories per portion, 2 portions, contains dairy, American origin)
", Stuffed Mushrooms, Stuffed Grape Leaves," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Caprese Tortellini Skewers - 350 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
25,350.0,150.0,170.0,20.0,320.0, Vegan Vegetable Frittata - 350 calories per portion | 1 portion | None | Origin, Blueberry Almond Energy Balls, Mushroom Bruschetta, Moroccan Mint Tea," Vegetable curry with basmati rice – 320 calories per portion, 4 portions, vegan-friendly (origin"
26,400.0,250.0,100.0,120.0,213.0," Malaysian roti canai with curry dipping sauce (400kcals per portion, 2 portions, origin", Cucumber and Tomato Sandwich with Hummus," Baked Tofu Nuggets - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Lentil Soup
27,400.0,150.0,150.0,120.0,350.0," Huevos divorciados (Mexican-style eggs with red and green salsa) (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Vegetable Smoothie, Ricotta Stuffed Mushrooms," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Three-bean chili with cornbread – 350 calories per portion, 4 portions, vegan-friendly
"
28,350.0,250.0,120.0,20.0,250.0, Scrambled Eggs with Smoked Salmon, Cheesy Quesadillas, Greek Yogurt with Berries, Moroccan Mint Tea," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
29,250.0,150.0,90.0,120.0,350.0, Mozzarella and Tomato Bruschetta, Zucchini Noodles with Marinara Sauce, Bruschetta," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Paella
30,300.0,150.0,150.0,120.0,250.0, Acai Bowl, Cucumber and Hummus Bites, Roasted Red Pepper and Feta Dip," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Zucchini Noodles with Marinara - 250 calories per portion, 4 portions, None, Italy
"
31,400.0,300.0,250.0,100.0,250.0, Shakshuka with Merguez Sausage," Stuffed Bell Peppers with Quinoa and Feta - 300kcals per portion, 1 portion
    Origin", Falafel with Tahini Sauce, Israeli salad, Vegetable Curry
32,400.0,150.0,240.0,120.0,200.0, Vegetarian Quiche Lorraine, Cucumber and Hummus Bites, Vegan Spinach Dip with Pita Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Stuffed Acorn Squash - 200 calories/portion, 4 portions, Origin"
33,250.0,180.0,140.0,120.0,150.0, Veggie Omelette, Peanut butter on rice cakes," Apple Slices with Almond Butter - 140 kcals per portion, 2 portions, contains tree nuts (USA)"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
34,450.0,150.0,300.0,100.0,250.0," Pancakes with maple syrup and blueberries (450kcals per portion, 2 portions, origin", Vegan Chocolate Energy Balls, Cheese and Crackers, Israeli salad," Vegan Tomato and Vegetable Paella - 250 calories per portion, 3 portions, may contain gluten"
35,300.0,100.0,120.0,120.0,220.0," Chia pudding with mixed berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Cucumber Slices with Tzatziki - Approx, Ricotta Stuffed Cherry Tomatoes," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Salad - 220kcals per portion, 4 portions, contains dairy
"
36,320.0,150.0,150.0,120.0,200.0," Mushroom and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, French origin)
", Vegan Protein Bites, Baked Buffalo Cauliflower Bites," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
37,250.0,300.0,180.0,120.0,350.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Sweet Potato Toast with Avocado - Approx, Veggie Pancakes with Yogurt Dip," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille with couscous - 350 kcals per portion, 4 portions, vegetarian, contains gluten
"
38,450.0,180.0,90.0,100.0,320.0, Sausage and Egg Breakfast Sandwich, Vegan Blueberry Scones," Guacamole with Tortilla Chips - 90 kcals per portion, 4 portions, allergic warning (avocado), origin", Israeli salad," Greek Gigantes Plaki - 320kcals per portion, 4 portions
"
39,220.0,200.0,150.0,20.0,300.0," Vegetable frittata - 220 calories per portion, 4 portions, no allergic warnings, origin"," Lentil Soup - 200kcals per portion, 1 portion
    Origin", Zucchini and Goat Cheese Tartlets, Moroccan Mint Tea," Mexican Black Bean Tacos (300 calories/portion, 2 portions) - Mexico
"
40,400.0,180.0,200.0,20.0,300.0, Veggie Breakfast Pizza Rolls, Oatmeal cookies, Stuffed Grape Leaves, Moroccan Mint Tea," Lentil Tacos - 300 calories per portion, 4 portions, None, Mexico
"
41,320.0,180.0,150.0,120.0,350.0," Zucchini and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, Italian origin)
", Banana Bread, Stuffed mushrooms with cream cheese and bacon," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Butter Chicken
42,200.0,350.0,90.0,120.0,300.0, Vegan Breakfast Phyllo Cups, Cinnamon Rolls," Fresh Fruit Salad - 90 kcals per portion, 4 portions, gluten-free (Various)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Spinach and Feta Stuffed Phyllo Triangles - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
43,550.0,180.0,230.0,20.0,300.0, Sausage and Cheese Quiche, Vegan Protein Balls, Roasted red pepper hummus with pita chips, Moroccan Mint Tea," Vegan Spaghetti with Marinara Sauce - 300 calories per portion, 2 portions, may contain gluten"
44,250.0,250.0,250.0,20.0,250.0, Vegan Breakfast Bruschetta, Strawberry Shortcake, Sweet potato and black bean sliders, Moroccan Mint Tea, Zucchini Noodles with Pesto
