,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,80.0,170.0,150.0,450.0," Turkish breakfast (tomato, cucumber, olives, cheese, bread) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Energy Balls, Vegetable Sushi Rolls," Japanese Miso Soup with Tofu - 150 calories
    - Total portions", Tofu Tikka Masala
2,250.0,80.0,180.0,150.0,300.0, Sourdough Toast with Almond Butter, Fresh Squeezed Orange Juice, Stuffed grape leaves," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Moroccan Vegetable Couscous
3,550.0,50.0,800.0,20.0,600.0, Sausage and Cheese Quiche, Baked Apple Chips - Approx, Vegan Mexican Churros, Moroccan Mint Tea, Grilled Steak with Chimichurri Sauce
4,400.0,60.0,180.0,100.0,300.0," Chicken sausage and vegetable stir-fry (400kcals per portion, 2 portions, origin", Cucumber and tomato salad, Mini Pizza Bagels, Israeli salad, Lentil Soup with Bread
5,350.0,80.0,90.0,120.0,400.0, Banana Nut Muffins, Stuffed Dates, Chicken spring rolls," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Caprese Quinoa Bowl - 400 calories/portion, 4 portions, contains dairy (Italy)
"
6,400.0,80.0,150.0,150.0,200.0," Jamaican ackee and saltfish with fried plantains (400kcals per portion, 2 portions, origin", Avocado Deviled Eggs," Vegan Zucchini Fritters with Vegan Sour Cream - 150 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and vegetable frittata, Lentil and Vegetable Soup
7,400.0,80.0,200.0,150.0,550.0, Vegan French Toast, Stuffed Dates, Chocolate Covered Strawberries," Greek Salad - 150kcals per portion, 2 portions"," Seafood pasta with white wine garlic sauce - 550 kcals per portion, 4 portions, contains shellfish, gluten, lactose
"
8,300.0,80.0,160.0,150.0,400.0, Overnight Apple Pie Chia Pudding, Stuffed Dates, Cabbage Rolls," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Stuffed acorn squash with quinoa and cranberries – 400 calories per portion, 4 portions, vegan-friendly
"
9,320.0,80.0,120.0,20.0,600.0," Baked eggs with asparagus and Parmesan (320 calories per portion, 2 portions, contains dairy, Italian origin)
", Stuffed Dates, Greek Yogurt Parfait, Moroccan Mint Tea," Pad Thai with chicken – 600 calories per portion, 2 portions (origin"
10,300.0,80.0,230.0,150.0,380.0," Filipino champorado (chocolate rice porridge) - 300 calories per portion, 2 portions, contains gluten, origin", Fresh Squeezed Orange Juice," Baked Mozzarella Sticks - 230 kcals per portion, 4 portions, contains gluten, dairy (USA)", Gazpacho Soup," Lentil Bolognese - 380kcals per portion, 4 portions, contains legumes (Italy)
"
11,400.0,60.0,220.0,150.0,350.0," Italian breakfast panini with prosciutto and mozzarella - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Fruit Salad - Approx, Baked mozzarella sticks, Spinach and mushroom omelet," Vegan Chili - 350 calories per portion, 4 portions, None, United States
"
12,350.0,80.0,180.0,150.0,320.0," Afghan bolani (stuffed flatbread) with yogurt sauce - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Hard-Boiled Eggs," Rice Crispy Treats - 180 kcals per portion, 6 portions, gluten-free (USA)"," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Thai Red Curry with Vegetables
13,400.0,50.0,180.0,160.0,300.0," Turkish sesame bagel with cream cheese and olives (400kcals per portion, 1 portion, dairy allergies, origin", Baked Apple Chips - Approx, Mini Margherita Skewers," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese salad with balsamic glaze – 300 calories per portion, 4 portions, contains dairy (origin"
14,500.0,60.0,120.0,150.0,400.0," Vietnamese pho noodle soup with beef (500kcals per portion, 2 portions, origin", Fruit Salad - Approx, Greek tomato and cucumber salad, Tom Yum Soup," Greek-style stuffed peppers with rice and feta – 400 calories per portion, 3 portions, contains dairy (origin"
15,350.0,80.0,60.0,150.0,400.0, Egg Stuffed Peppers, Kale Chips, Cucumber and cream cheese bites, Spinach and mushroom omelet," Coconut curry noodles - 400 calories per portion, 4 portions, contains gluten
"
16,400.0,60.0,230.0,150.0,300.0, Tofu Benedict, Cucumber and tomato salad," Baked Mozzarella Sticks - 230 kcals per portion, 4 portions, contains gluten, dairy (USA)", Gazpacho Soup," Lentil Tacos - 300 calories per portion, 4 portions, None, Mexico
"
17,350.0,80.0,250.0,150.0,250.0," Banana pecan pancakes (350 calories per portion, 2 portions, contains nuts, American origin)
", Fresh Watermelon Slices - Approx," Sushi - 250 kcals per portion, 2 portions, contains fish, soy (Japan)", Cabbage Stir-Fry, Vegan Sushi Bowl
18,250.0,80.0,380.0,150.0,300.0, Mozzarella and Tomato Bruschetta, Fresh Watermelon Slices - Approx, Mini chicken pot pies," Lentil Soup - 150 calories
   - Total portions", Turkish Eggplant Casserole (Imam Bayildi)
19,350.0,60.0,70.0,160.0,380.0," Baked beans on toast (350kcals per portion, 2 portions, origin", Fruit Salad - Approx, Stuffed Cucumbers," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Quinoa Salad with Avocado and Black Beans - 380kcals per portion, 4 portions, contains legumes
"
20,400.0,80.0,160.0,150.0,250.0, Tomato Basil Quiche, Fruit Salad, Vegan Mexican Street Corn, Cabbage Stir-Fry," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
21,600.0,70.0,180.0,120.0,250.0, Vegan Breakfast Biscotti, Kale chips, Mini Crab Cakes," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Bulgur Salad
22,400.0,80.0,150.0,150.0,300.0," Polish scrambled eggs with kielbasa and sauerkraut (400kcals per portion, 2 portions, pork allergies, origin", Hard-Boiled Eggs, Cilantro lime shrimp skewers, Tomato Basil Soup, Moroccan Vegetable Tagine
23,550.0,50.0,150.0,150.0,320.0, Eggs Benedict," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Zucchini and Goat Cheese Tartlets, Caprese Salad, Thai Green Curry Noodles
24,200.0,80.0,160.0,150.0,300.0, Veggie Breakfast Pizza Rolls, Stuffed Dates, Baked Sweet Potato Fries," Grilled Vegetable Skewers - 150kcals per portion, 4 portions"," Mediterranean Orzo Salad - 300 calories per portion, 4 portions, contains gluten (pasta), Origin"
25,250.0,50.0,250.0,150.0,400.0," Peach and almond smoothie - 250 calories per portion, 1 portion, may contain nuts, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Greek Yogurt Parfait, Tomato and Basil Bruschetta, Teriyaki Salmon Bowl
26,400.0,50.0,90.0,150.0,400.0, Shakshuka with Merguez Sausage, Baked Apple Chips - Approx, Raspberry almond thumbprint cookies, Cabbage Stir-Fry, Grilled Salmon with Quinoa
27,400.0,80.0,250.0,150.0,350.0," Italian breakfast panini with prosciutto and mozzarella - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Energy Balls, Chicken Skewers with Peanut Sauce, Greek Tzatziki Dip with Pita," Ratatouille Pasta Bake - 350 calories/portion, 4 portions, Origin"
