,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,50.0,90.0,100.0,150.0, Vegan Banana Muffins," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Vegetable Spring Rolls, Israeli salad," Feta and spinach stuffed tomatoes - 150 calories per portion, 6 portions, contains dairy (Greece)
"
2,400.0,50.0,220.0,100.0,220.0," Polish jajecznica (scrambled eggs with kielbasa) - 400 calories per portion, 2 portions, no allergic warnings, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Chicken Lettuce Wraps, Israeli salad, Grilled Vegetable Skewers
3,200.0,50.0,90.0,20.0,200.0, Caprese Avocado Toast," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Cucumber Sandwiches - 90 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
4,250.0,50.0,80.0,20.0,200.0, Sourdough Toast with Almond Butter," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Hummus with carrot sticks, Moroccan Mint Tea, Greek Salad
5,300.0,50.0,180.0,20.0,200.0, Vegan Omelette," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Pomegranate Avocado Salad, Moroccan Mint Tea, Greek Salad
6,400.0,50.0,300.0,20.0,210.0, Veggie English Breakfast," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Vegetable Fajitas, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
7,300.0,50.0,250.0,100.0,159.0, Mediterranean Chickpea Scramble," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Greek Spanakopita Triangles, Israeli salad, Quinoa Stuffed Mushrooms
8,430.0,50.0,240.0,100.0,200.0," Cinnamon raisin French toast (430 calories per portion, 2 portions, contains dairy, American origin)
", Baked Apple Chips - Approx, Veggie Sushi Rolls, Israeli salad," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
9,300.0,50.0,150.0,20.0,150.0, Mexican Quinoa Breakfast Bowl," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Caprese Salad Skewers, Moroccan Mint Tea, Veggie Stir-Fry
10,350.0,50.0,200.0,100.0,220.0," Cheesy scrambled eggs - 350 calories per portion, 1 portion, contains dairy, origin", Baked Apple Chips - Approx, Mini Raspberry Tarts, Israeli salad, Quinoa and Vegetable Stir Fry
11,450.0,50.0,250.0,100.0,200.0, Lemon Poppy Seed Pancakes," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Stuffed Grape Leaves (Dolmades), Israeli salad," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
12,400.0,50.0,120.0,20.0,200.0, Veggie Breakfast Pizza," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek tomato and feta dip with pita chips, Moroccan Mint Tea, Greek Salad
13,300.0,50.0,140.0,20.0,200.0, Aloo Tikki," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Roasted Chickpeas - 140 kcals per portion, 4 portions, gluten-free (World)", Moroccan Mint Tea," Miso Soup - 200 calories/portion, 2 portions, Origin"
14,300.0,50.0,80.0,100.0,119.0, Tropical Mango Chia Pudding, Baked Apple Chips - Approx, Shrimp ceviche, Israeli salad, Vegan Gazpacho
15,350.0,50.0,140.0,20.0,150.0," Sourdough toast with nut butter and banana - 350 calories per portion, 1 portion, contains gluten and nuts, origin", Baked Apple Chips - Approx, Greek Yogurt with Apple and Cinnamon, Moroccan Mint Tea," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
16,300.0,50.0,200.0,20.0,200.0," Zucchini and carrot muffins (300kcals per portion, 2 portions)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Veggie Quesadillas, Moroccan Mint Tea," Spinach and Feta Stuffed Peppers - 200 calories/portion, 4 portions, Origin"
17,250.0,50.0,280.0,100.0,180.0, Vegan Breakfast Quesadillas," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Greek Spinach Pie, Israeli salad," Lentil and vegetable soup - 180 calories per portion, 6 portions, none
"
18,200.0,50.0,250.0,100.0,180.0, Poha (Flattened Rice)," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini chicken and vegetable skewers, Israeli salad, Ratatouille
19,450.0,50.0,100.0,20.0,200.0, Nutella Stuffed French Toast," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Garlic parmesan roasted edamame, Moroccan Mint Tea, Greek Stuffed Peppers
20,320.0,50.0,180.0,20.0,200.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
", Baked Apple Chips - Approx, Veggie Sushi Rolls, Moroccan Mint Tea, Vegan Goulash
21,400.0,50.0,120.0,20.0,200.0," Thai mango sticky rice (400kcals per portion, 2 portions, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Tabouli salad, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
22,250.0,50.0,90.0,100.0,150.0, Avocado Toast, Baked Apple Chips - Approx, Shrimp cocktail, Israeli salad, Butternut Squash Soup
23,320.0,50.0,140.0,20.0,213.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Bacon-Wrapped Asparagus, Moroccan Mint Tea, Lentil Soup
24,400.0,50.0,90.0,20.0,150.0," Italian caprese frittata with tomatoes, mozzarella, and basil (400kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Zucchini fritters, Moroccan Mint Tea," Feta and spinach stuffed tomatoes - 150 calories per portion, 6 portions, contains dairy (Greece)
"
25,350.0,50.0,80.0,20.0,200.0, Veggie Omelette, Baked Apple Chips - Approx, Stuffed Mini Peppers, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
26,350.0,50.0,90.0,100.0,220.0, Baked Eggs in Avocado, Baked Apple Chips - Approx, Greek Feta and Olive Skewers, Israeli salad, Chickpea Salad
27,160.0,50.0,80.0,20.0,200.0," Scrambled eggs with spinach and feta (160 calories per portion, 2 portions, contains dairy, Greek origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini stuffed bell peppers with cream cheese, Moroccan Mint Tea, Greek Salad
28,350.0,50.0,100.0,20.0,200.0," Vegetarian breakfast quiche with broccoli and feta (350 calories per portion, 2 portions, contains dairy, American origin)
", Baked Apple Chips - Approx," Baked Tofu Nuggets - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Greek Salad
29,350.0,50.0,150.0,20.0,200.0, Tofu Scramble," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Yogurt Parfait, Moroccan Mint Tea," Spinach and Goat Cheese Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
30,380.0,50.0,230.0,20.0,200.0," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Baked Mozzarella Sticks - 230 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea," Avocado and Tomato Salad - 200 calories/portion, 2 portions, Origin"
31,350.0,50.0,120.0,100.0,150.0," Cauliflower and feta frittata (350 calories per portion, 2 portions, contains dairy, Italian origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Vegan Pumpkin Spice Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Lentil Soup with Kale
32,300.0,50.0,120.0,20.0,200.0, Shakarkandi ki Chaat (Sweet Potato Chaat)," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Hummus and Pita, Moroccan Mint Tea," Caprese Salad - 200 calories per portion, 4 portions, contains dairy (cheese), Origin"
33,400.0,50.0,150.0,20.0,200.0, Vegan Breakfast Stuffed Peppers - 400 calories per portion | 1 portion | None | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Roasted Chickpeas, Moroccan Mint Tea," Lentil Spinach Soup - 200 calories per portion, 4 portions, None, Various
"
34,200.0,50.0,180.0,100.0,200.0, Blueberry Muffins," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Blueberry Muffins, Israeli salad," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
35,200.0,50.0,300.0,20.0,200.0, Vegan Banana Bread," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mediterranean feta and olive tortilla wraps, Moroccan Mint Tea," Quinoa Salad - 200 calories per portion, 2 portions, may contain nuts"
36,400.0,50.0,260.0,100.0,220.0, Turkish Pogaca," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Spicy Mango Salsa, Israeli salad, Quinoa and Vegetable Stir Fry
37,200.0,50.0,180.0,20.0,182.0, Quinoa Veggie Breakfast Skillet," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Salad, Moroccan Mint Tea, Carrot and Ginger Soup
38,300.0,50.0,280.0,100.0,200.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Baked Apple Chips - Approx, Mini Vegetable Quiches, Israeli salad, Stuffed Zucchini Boats
39,350.0,50.0,150.0,100.0,200.0, Greek Yogurt with Fig Compote," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Lentil Soup, Israeli salad, Spanish Gazpacho
40,350.0,50.0,180.0,100.0,200.0," Yogurt and fruit smoothie bowl (350 calories per portion, 2 portions, contains dairy, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Rice Crispy Treats - 180 kcals per portion, 6 portions, gluten-free (USA)", Israeli salad," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
41,400.0,50.0,280.0,100.0,160.0," Warm quinoa breakfast bowl with caramelized bananas and almonds (400 calories per portion, 2 portions, contains nuts, American origin)
Please note that the above recipes are suggestions and the nutritional information provided is approximate", Baked Apple Chips - Approx, Mini Vegetable Quiches, Israeli salad," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
42,350.0,50.0,90.0,100.0,180.0," Egg and cheese breakfast sandwich - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Apple Chips - Approx, Shrimp cocktail, Israeli salad," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
"
43,300.0,50.0,150.0,20.0,200.0, Vegan Blueberry Muffins," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Olive Tapenade Crostini, Moroccan Mint Tea," Mexican Vegan Guacamole (200 calories/portion, 4 portions) - Mexico
"
44,400.0,50.0,190.0,100.0,200.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Baked Apple Chips - Approx, Cucumber and Avocado Gazpacho, Israeli salad," Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin"
45,300.0,50.0,360.0,20.0,200.0, Vegan Breakfast Burrito, Baked Apple Chips - Approx, Vegan Mushroom Soup, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
46,200.0,50.0,150.0,20.0,220.0, Spanish Tortilla, Baked Apple Chips - Approx, Greek Yogurt Dip with Veggies, Moroccan Mint Tea, Quinoa and Vegetable Stir Fry
47,350.0,50.0,170.0,20.0,200.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Baked Apple Chips - Approx, Mexican Bean Dip, Moroccan Mint Tea," Italian Caprese Salad (200 calories/portion, 2 portions) - Italy
"
48,220.0,50.0,280.0,20.0,180.0," Vegetable frittata - 220 calories per portion, 4 portions, no allergic warnings, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Baked Tofu Nuggets, Moroccan Mint Tea, Mediterranean Salad
49,400.0,50.0,90.0,20.0,200.0, Veggie Breakfast Pizza," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)", Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
50,320.0,50.0,220.0,100.0,200.0," Baked eggs with asparagus and Parmesan (320 calories per portion, 2 portions, contains dairy, Italian origin)
", Baked Apple Chips - Approx, Teriyaki Chicken Skewers, Israeli salad, Ratatouille
51,400.0,50.0,150.0,20.0,180.0," Vietnamese banh mi sandwich with eggs - 400 calories per portion, 2 portions, contains gluten, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Caponata Bruschetta - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Spinach and Mushroom Frittata
