,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,100.0,80.0,160.0,250.0, Veggie Breakfast Wrap with Tofu Scramble, Greek Salad Skewers, Avocado Deviled Eggs," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil and Vegetable Soup - 250 calories/portion, 4 portions, contains gluten (Various)
"
2,400.0,100.0,250.0,120.0,350.0, Veggie Biscuits and Gravy, Cucumber and Tomato Salad, Peanut Butter Banana Roll-Ups," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Mushroom and Pea Risotto
3,150.0,80.0,120.0,150.0,200.0, Fruit Salad, Avocado Deviled Eggs, Greek Yogurt Dip with Veggies, Spinach and cheese stuffed tomatoes," Baked Falafel - 200 calories/portion, 4 portions, Origin"
4,200.0,100.0,180.0,150.0,350.0, Roasted Vegetable Breakfast Tacos, Caprese Skewers, Mango Salsa with Tortilla Chips," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Chickpea Salad - 350 calories/portion, 4 portions, Origin"
5,300.0,100.0,180.0,150.0,400.0, Veggie Breakfast Quesadilla, Watermelon Fruit Pizza, Veggie Snack Wrap, Lentil and vegetable soup," Butternut squash ravioli with brown butter sauce - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
6,300.0,80.0,200.0,150.0,400.0, Mushroom and Tomato Omelette, Fruit Salad, Spinach Dip, Caprese Salad," Veggie Pad Thai - 400 calories/portion, 4 portions, Origin"
7,200.0,100.0,230.0,120.0,400.0, Tofu Scramble, Som Tam (Papaya Salad), Avocado Toast," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegetarian Shepherd's Pie
8,300.0,100.0,220.0,150.0,300.0, Cheesy Grits, Berry Chia Detox Water, Veggie Mediterranean Flatbread," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Lentil Bolognese - 300 calories/portion, 4 portions, Origin"
9,300.0,80.0,250.0,150.0,300.0, Classic Peanut Butter and Jelly, Fresh Squeezed Orange Juice, Sweet Potato Fries, Lentil and vegetable frittata," Cauliflower Fried Rice - 300 calories/portion, 4 portions, Origin"
10,300.0,100.0,160.0,150.0,80.0, Quinoa Breakfast Bowl, Baked Apple Chips, Quinoa Stuffed Tomatoes, Lentil and vegetable soup," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
"
11,350.0,80.0,200.0,150.0,350.0, Bread Upma, Apple with Cinnamon, Apple Cinnamon Muffins, Butternut squash soup," Greek Stuffed Peppers with Rice and Feta - 350kcals per portion, 4 portions, contains dairy
"
12,250.0,70.0,180.0,150.0,360.0, Vegan Tofu Benedict, Fresh Fruit Salad, Zucchini Pizza Bites, Gazpacho Soup," Lentil Sloppy Joes - 360kcals per portion, 4 portions, contains legumes (USA)
"
13,300.0,100.0,230.0,150.0,400.0, Chia Seed Smoothie, Edamame, Avocado Toast, Lentil and vegetable frittata," Butternut squash ravioli with brown butter sauce - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
