,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,150.0,150.0,150.0,350.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin, Carrot Cake Energy Balls, Roasted Vegetable Bruschetta, Ratatouille, Vegan Tikka Wrap
2,400.0,150.0,200.0,150.0,350.0, Turkish Borek, Chia Pudding, Mini Quiches, Veggie Spring Rolls," Eggplant and Chickpea Curry - 350 calories/portion, 4 portions, Origin"
3,320.0,110.0,120.0,150.0,350.0," Artichoke and feta tart (320 calories per portion, 2 portions, contains dairy, Greek origin)
", Moroccan-style boiled eggs," Caprese salad skewers (cherry tomatoes, mozzarella, basil)", Ratatouille," Italian Vegan Pasta Aglio e Olio (350 calories/portion, 2 portions) - Italy
"
4,450.0,150.0,250.0,150.0,500.0," Korean kimchi fried rice with sunny-side-up eggs (450kcals per portion, 2 portions, origin"," Mini Spinach and Mushroom Quiches - 150kcals per portion, 2 portions
    Origin", Mini chicken quesadilla," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Japanese Vegan Ramen (500 calories/portion, 2 portions) - Japan
"
5,350.0,80.0,100.0,160.0,450.0, Vegan Breakfast Pizza - 350 calories per portion | 1 portion | Contains gluten | Origin, Fruit Salad," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Vegan Broccoli and Tofu Stir-Fry - 450 calories per portion, 2 portions, may contain soy"
6,450.0,150.0,100.0,120.0,300.0," Mexican chilaquiles with salsa verde and cheese (450kcals per portion, 2 portions, origin", Cucumber Avocado Rolls, Greek Cucumber Dip with Pita Bread," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Quinoa Stuffed Bell Peppers
7,300.0,150.0,120.0,150.0,500.0, Chocolate Chia Protein Pudding, Avocado and tomato salad, Roasted chickpeas, Greek Tzatziki Dip with Pita, Coconut Curry Noodles
8,350.0,150.0,180.0,150.0,300.0, Spinach and Goat Cheese Omelette, Veggie Spring Rolls, Mini Margherita Skewers, Caprese Salad," Italian Vegan Pizza (300 calories/portion, 2 portions) - Italy
"
9,260.0,100.0,150.0,150.0,450.0," Cheese and vegetable frittata (260 calories per portion, 2 portions, contains dairy, Italian origin)
", Boiled chickpeas, Tomato and Mozzarella Skewers, Lentil and Vegetable Soup," Beef and Potato Stew - 450 calories per portion, 4 portions, no allergic warnings, Origin"
10,400.0,80.0,250.0,150.0,450.0," Corned beef hash - 400 calories per portion, 2 portions, no allergic warnings, origin", Avocado Deviled Eggs, Greek Yogurt with Granola, Spinach and feta stuffed bell peppers, Eggplant Parmesan
