,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,180.0,180.0,120.0,350.0, Idli and Sambar, Egg Muffins, Crispy Tofu Bites," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Chickpea and Sweet Potato Curry
2,350.0,160.0,90.0,120.0,220.0, Veggie Breakfast Wrap, Apple Slices with Almond Butter, Cucumber Sandwiches," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Salad - 220kcals per portion, 4 portions, contains dairy
"
3,250.0,180.0,250.0,120.0,410.0, Blueberry Oatmeal Breakfast Bars, Muesli, Stuffed Mushrooms," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Eggplant Rollatini - 410kcals per portion, 4 portions, contains dairy (Italy)
"
4,250.0,150.0,180.0,120.0,380.0, Vegan Breakfast Sushi, Mango Coconut Chia Popsicles, Grilled Halloumi Skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil Stew - 380kcals per portion, 4 portions
"
5,300.0,100.0,300.0,120.0,350.0, Banana Nut Smoothie Bowl, Rice Paper Spring Rolls, Roasted Vegetable Wrap," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mexican Rice Stuffed Peppers - 350 calories/portion, 4 portions, Origin"
6,200.0,80.0,160.0,120.0,500.0, Vegan Breakfast Tacos, Mango with Chili Powder, Portobello Mushroom Pizza Bites," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegetable Massaman Curry
7,400.0,180.0,200.0,120.0,220.0, Veggie Breakfast Pizza Rolls, Blueberry Muffins, Apple Cinnamon Muffins," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Lemon Potatoes - 220kcals per portion, 4 portions
"
8,250.0,100.0,240.0,120.0,340.0, Vegetable Scramble, Berry Chia Detox Water, Spinach and Artichoke Dip," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Quinoa-Stuffed Zucchini - 340kcals per portion, 4 portions
"
9,200.0,90.0,180.0,120.0,250.0, Oatmeal with Berries, Fruit Salad, Stuffed Jalapeno Poppers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
10,300.0,100.0,70.0,120.0,400.0, Mushroom and Tomato Omelette, Cucumber and Hummus Rolls, Stuffed Cucumbers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Cauliflower and Chickpea Curry
