,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,80.0,120.0,150.0,250.0, Vegan Breakfast Polenta - 350 calories per portion | 1 portion | None | Origin, Fresh Watermelon Slices - Approx, Caprese stuffed mushrooms, Ratatouille, Veggie Stir-Fry with Quinoa
2,320.0,80.0,180.0,180.0,250.0," Zucchini and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, Italian origin)
", Hard-Boiled Eggs, Kale smoothie with pineapple and coconut water, Tomato and basil bruschetta, Vegan Sushi Bowl
3,350.0,80.0,400.0,180.0,250.0, Breakfast Bruschetta, Baked Apple Chips, Vegan Caesar Salad, Lentil and Vegetable Soup, Chickpea Salad
4,250.0,70.0,90.0,150.0,400.0, Vegan Breakfast Oats and Berries, Fresh Fruit Salad, Watermelon Gazpacho, Spinach and feta stuffed bell peppers, Vegan Mushroom Risotto
5,300.0,70.0,180.0,180.0,350.0, Chia Seed Pancakes, Kale chips," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Mexican black bean and corn salad, Stuffed Bell Peppers with Rice and Beans
6,300.0,80.0,220.0,150.0,450.0, Blueberry Banana Breakfast Bars, Mango with Chili Powder, Cauliflower and Chickpea Salad, Ratatouille," Chicken Enchiladas - 450 calories per portion, 4 portions, contains gluten (tortillas), Origin"
7,350.0,50.0,90.0,150.0,600.0, Banana Walnut Bread, Baked Apple Chips - Approx," Guacamole with Tortilla Chips - 90 kcals per portion, 4 portions, allergic warning (avocado), origin", Lentil and Vegetable Soup," Greek spinach and feta pie with Greek salad (600 calories per portion, 2 portions, contains gluten and dairy, origin"
8,380.0,80.0,500.0,180.0,300.0," Breakfast BLT with avocado (380 calories per portion, 2 portions, contains dairy, American origin)
", Hard-Boiled Eggs, Roasted Vegetable Skewers, Spinach and artichoke dip, Vegan Tofu Scramble
9,300.0,80.0,200.0,180.0,350.0, Vegetable Upma, Hard-Boiled Eggs, Banana Bread, Mexican avocado and black bean salad, Vegan Pizza
10,400.0,80.0,220.0,150.0,300.0, Shakshuka with Merguez Sausage, Apple with Cinnamon," Falafel with Tahini Sauce - 220 kcals per portion, 3 portions, contains sesame (Middle East)"," Potato Latkes - 150 calories
   - Total portions", Sweet Potato and Lentil Curry
11,350.0,80.0,150.0,150.0,320.0, Chocolate Peanut Butter Overnight Oats, Fruit Salad, Ricotta Stuffed Mushrooms, Lentil Soup," Eggplant Curry - 320kcals per portion, 4 portions, contains spices (India)
"
12,400.0,80.0,280.0,150.0,350.0, Vegetarian Breakfast Strata, Mango with Chili Powder, Greek Spinach Pie," Japanese Miso Soup with Tofu - 150 calories
    - Total portions", Mexican Quinoa Stuffed Zucchini
13,200.0,60.0,200.0,180.0,450.0," Yogurt and fruit smoothie (200 calories per portion, 2 portions, contains dairy, American origin)
", Cucumber and tomato salad, Roasted Vegetable and Hummus Wraps," Spinach and Feta Stuffed Portobello Mushrooms - 180kcals per portion, 2 portions, contains dairy
", Lemon Garlic Shrimp Pasta
14,500.0,80.0,180.0,150.0,350.0, Cheddar and Herb Quiche, Mango with Chili Powder," Tuna Salad Lettuce Wraps - 180 kcals per portion, 2 portions, contains fish (USA)", Grilled Chicken Salad," Italian Vegan Eggplant Rollatini (350 calories/portion, 2 portions) - Italy
"
15,70.0,50.0,180.0,150.0,182.0, Fruit Salad," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Stuffed Bell Peppers with Quinoa and Black Beans, Tom Yum Soup, Carrot and Ginger Soup
16,320.0,80.0,150.0,180.0,600.0," Mushroom and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, French origin)
", Fruit Salad, Sweet Potato and Chickpea Patties, Roasted beet and feta salad," Vegan Stuffed Zucchini - 600 calories per portion, 2 portions, may contain nuts"
17,400.0,80.0,140.0,100.0,300.0, Sourdough Biscuits and Mushroom Gravy," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Crispy Baked Potato Skins, Israeli salad," Greek Stuffed Peppers - 300 calories/portion, 4 portions, contains feta cheese (Greece)
"
18,250.0,80.0,220.0,150.0,450.0," British eggy soldiers - 250 calories per portion, 1 portion, contains gluten, origin", Fruit Salad, Roasted red pepper and feta dip with crackers," Potato Latkes - 150 calories
   - Total portions"," Vegetable Stroganoff - 450 calories/portion, 4 portions, contains gluten and dairy (Russia)
"
19,350.0,80.0,260.0,150.0,450.0," Israeli shakshuka with eggplant and tahini (350kcals per portion, 2 portions, origin", Apple with Cinnamon, Black Bean Nachos," Greek Salad - 150kcals per portion, 2 portions", Beef Stir-Fry with Broccoli
20,200.0,80.0,220.0,150.0,150.0, Veggie Breakfast Wrap with Tofu Scramble, Fruit Salad, Banana bread muffins," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
21,400.0,60.0,220.0,150.0,450.0," Turkish breakfast (tomato, cucumber, olives, cheese, bread) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Fruit Salad - Approx," Chocolate Mousse - 220 kcals per portion, 2 portions, contains dairy (France)", Butternut squash soup," Thai Vegan Massaman Curry (450 calories/portion, 2 portions) - Thailand
"
22,400.0,80.0,220.0,150.0,500.0, Shakshuka with Merguez Sausage, Avocado Deviled Eggs, Mini Chicken Pot Pies, Cabbage Stir-Fry," British Vegan Fish and Chips (500 calories/portion, 2 portions) - United Kingdom
"
23,450.0,80.0,280.0,150.0,400.0," Mexican gorditas with beans, cheese, and salsa (450kcals per portion, 2 portions, origin", Fresh Squeezed Orange Juice, Egg salad lettuce wraps, Lentil and vegetable soup, Lentil Bolognese
24,150.0,70.0,120.0,150.0,350.0, Vegan Egg Muffins - 150 calories per portion | 2 portions | None | Origin, Fresh Fruit Salad," Caprese salad skewers (cherry tomatoes, mozzarella, basil)"," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Veggie Burger
25,400.0,80.0,170.0,150.0,200.0, Veggie Biscuits and Gravy, Fruit Salad," Vegan Mediterranean Flatbread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Grilled Chicken Salad, Quinoa Salad
