,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,90.0,80.0,250.0,90.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)"," Teriyaki Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"
2,350.0,350.0,250.0,250.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Thai Basil Fried Rice with Tofu (350 calories per portion, serves 2, contains soy, origin"," Fiery Veggie Stir-Fry - 250 kcals per portion, 2 portions, contains soy (Various)"," Vegetable Pad Thai (250 calories per portion, serves 4, contains peanuts and soy, origin"," Teriyaki Tofu and Vegetable Stir-Fry (250 calories per portion, serves 4, contains soy, origin"
3,350.0,250.0,90.0,250.0,300.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Vegetable Pad Thai (250 calories per portion, serves 4, contains peanuts and soy, origin"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Chinese Vegetable Spring Rolls (250 calories per portion, serves 4, contains gluten and soy, origin"," Chinese Kung Pao Tofu (300 calories per portion, serves 4, contains peanuts and soy, origin"
4,350.0,90.0,90.0,350.0,200.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Vegan Pad Thai with Tofu (350 calories per portion, serves 2, contains peanuts and soy, origin"," Vegetable Stir-Fry with Tofu (200 calories per portion, serves 4, contains soy, origin"
5,350.0,350.0,250.0,200.0,90.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Vegan Pad Thai with Tofu (350 calories per portion, serves 2, contains peanuts and soy, origin"," Fiery Veggie Stir-Fry - 250 kcals per portion, 2 portions, contains soy (Various)"," Vegetable Stir-Fry with Tofu (200 calories per portion, serves 4, contains soy, origin"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"
6,350.0,90.0,90.0,250.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Chinese Vegetable Spring Rolls (250 calories per portion, serves 4, contains gluten and soy, origin"," Fiery Veggie Stir-Fry - 250 kcals per portion, 2 portions, contains soy (Various)"
7,350.0,90.0,90.0,250.0,350.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Teriyaki Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"
8,350.0,90.0,90.0,200.0,90.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Vegetable Stir-Fry with Tofu (200 calories per portion, serves 4, contains soy, origin"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"
9,350.0,250.0,80.0,350.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Teriyaki Tofu and Vegetable Stir-Fry (250 calories per portion, serves 4, contains soy, origin"," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)"," Thai Basil Fried Rice with Tofu (350 calories per portion, serves 2, contains soy, origin"," Chinese Vegetable Spring Rolls (250 calories per portion, serves 4, contains gluten and soy, origin"
10,350.0,250.0,250.0,250.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Sweet and Sour Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"," Fiery Veggie Stir-Fry - 250 kcals per portion, 2 portions, contains soy (Various)"," Sweet and Sour Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"," Sweet and Sour Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"
