,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,80.0,540.0,20.0,450.0," Zimbabwean sadza (cornmeal porridge) with beef stew - 450 calories per portion, 2 portions, contains gluten, origin", Fruit Salad, Stuffed Bell Peppers, Moroccan Mint Tea," Thai Vegan Yellow Curry (450 calories/portion, 2 portions) - Thailand
"
2,500.0,80.0,400.0,20.0,450.0," English full breakfast with bacon, sausages, eggs, beans, mushrooms, and toast (500kcals per portion, 2 portions, pork allergies, origin"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Vegan Tzatziki and Pita Bread, Moroccan Mint Tea," Mexican Stuffed Bell Peppers (450 calories/portion, 2 portions) - Mexico
"
3,250.0,70.0,440.0,20.0,234.0, Vegan Breakfast Oats and Berries, Fresh Fruit Salad, Vegan Chili, Moroccan Mint Tea, Vegan Stuffed Cabbage Rolls
4,400.0,90.0,150.0,20.0,400.0, Vegan Breakfast Stuffed Peppers - 400 calories per portion | 1 portion | None | Origin, Turkish-style boiled eggs, Stuffed Mini Bell Peppers, Moroccan Mint Tea," Veggie Pad Thai - 400 calories/portion, 4 portions, Origin"
5,300.0,80.0,180.0,20.0,350.0," Yogurt and fruit smoothie with almond milk (300kcals per portion, 1 portion, nut allergies)
", Cheesy Popcorn, Chicken Salad Lettuce Wraps, Moroccan Mint Tea, Vegan Paella
6,400.0,50.0,150.0,20.0,400.0," Turkish acma (soft bread rings) with feta cheese - 400 calories per portion, 2 portions, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Sweet potato fries, Moroccan Mint Tea," Coconut curry shrimp with jasmine rice - 400 kcals per portion, 2 portions, contains shellfish
"
7,400.0,90.0,150.0,20.0,300.0," Polish scrambled eggs with kielbasa and sauerkraut (400kcals per portion, 2 portions, pork allergies, origin", Turkish-style boiled eggs," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Moroccan Mint Tea, Lentil Sloppy Joes
8,450.0,80.0,100.0,20.0,350.0," French croissant with ham and cheese (450kcals per portion, 1 portion, pork allergies, origin", Kale Chips," Tomato Bruschetta Bites - 100 kcals per portion, 6 portions, contains gluten (Italy)", Moroccan Mint Tea, Falafel Wrap
9,320.0,50.0,220.0,20.0,400.0," Vegetable and cheese strata (320 calories per portion, 2 portions, contains dairy, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Beetroot Hummus with Pita Bread, Moroccan Mint Tea," Quinoa stuffed bell peppers with black beans and corn (400 calories per portion, 4 portions, vegan-friendly, origin"
10,300.0,90.0,230.0,20.0,450.0, Vegan Almond Butter Toast - 300 calories per portion | 1 portion | Contains nuts | Origin, Fruit Salad," Pistachio Dark Chocolate Bark - 230 kcals per portion, 6 portions, contains tree nuts (USA)", Moroccan Mint Tea, Greek Grilled Lamb Chops
