,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,80.0,220.0,20.0,250.0, Moroccan Shakshuka," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Veggie Mediterranean Flatbread, Moroccan Mint Tea, Vegan Nachos
2,300.0,80.0,180.0,20.0,200.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Kale Chips," Bruschetta - 180 kcals per portion, 4 portions, contains gluten (Italy)", Moroccan Mint Tea, Greek Salad
3,150.0,80.0,300.0,20.0,350.0, Vegan Breakfast Pita Pockets, Stuffed Dates, Veggie Spring Rolls, Moroccan Mint Tea," Mushroom and goat cheese flatbread - 350 calories per portion, 4 portions, contains gluten and dairy
"
4,350.0,80.0,80.0,20.0,300.0, Cranberry Orange Muffins, Baked Apple Chips, Veggie Spring Rolls, Moroccan Mint Tea, Mexican Quinoa Salad
5,350.0,50.0,180.0,20.0,350.0," English crumpets with butter and jam (350kcals per portion, 2 portions, dairy allergies, origin", Baked Apple Chips - Approx, Mini Meatballs, Moroccan Mint Tea," Black Bean and Corn Salad - 350 calories/portion, 4 portions, Origin"
6,300.0,80.0,90.0,20.0,300.0, Vegan Coconut Chia Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Baked Apple Chips, Greek Feta and Olive Skewers, Moroccan Mint Tea," Coconut Curry Tofu - 300 calories per portion, 4 portions, Soy, Thailand
"
7,300.0,80.0,250.0,20.0,350.0," Yogurt and fruit smoothie with almond milk (300kcals per portion, 1 portion, nut allergies)
", Hard-Boiled Eggs, Mango Coconut Chia Pudding, Moroccan Mint Tea, Quinoa Stuffed Tomatoes
8,350.0,80.0,160.0,20.0,300.0," Mexican sopes with refried beans and salsa (350kcals per portion, 2 portions, origin", Cheesy Popcorn, Spinach and Artichoke Dip, Moroccan Mint Tea," Mediterranean Pasta Salad - 300 calories/portion, 4 portions, Origin"
9,400.0,80.0,180.0,20.0,350.0, Vegetable Omelette with Hash Browns, Hard-Boiled Eggs," Stuffed Grape Leaves - 180 kcals per portion, 5 portions, may contain nuts (Middle East)", Moroccan Mint Tea," Spinach and mushroom quesadillas - 350 calories per portion, 4 portions, contains dairy and gluten (Mexico)
"
10,400.0,60.0,250.0,20.0,200.0, Vegan Breakfast Burrito Bowl - 400 calories per portion | 1 portion | None | Origin, Fruit Salad - Approx, Greek Baklava, Moroccan Mint Tea, Spanish Gazpacho
11,300.0,80.0,80.0,20.0,350.0, Veggie Tofu Scramble Wrap - 300 calories per portion | 1 portion | None | Origin, Fruit Salad, Stuffed Mini Peppers, Moroccan Mint Tea," Mexican Vegan Stuffed Zucchini (350 calories/portion, 2 portions) - Mexico
"
12,250.0,80.0,180.0,20.0,350.0, Cheesy Spinach Pita Pocket, Baked Apple Chips," Roasted Chickpea Salad - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Mushroom and Pea Risotto
13,250.0,60.0,540.0,20.0,320.0, Vegan Overnight Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Cucumber and tomato salad, Stuffed Bell Peppers, Moroccan Mint Tea," Caprese quinoa salad – 320 calories per portion, 4 portions, contains dairy
"
14,350.0,80.0,80.0,20.0,300.0, Breakfast Bruschetta," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Stuffed Mushroom Caps, Moroccan Mint Tea," Moroccan Lentil Soup (300 calories/portion, 4 portions) - Morocco
"
15,250.0,80.0,150.0,20.0,250.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Avocado Deviled Eggs, Vegetable samosa, Moroccan Mint Tea, Lentil Loaf
16,350.0,80.0,280.0,20.0,250.0, Veggie Breakfast Strudel, Fresh Watermelon Slices - Approx, Egg salad lettuce wraps, Moroccan Mint Tea, Lentil Salad
17,300.0,80.0,260.0,20.0,220.0, Baked Egg in Avocado, Cheesy Popcorn," Stuffed Tomatoes with Couscous - 260 kcals per portion, 2 portions, contains gluten (Mediterranean)", Moroccan Mint Tea," Greek Lemon Potatoes - 220kcals per portion, 4 portions
"
18,450.0,60.0,240.0,20.0,250.0, Bacon and Egg Muffins, Fruit Salad - Approx," Matzah with Cream Cheese - 240 kcals per portion, 3 portions, contains dairy (Jewish)", Moroccan Mint Tea," Lentil Spinach Curry - 250 calories per portion, 4 portions, None, India
"
19,280.0,80.0,150.0,20.0,200.0," Oatmeal with apples and cinnamon (280 calories per portion, 2 portions, nut-free, American origin)
", Cheesy Popcorn, Fruit Skewers with Yogurt Dip, Moroccan Mint Tea," Vegan Thai Yellow Curry - 200 calories per portion, 2 portions, may contain tofu"
20,300.0,80.0,170.0,20.0,150.0, Banana Pancakes, Kale Chips, Mozzarella and cherry tomato skewers, Moroccan Mint Tea, Lentil Soup
21,400.0,80.0,90.0,20.0,300.0," South African boerewors sausage with tomato chutney (400kcals per portion, 2 portions, origin"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Vegetable Spring Rolls, Moroccan Mint Tea, Greek Orzo Salad
22,250.0,80.0,200.0,20.0,350.0," Blueberry almond muffins (250 calories per portion, 2 portions, contains nuts, American origin)
", Cheesy Popcorn, Banana Bread, Moroccan Mint Tea, Chickpea and Sweet Potato Curry
23,350.0,60.0,180.0,20.0,250.0, Chocolate Peanut Butter Overnight Oats, Cucumber and tomato salad, Greek Stuffed Grape Leaves (Dolmas), Moroccan Mint Tea," Panzanella salad - 250 calories per portion, 4 portions, contains gluten (Italy)
"
24,300.0,60.0,120.0,20.0,350.0, Overnight Apple Pie Chia Pudding, Fruit Salad - Approx, Pumpkin Hummus with Carrot Sticks, Moroccan Mint Tea, Jamaican Rice and Peas
25,300.0,80.0,220.0,20.0,210.0," Blueberry almond smoothie (300 calories per portion, 2 portions, contains nuts, American origin)
", Fresh Squeezed Orange Juice, Greek tzatziki with pita chips, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
26,300.0,80.0,160.0,20.0,300.0," Turkish Menemen with eggs, tomatoes, and peppers (300kcals per portion, 2 portions, origin", Hard-Boiled Eggs," Chia Seed Pudding - 160 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea," Japanese Vegan Sushi Bowl (300 calories/portion, 3 portions) - Japan
"
27,200.0,80.0,150.0,20.0,250.0, Tomato Basil Tofu Scramble, Avocado Deviled Eggs, Peanut Butter Banana Roll-Ups, Moroccan Mint Tea," Indian Vegan Baingan Bharta (250 calories/portion, 4 portions) - India
"
28,200.0,80.0,300.0,20.0,200.0, Quinoa Veggie Breakfast Skillet, Fresh Squeezed Orange Juice, Cheese and Crackers, Moroccan Mint Tea, Zucchini Noodles with Pesto
29,350.0,50.0,80.0,20.0,150.0, Quinoa Porridge - 350 calories per portion | 1 portion | Contains nuts | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Coconut macaroons, Moroccan Mint Tea," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
30,350.0,70.0,120.0,20.0,350.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin", Fresh Fruit Salad, Carrot and ginger soup, Moroccan Mint Tea, Tofu Pad Kra Pao
31,350.0,80.0,150.0,20.0,200.0," Mexican sopes with refried beans and salsa (350kcals per portion, 2 portions, origin", Apple with Cinnamon, Cucumber and Tomato Salsa with Tortilla Chips, Moroccan Mint Tea," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
32,250.0,80.0,220.0,20.0,200.0, Overnight Chia Oats, Hard-Boiled Eggs, Banana bread muffins, Moroccan Mint Tea, Mediterranean Stuffed Eggplant
33,350.0,60.0,150.0,20.0,250.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Cucumber and tomato salad, Black Bean and Corn Salsa, Moroccan Mint Tea," Roasted Cauliflower Tacos - 250 calories per portion, 4 portions, None, Mexico
"
34,400.0,50.0,100.0,20.0,300.0, Veggie Sausage Breakfast Sandwich," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Crispy Baked Tofu Bites - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Greek Vegan Tzatziki with Pita Bread (300 calories/portion, 2 portions) - Greece
"
35,100.0,70.0,350.0,20.0,300.0, Vegan Breakfast Steamed Buns, Kale chips, Avocado and black bean quesadilla, Moroccan Mint Tea," Quinoa-stuffed mushrooms – 300 calories per portion, 4 portions, vegetarian-friendly
"
36,250.0,80.0,100.0,20.0,150.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Miso Soup, Moroccan Mint Tea, Caprese Salad
37,280.0,80.0,140.0,20.0,250.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
", Cheesy Popcorn, Cheese Stuffed Jalapenos, Moroccan Mint Tea, Mediterranean Couscous Salad
38,350.0,80.0,160.0,20.0,350.0," Pakistani spicy omelet with onions and green chilies (350kcals per portion, 2 portions, origin", Avocado Deviled Eggs," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)", Moroccan Mint Tea," Mexican Rice and Bean Stuffed Peppers - 350kcals per portion, 4 portions, contains legumes (Mexico)
"
