,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,500.0,160.0,280.0,20.0,350.0, Israeli Breakfast Salad, Bruschetta," Greek Spanakopita - 280 kcals per portion, 3 portions, contains gluten, dairy (Greece)", Moroccan Mint Tea," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
2,350.0,150.0,80.0,20.0,350.0," Afghan bolani (stuffed flatbread) with yogurt sauce - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Homemade Energy Balls, Vegetable Soup, Moroccan Mint Tea," Eggplant and Chickpea Curry - 350 calories/portion, 4 portions, Origin"
3,400.0,100.0,150.0,20.0,250.0," Turkish acma (soft bread rings) with feta cheese - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Fresh Fruit Salad, Stuffed Mushrooms with Cream Cheese, Moroccan Mint Tea, Tofu Stir-Fry
4,500.0,120.0,200.0,20.0,300.0," Iranian kaleh pacheh (sheep's head and hoof soup) - 500 calories per portion, 2 portions, no allergic warnings, origin", Vegetable Samosas, Stuffed dates with goat cheese and walnuts, Moroccan Mint Tea," Vegan Mushroom and Spinach Quesadilla - 300 calories per portion, 2 portions, may contain gluten"
5,450.0,100.0,120.0,20.0,300.0, Vegan Breakfast Enchiladas - 450 calories per portion | 1 portion | Contains gluten | Origin, Cucumber Sandwiches, Caprese Pasta Salad, Moroccan Mint Tea, Greek Orzo Salad
6,350.0,150.0,160.0,20.0,350.0, Egg Stuffed Peppers," Blueberry Muffins - 150kcals per portion, 2 portions
    Origin", Veggie Sausage Rolls, Moroccan Mint Tea," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
7,350.0,150.0,100.0,20.0,300.0," Cheesy scrambled eggs - 350 calories per portion, 1 portion, contains dairy, origin", Caprese Salad, Chocolate-dipped strawberries, Moroccan Mint Tea," Veggie Burger with Sweet Potato Fries - 300 calories/portion, 4 portions, Origin"
8,320.0,120.0,380.0,20.0,300.0," Vegetable and cheese strata (320 calories per portion, 2 portions, contains dairy, American origin)
", Sautéed Brussels Sprouts, Mini chicken pot pies, Moroccan Mint Tea, Mexican Quinoa Stuffed Bell Peppers
9,400.0,150.0,160.0,20.0,300.0," Banana pancakes - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Cucumber Avocado Rolls," Vegan Spinach and Artichoke Stuffed Breadsticks - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Ratatouille Pasta - 300 calories/portion, 4 portions, Origin"
10,400.0,150.0,180.0,20.0,280.0," Brazilian tapioca crepes with coconut and condensed milk (400kcals per portion, 2 portions, dairy allergies, origin", Homemade Vegan Trail Mix, Grilled Halloumi Skewers, Moroccan Mint Tea, Sweet Potato Curry
