,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,300.0,350.0,350.0,400.0, Veggie Breakfast Pizza, Chia Seed Pancakes, Mushroom and Spinach Breakfast Quesadilla, Zucchini and Parmesan Muffins, Aloo Paratha (Potato Stuffed Flatbread)
2,250.0,350.0,400.0,400.0,400.0, Banana Bread, Cranberry Orange Muffins, Vegetarian Breakfast Strata, Veggie Biscuits and Gravy, Aloo Paratha (Potato Stuffed Flatbread)
3,350.0,300.0,400.0,350.0,400.0, Blueberry Muffins, Chia Seed Pancakes, Nutella Banana Croissant, Vegan Breakfast Burrito, Vegan Chocolate Waffles
4,400.0,400.0,400.0,250.0,250.0, Mushroom Breakfast Burrito, Almond Croissant, Mexican Sopes, Tomato Basil Bruschetta, Sourdough Toast with Almond Butter
5,400.0,350.0,350.0,250.0,400.0, Veggie Sausage Breakfast Sandwich, Vegan Protein Pancakes, Tomato and Basil Bruschetta Scramble, Sourdough Toast with Almond Butter, Veggie Breakfast Burrito
6,400.0,350.0,350.0,250.0,350.0, Nutella Banana Croissant, Vegan Protein Pancakes, Veggie Breakfast Wrap, Sourdough Toast with Almond Butter, Blueberry Muffins
7,250.0,250.0,350.0,250.0,400.0, Tomato Basil Bruschetta, Sourdough Toast with Almond Butter, Ricotta Pancakes, Ragi (Finger Millet) Pancakes, Veggie Breakfast Burrito
8,350.0,300.0,400.0,350.0,300.0, Bread Upma, Chia Seed Pancakes, Vegan Chocolate Waffles, Vegan Protein Pancakes, Feta and Spinach Muffins
9,350.0,300.0,350.0,300.0,350.0, Mushroom and Spinach Breakfast Quesadilla, Vegan Blueberry Muffins, Apple Cinnamon Muffins, Vegan Blueberry Muffins, Banana Nut Muffins
10,400.0,400.0,400.0,400.0,450.0, Sourdough Biscuits and Mushroom Gravy, Veggie Sausage Breakfast Sandwich, Aloo Paratha (Potato Stuffed Flatbread), Strawberry Banana Pancakes, Nutella Stuffed French Toast
11,300.0,400.0,400.0,400.0,400.0, Banana Pancakes, Veggie Bagel Sandwich, Veggie Biscuits and Gravy, Strawberry Banana Pancakes, Vegan Chocolate Waffles
12,350.0,350.0,350.0,300.0,400.0, Mushroom and Spinach Breakfast Quesadilla, Vegan Protein Pancakes, Zucchini and Parmesan Muffins, Chia Seed Pancakes, Sourdough Biscuits and Mushroom Gravy
13,350.0,300.0,450.0,400.0,400.0, Vegan Breakfast Tacos, Banana Oat Pancakes, Nutella Stuffed French Toast, Mushroom Breakfast Burrito, Veggie Biscuits and Gravy
14,350.0,350.0,300.0,300.0,350.0, Banana Walnut Bread, Veggie Breakfast Wrap, Pancakes with Maple Syrup, Vegan Blueberry Muffins, Banana Chia Pancakes
15,300.0,350.0,350.0,350.0,350.0, Idli and Sambar, Tomato and Basil Bruschetta Scramble, Tomato and Basil Bruschetta Scramble, Vegan Breakfast Burrito, Vegan Breakfast Tacos
16,350.0,400.0,400.0,300.0,350.0, Banana Walnut Bread, Nutella Banana Croissant, Sourdough Biscuits and Mushroom Gravy, Feta and Spinach Muffins, Bread Upma
17,300.0,400.0,350.0,400.0,300.0, Pancakes with Maple Syrup, Strawberry Banana Pancakes, Blueberry Muffins, Veggie Breakfast Pizza, Banana Oat Pancakes
18,400.0,450.0,350.0,350.0,400.0, Almond Croissant, Nutella Stuffed French Toast, Veggie Breakfast Strudel, Vegan Breakfast Tacos, Strawberry Banana Pancakes
19,400.0,300.0,300.0,400.0,250.0, Almond Croissant, Pancakes with Maple Syrup, Irish Soda Bread, Aloo Paratha (Potato Stuffed Flatbread), Cucumber Sandwich
20,300.0,400.0,350.0,350.0,350.0, Irish Soda Bread, Strawberry Banana Pancakes, Tomato and Basil Bruschetta Scramble, Vegan Breakfast Burrito, Banana Nut Muffins
21,350.0,300.0,300.0,350.0,400.0, Vegan Breakfast Tacos, Irish Soda Bread, Pancakes with Maple Syrup, Apple Cinnamon Muffins, Veggie Breakfast Pizza
22,400.0,400.0,350.0,400.0,350.0, Veggie Sausage Breakfast Sandwich, Veggie Bagel Sandwich, Mushroom and Spinach Breakfast Quesadilla, Vegetarian Breakfast Strata, Vegan Breakfast Burrito
23,350.0,350.0,350.0,350.0,400.0, Bread Upma, Lemon Poppy Seed Pancakes, Ricotta Pancakes, Vegan Breakfast Burrito, Aloo Paratha (Potato Stuffed Flatbread)
