,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,80.0,150.0,20.0,200.0," Veggie fajita scramble with tofu (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Mango with Chili Powder, Caprese Bruschetta, Moroccan Mint Tea," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
2,400.0,70.0,150.0,20.0,200.0," Huevos Rancheros with black beans (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Fresh Fruit Salad, Baked Vegetable Samosas, Moroccan Mint Tea," Eggplant and Tomato Gratin - 200 calories/portion, 2 portions, Origin"
3,200.0,50.0,220.0,20.0,200.0, Avocado Toast, Baked Apple Chips - Approx, Ratatouille, Moroccan Mint Tea, Greek Salad
4,250.0,70.0,360.0,20.0,200.0, Banana Bread, Fresh Fruit Salad, Vegetable Tempura, Moroccan Mint Tea," Eggplant and Tomato Gratin - 200 calories/portion, 2 portions, Origin"
5,400.0,80.0,80.0,20.0,220.0," Huevos Rancheros with black beans (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Fruit Salad," Baked Kale Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Spicy Black Bean Soup
6,250.0,80.0,180.0,20.0,200.0, Vegan Banana Bread - 250 calories per portion | 2 portions | Contains gluten | Origin, Mango with Chili Powder, Avocado Cucumber Sushi Rolls, Moroccan Mint Tea," Indian Vegetable Samosas - 200 calories/portion, 4 portions, contains gluten (India)
"
7,300.0,80.0,150.0,20.0,200.0, Classic Peanut Butter and Jelly, Apple with Cinnamon, Cilantro lime shrimp skewers, Moroccan Mint Tea, Spaghetti Aglio e Olio
8,250.0,60.0,100.0,20.0,200.0, Vegan Banana Muffins, Cucumber and tomato salad, Bruschetta, Moroccan Mint Tea," Lentil Spinach Salad - 200 calories per portion, 4 portions, None, Various
"
9,250.0,80.0,120.0,20.0,200.0, Smoothie Bowl, Stuffed Dates, Carrot and ginger soup, Moroccan Mint Tea," Vegan Thai Yellow Curry - 200 calories per portion, 2 portions, may contain tofu"
10,300.0,80.0,400.0,20.0,220.0, Shakarkandi ki Chaat (Sweet Potato Chaat), Fresh Squeezed Orange Juice, Vegan Japanese Mochi, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
11,200.0,60.0,280.0,20.0,200.0, Vegan Breakfast Frittata, Fruit Salad - Approx, Greek Spinach Pie, Moroccan Mint Tea, Butternut Squash Soup
12,200.0,80.0,180.0,20.0,200.0, Vegan Banana Bread, Fruit Salad, Chicken Salad Lettuce Wraps, Moroccan Mint Tea," Lentil Spinach Salad - 200 calories per portion, 4 portions, None, Various
"
13,250.0,80.0,240.0,20.0,150.0," Fruit smoothie bowl topped with granola (250kcals per portion, 2 portions, nut allergies, origin", Energy Balls," Matzah with Cream Cheese - 240 kcals per portion, 3 portions, contains dairy (Jewish)", Moroccan Mint Tea, Cauliflower Fried Rice
14,350.0,80.0,150.0,20.0,200.0," Greek yogurt and berry parfait (350 calories per portion, 2 portions, contains dairy, Greek origin)
", Fruit Salad, Baked Parmesan Zucchini Fries, Moroccan Mint Tea," Lentil Spinach Salad - 200 calories per portion, 4 portions, None, Various
"
15,300.0,80.0,80.0,20.0,150.0, Tropical Mango Chia Pudding, Fruit Salad, Mini vegetable frittatas, Moroccan Mint Tea, Spinach and Feta Stuffed Mushrooms
16,400.0,80.0,250.0,20.0,200.0," Veggie-packed breakfast tacos with tofu scramble (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Fruit Salad, Greek Yogurt with Granola, Moroccan Mint Tea," Miso Soup - 200 calories/portion, 2 portions, Origin"
17,300.0,70.0,120.0,20.0,150.0, Vegan Breakfast Tostadas, Fresh Fruit Salad," Energy Balls - 120 kcals per portion, 8 portions, contains nuts (USA)", Moroccan Mint Tea, Minestrone Soup
18,250.0,80.0,170.0,20.0,220.0, Overnight Chia Pudding, Stuffed Dates," Vegan Mediterranean Flatbread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Lentil and Vegetable Stir Fry
19,400.0,80.0,250.0,20.0,200.0, Veggie Breakfast Skillet," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Mini chicken pot pies, Moroccan Mint Tea, Vegan Caprese Salad
20,320.0,70.0,380.0,20.0,200.0," Baked eggs with spinach and mushrooms (320 calories per portion, 2 portions, nut-free, American origin)
", Kale chips, Mini chicken pot pies, Moroccan Mint Tea," Miso Soup - 200 calories/portion, 2 portions, Origin"
